baseline,candidate,direction,block_min,observed_relative_improvement,median_relative_improvement,lower_95,upper_95,positive_probability
Persistence,FULL-UOI,sheet1_to_sheet2,10,-0.057142658443650705,-0.05276736942905171,-0.16086210064414597,0.05398917766867042,0.174
Persistence,FULL-UOI,sheet1_to_sheet2,22,-0.057142658443650705,-0.041025066076051,-0.18183717723841672,0.08488778386257739,0.287
Persistence,FULL-UOI,sheet1_to_sheet2,40,-0.057142658443650705,-0.027884969642621854,-0.1559892372321889,0.08179662372040732,0.327
Persistence,FULL-UOI,sheet1_to_sheet2,60,-0.057142658443650705,-0.03053829232825859,-0.14411077236464734,0.05954385980041372,0.275
Persistence,FULL-UOI,sheet2_to_sheet1,10,0.562423874655378,0.5634203906058213,0.467043880993335,0.6462369555699484,1.0
Persistence,FULL-UOI,sheet2_to_sheet1,22,0.562423874655378,0.5593184248879108,0.455634404675338,0.6667047404941061,1.0
Persistence,FULL-UOI,sheet2_to_sheet1,40,0.562423874655378,0.5516010503454225,0.430466295104528,0.6658039053558665,1.0
Persistence,FULL-UOI,sheet2_to_sheet1,60,0.562423874655378,0.5458243248434342,0.42276472272726223,0.68230698527885,1.0
Persistence,FULL-UOI,pooled,10,0.4442085511472305,0.44522297587629345,0.3428464183775503,0.533654448634258,1.0
Persistence,FULL-UOI,pooled,22,0.4442085511472305,0.44859185141514185,0.33688839447526153,0.5448809644811067,1.0
Persistence,FULL-UOI,pooled,40,0.4442085511472305,0.4451915526243191,0.328645964996325,0.538906279414334,1.0
Persistence,FULL-UOI,pooled,60,0.4442085511472305,0.4408481001552217,0.31783234236834146,0.5485605067805771,1.0
old K-only,FULL-UOI,sheet1_to_sheet2,10,0.011597847607381598,0.011896427892074075,0.004257871689659384,0.019401214748536386,1.0
old K-only,FULL-UOI,sheet1_to_sheet2,22,0.011597847607381598,0.012987753643980283,0.002423206946303571,0.02247401917729888,0.996
old K-only,FULL-UOI,sheet1_to_sheet2,40,0.011597847607381598,0.01367630832854884,0.003108538326829823,0.024231742794428083,0.999
old K-only,FULL-UOI,sheet1_to_sheet2,60,0.011597847607381598,0.013867975330916413,0.0035212054071985526,0.02564371455016333,1.0
old K-only,FULL-UOI,sheet2_to_sheet1,10,0.19885375562006968,0.20076506521953758,0.07633630292490967,0.32754879821720717,0.999
old K-only,FULL-UOI,sheet2_to_sheet1,22,0.19885375562006968,0.20979610931004936,0.05939681512285184,0.37556895614717783,0.997
old K-only,FULL-UOI,sheet2_to_sheet1,40,0.19885375562006968,0.20759689197538442,0.05559584336154842,0.37515745852207827,0.995
old K-only,FULL-UOI,sheet2_to_sheet1,60,0.19885375562006968,0.21739316327819483,0.05506098455919935,0.3993001471834894,0.998
old K-only,FULL-UOI,pooled,10,0.13970336274493192,0.14108888432993286,0.04696436987468848,0.2338520962588029,0.999
old K-only,FULL-UOI,pooled,22,0.13970336274493192,0.1448845898469313,0.040990569970296355,0.25929455275545804,0.996
old K-only,FULL-UOI,pooled,40,0.13970336274493192,0.1513544225407141,0.03448929403431328,0.26260074633229424,0.995
old K-only,FULL-UOI,pooled,60,0.13970336274493192,0.15239892724499343,0.04230269218067998,0.27117559864876595,0.997
NLinear-U,FULL-UOI,sheet1_to_sheet2,10,-1.2015628833081786,-1.1417995065889317,-2.3083302830166743,-0.3347035341385454,0.001
NLinear-U,FULL-UOI,sheet1_to_sheet2,22,-1.2015628833081786,-1.1157265465598702,-2.522641989359839,-0.224323724506788,0.005
NLinear-U,FULL-UOI,sheet1_to_sheet2,40,-1.2015628833081786,-1.085148958837434,-2.464232923295967,-0.13447783180280945,0.008
NLinear-U,FULL-UOI,sheet1_to_sheet2,60,-1.2015628833081786,-0.9763249479564693,-1.9828702976892258,-0.1674229493131972,0.004
NLinear-U,FULL-UOI,sheet2_to_sheet1,10,0.15060204244190228,0.1398980002896385,-0.11266858193216578,0.35365746488372424,0.851
NLinear-U,FULL-UOI,sheet2_to_sheet1,22,0.15060204244190228,0.15502051582041715,-0.1214805842246835,0.39855254909766513,0.847
NLinear-U,FULL-UOI,sheet2_to_sheet1,40,0.15060204244190228,0.13977644163293373,-0.1521652173868637,0.37810179182161857,0.82
NLinear-U,FULL-UOI,sheet2_to_sheet1,60,0.15060204244190228,0.1522552958282471,-0.1297007365959779,0.3538852030687553,0.813
NLinear-U,FULL-UOI,pooled,10,-0.0930327501273644,-0.08784552437945152,-0.37803460801358046,0.152796461819317,0.24
NLinear-U,FULL-UOI,pooled,22,-0.0930327501273644,-0.06946569092233179,-0.4479089351008209,0.21178805697532407,0.326
NLinear-U,FULL-UOI,pooled,40,-0.0930327501273644,-0.07035898558603185,-0.5074148414713503,0.22597793650484735,0.365
NLinear-U,FULL-UOI,pooled,60,-0.0930327501273644,-0.07384614917227991,-0.43164555629723567,0.2065516390776989,0.352
LIN-UOI,FULL-UOI,sheet1_to_sheet2,10,0.00097430279212979,0.001082121289960698,-0.0006751731115367685,0.0029879366255570264,0.876
LIN-UOI,FULL-UOI,sheet1_to_sheet2,22,0.00097430279212979,0.0013661924441567821,-0.0009006693204143973,0.0034912083586979246,0.878
LIN-UOI,FULL-UOI,sheet1_to_sheet2,40,0.00097430279212979,0.0015714057041449684,-0.00014600941195343608,0.003425942854683353,0.959
LIN-UOI,FULL-UOI,sheet1_to_sheet2,60,0.00097430279212979,0.0016053400959157135,1.748380597208639e-05,0.003064142670569438,0.979
LIN-UOI,FULL-UOI,sheet2_to_sheet1,10,0.30840691730582254,0.3083745010833503,0.21094892348749447,0.38902628930631084,1.0
