direction,candidate,ridge,mean_mse,se_mse,fold_mse,eligible_rows,maximum_causality_margin_raw
sheet1_to_sheet2,A0,0.0,0.7237410310617951,0.3649364192530423,"[0.04499367381174841, 0.20536262138245293, 1.598142526442989, 1.04646530260999]",1029,0
sheet1_to_sheet2,AR:2,1e-08,0.8655412850676213,0.28487038922780616,"[0.3611846544004967, 0.40170491441283085, 1.4830451137903278, 1.2162304576668297]",1029,0
sheet1_to_sheet2,AR:2,1e-06,0.8663010724388736,0.28597845475588707,"[0.35869908847107135, 0.40124248227572207, 1.4838383645913764, 1.2214243544173247]",1029,0
sheet1_to_sheet2,AR:2,0.0001,0.8753892758454513,0.3041536687546555,"[0.33090633647789813, 0.3781045952252723, 1.5051763427550409, 1.2873698289235942]",1029,0
sheet1_to_sheet2,AR:2,0.01,0.8869954134874098,0.39797066114062934,"[0.17589571769038895, 0.21985577053139496, 1.581493165013624, 1.5707370007142318]",1029,0
sheet1_to_sheet2,AR:2,1.0,0.913382681903593,0.46657773191334534,"[0.07602480447595034, 0.135298945119747, 1.7426561942695675, 1.6995507837491068]",1029,0
sheet1_to_sheet2,AR:2,100.0,0.8573059528214577,0.45109114122077365,"[0.0451998630940087, 0.15216786623954234, 1.8748176360366275, 1.3570384459156524]",1029,0
sheet1_to_sheet2,AR:2,10000.0,0.8561143018919266,0.4511044727451552,"[0.04455147032993891, 0.15273217081365378, 1.8791363757183714, 1.3480371907057425]",1029,0
sheet1_to_sheet2,AR:5,1e-08,0.8975584632904677,0.27265937988726835,"[0.32196129631198206, 0.6029711688110057, 1.5510693036916707, 1.1142320843472127]",1029,0
sheet1_to_sheet2,AR:5,1e-06,0.8979327592647385,0.272955665970625,"[0.321546145420503, 0.6027345221882506, 1.5515140079650322, 1.115936361485168]",1029,0
sheet1_to_sheet2,AR:5,0.0001,0.9025430212672765,0.2760636776993766,"[0.3199237455709451, 0.5974497918376114, 1.556149130568709, 1.1366494170918402]",1029,0
sheet1_to_sheet2,AR:5,0.01,0.9061170077618697,0.2934745782193786,"[0.305941013858531, 0.5316797760552575, 1.5639786011737133, 1.2228686399599766]",1029,0
