comparison,direction,block_min,observed_relative_improvement,median_relative_improvement,lower_95,upper_95,positive_probability
CENTERED-LIN-UOI_vs_CENTERED-FULL-UOI,sheet1_to_sheet2,10,-0.31471855683975514,-0.31493938392935705,-0.4236174585379806,-0.2159705228047266,0.0
CENTERED-LIN-UOI_vs_CENTERED-FULL-UOI,sheet1_to_sheet2,22,-0.31471855683975514,-0.30703726984386326,-0.45995523336540867,-0.17842980536667846,0.0
CENTERED-LIN-UOI_vs_CENTERED-FULL-UOI,sheet1_to_sheet2,40,-0.31471855683975514,-0.30300339920573793,-0.45462529133020085,-0.1701292046992666,0.0
CENTERED-LIN-UOI_vs_CENTERED-FULL-UOI,sheet1_to_sheet2,60,-0.31471855683975514,-0.3051285808287171,-0.4557991512160119,-0.17016392012209497,0.0
CENTERED-LIN-UOI_vs_CENTERED-FULL-UOI,sheet2_to_sheet1,10,0.0049332274896322584,0.005227061726363386,-0.004376658038424801,0.01368689603516619,0.859
CENTERED-LIN-UOI_vs_CENTERED-FULL-UOI,sheet2_to_sheet1,22,0.0049332274896322584,0.00517637203579499,-0.006098834587871042,0.016502348963947037,0.822
CENTERED-LIN-UOI_vs_CENTERED-FULL-UOI,sheet2_to_sheet1,40,0.0049332274896322584,0.0037797205171108787,-0.00661394666147372,0.01751525163357845,0.738
CENTERED-LIN-UOI_vs_CENTERED-FULL-UOI,sheet2_to_sheet1,60,0.0049332274896322584,0.0038399196821197615,-0.0058890175365747845,0.01832004550503543,0.737
CENTERED-LIN-UOI_vs_CENTERED-FULL-UOI,pooled,10,-0.07260847347410654,-0.07037934888683767,-0.10341990723129409,-0.042315622462901895,0.0
CENTERED-LIN-UOI_vs_CENTERED-FULL-UOI,pooled,22,-0.07260847347410654,-0.06861293883740335,-0.11084136777493972,-0.03566571647062163,0.0
CENTERED-LIN-UOI_vs_CENTERED-FULL-UOI,pooled,40,-0.07260847347410654,-0.06794701117521595,-0.11685343616719696,-0.030413933904302033,0.0
CENTERED-LIN-UOI_vs_CENTERED-FULL-UOI,pooled,60,-0.07260847347410654,-0.06885256790766095,-0.11813872666375433,-0.035050352264295606,0.0
