baseline,candidate,direction,block_min,observed_relative_improvement,median_relative_improvement,lower_95,upper_95,positive_probability
Persistence,FULL-UOI,sheet1_to_sheet2,10,-0.7004494783005876,-0.7003183679387293,-1.4658250144118954,-0.20391794058726623,0.003
Persistence,FULL-UOI,sheet1_to_sheet2,22,-0.7004494783005876,-0.6774119564052864,-1.789833372750514,-0.04081904220833162,0.018
Persistence,FULL-UOI,sheet1_to_sheet2,40,-0.7004494783005876,-0.6303171959318553,-1.8278439812533847,-0.062429150894124735,0.013
Persistence,FULL-UOI,sheet1_to_sheet2,60,-0.7004494783005876,-0.6518747191583859,-1.8015876382267926,-0.10025752830242934,0.005
Persistence,FULL-UOI,sheet2_to_sheet1,10,0.05247118407735525,0.052259715718599,0.028876923400177723,0.07792896588026094,1.0
Persistence,FULL-UOI,sheet2_to_sheet1,22,0.05247118407735525,0.05250101233628854,0.02567578942817628,0.08271186955892182,1.0
Persistence,FULL-UOI,sheet2_to_sheet1,40,0.05247118407735525,0.054198769428658936,0.029460245269037733,0.0807019325498308,1.0
Persistence,FULL-UOI,sheet2_to_sheet1,60,0.05247118407735525,0.054211989917036296,0.03243448105664881,0.07640507825092024,1.0
Persistence,FULL-UOI,pooled,10,-0.0911885440131399,-0.08910441612112888,-0.19992545883728724,0.006157126370752745,0.032
Persistence,FULL-UOI,pooled,22,-0.0911885440131399,-0.08093284451263065,-0.2487929686667672,0.03482698299877448,0.082
Persistence,FULL-UOI,pooled,40,-0.0911885440131399,-0.07412194166661118,-0.22977742940719817,0.03565036842029101,0.104
Persistence,FULL-UOI,pooled,60,-0.0911885440131399,-0.07890794668054905,-0.25059634869010505,0.028215483587389175,0.084
old K-only,FULL-UOI,sheet1_to_sheet2,10,-0.5898780651436499,-0.5915315626941876,-1.2659524254655155,-0.1618880774802566,0.003
old K-only,FULL-UOI,sheet1_to_sheet2,22,-0.5898780651436499,-0.5747713256820025,-1.45985704185729,-0.06131690291393378,0.009
old K-only,FULL-UOI,sheet1_to_sheet2,40,-0.5898780651436499,-0.5374689793281502,-1.5899907827079995,-0.024168758443544863,0.02
old K-only,FULL-UOI,sheet1_to_sheet2,60,-0.5898780651436499,-0.5715737389375171,-1.6253470023968206,-0.07261512251875388,0.008
old K-only,FULL-UOI,sheet2_to_sheet1,10,-0.7348047764725217,-0.7284277851900376,-1.0429885803162673,-0.3916733638053965,0.0
old K-only,FULL-UOI,sheet2_to_sheet1,22,-0.7348047764725217,-0.7218620501806496,-1.1405580732928167,-0.31723803740014694,0.0
old K-only,FULL-UOI,sheet2_to_sheet1,40,-0.7348047764725217,-0.6883795105689486,-1.0969521997856733,-0.22654309291106464,0.001
old K-only,FULL-UOI,sheet2_to_sheet1,60,-0.7348047764725217,-0.6791167383970118,-1.1145173287681787,-0.19089571623993704,0.003
old K-only,FULL-UOI,pooled,10,-0.6890253294890728,-0.6898695451390828,-0.9929223423544549,-0.4275164165367512,0.0
old K-only,FULL-UOI,pooled,22,-0.6890253294890728,-0.6729981751654219,-1.0553290740717405,-0.3440116501133458,0.0
old K-only,FULL-UOI,pooled,40,-0.6890253294890728,-0.6424451671544196,-1.0557232113638457,-0.2667504480588299,0.001
old K-only,FULL-UOI,pooled,60,-0.6890253294890728,-0.6430251614139237,-1.0372386558644209,-0.27418263300207923,0.0
NLinear-U,FULL-UOI,sheet1_to_sheet2,10,-2.5412878540714745,-2.511856805550111,-3.5362430604698667,-1.6937198383253234,0.0
NLinear-U,FULL-UOI,sheet1_to_sheet2,22,-2.5412878540714745,-2.3938270471385334,-3.565834251328881,-1.5812547664685135,0.0
NLinear-U,FULL-UOI,sheet1_to_sheet2,40,-2.5412878540714745,-2.281603167799574,-3.4121145393711236,-1.494453362785498,0.0
NLinear-U,FULL-UOI,sheet1_to_sheet2,60,-2.5412878540714745,-2.2249405703360643,-3.29088044047779,-1.37967000892253,0.0
NLinear-U,FULL-UOI,sheet2_to_sheet1,10,-0.8392891987383397,-0.8704954227275936,-1.6315219618640853,-0.2860018634192647,0.001
NLinear-U,FULL-UOI,sheet2_to_sheet1,22,-0.8392891987383397,-0.8295450089917162,-1.6572038529550845,-0.21110047592245174,0.002
NLinear-U,FULL-UOI,sheet2_to_sheet1,40,-0.8392891987383397,-0.8278911244870035,-1.8396777222810201,-0.1547088865555935,0.003
NLinear-U,FULL-UOI,sheet2_to_sheet1,60,-0.8392891987383397,-0.7767723440593495,-1.862863698611412,-0.15248184099388362,0.006
NLinear-U,FULL-UOI,pooled,10,-1.145957476733521,-1.1497103867087266,-1.866761118461341,-0.6063871277584233,0.0
NLinear-U,FULL-UOI,pooled,22,-1.145957476733521,-1.1224111414594629,-1.8943360903853868,-0.5203611901941245,0.0
NLinear-U,FULL-UOI,pooled,40,-1.145957476733521,-1.062324588385348,-1.9454464069065958,-0.4415759654851775,0.0
NLinear-U,FULL-UOI,pooled,60,-1.145957476733521,-1.089812121624348,-1.9566585665220722,-0.4087543984674803,0.0
LIN-UOI,FULL-UOI,sheet1_to_sheet2,10,-0.31471855683975514,-0.306784174661618,-0.4208976072699848,-0.21722439451136688,0.0
LIN-UOI,FULL-UOI,sheet1_to_sheet2,22,-0.31471855683975514,-0.3081647449697791,-0.45330372632724053,-0.19336545348046336,0.0
