direction,candidate,ridge,mean_mse,se_mse,fold_mse,eligible_rows,maximum_causality_margin_raw
sheet1_to_sheet2,A0,0.0,0.5631410871249722,0.2486150957730239,"[0.18426058551784322, 0.0871358871963379, 1.0461151181092059, 0.9350527576765022]",1029,0
sheet1_to_sheet2,AR:2,1e-08,0.7090647625562694,0.30069403661951494,"[0.2963348443207315, 0.09211498730586663, 1.268118282102864, 1.1796909364956152]",1029,0
sheet1_to_sheet2,AR:2,1e-06,0.7090657272932159,0.30069513846145873,"[0.2963343941015223, 0.09211349222756837, 1.2681198197307364, 1.179695203113037]",1029,0
sheet1_to_sheet2,AR:2,0.0001,0.7091611864515234,0.3008034876871606,"[0.29629056026602724, 0.09196723524248833, 1.2682718954914323, 1.1801150548061456]",1029,0
sheet1_to_sheet2,AR:2,0.01,0.7147427575407146,0.30577778162648656,"[0.2951123603267779, 0.08677290767431062, 1.2761705264259486, 1.2009152357358215]",1029,0
sheet1_to_sheet2,AR:2,1.0,0.7250877138305833,0.3189232214047491,"[0.27658537828405044, 0.07844605355166694, 1.3007157825565694, 1.2446036409300463]",1029,0
sheet1_to_sheet2,AR:2,100.0,0.7170059704076888,0.323797296719566,"[0.24471411887462435, 0.07568921487837994, 1.3169810600442675, 1.2306394878334832]",1029,0
sheet1_to_sheet2,AR:2,10000.0,0.7168088624785556,0.3238896675793376,"[0.24389957308054663, 0.0757566001704253, 1.3174235289830976, 1.230155747680153]",1029,0
sheet1_to_sheet2,AR:5,1e-08,0.6606018808325794,0.1935003569264876,"[0.3365514127099758, 0.3222855078321958, 1.064163016638137, 0.9194075861500091]",1029,0
sheet1_to_sheet2,AR:5,1e-06,0.6606024728600036,0.19350254848455728,"[0.33655047370195484, 0.3222795206474626, 1.0641654588595217, 0.9194144382310752]",1029,0
sheet1_to_sheet2,AR:5,0.0001,0.6606623977174108,0.19371825138641777,"[0.33645969968959794, 0.3216923823679949, 1.064408460766229, 0.9200890480458214]",1029,0
sheet1_to_sheet2,AR:5,0.01,0.6652631636533598,0.20597616199692192,"[0.333489906948912, 0.2893966772388133, 1.0798614822032857, 0.958304588222428]",1029,0
sheet1_to_sheet2,AR:5,1.0,0.7268575798426736,0.3003720519951242,"[0.31468331418588413, 0.10901510759143491, 1.2245996598996054, 1.2591322376937701]",1029,0
sheet1_to_sheet2,AR:5,100.0,0.7177372763474057,0.32351951808664203,"[0.24698171965655316, 0.07576874751127956, 1.3138907225097263, 1.234307915712064]",1029,0
sheet1_to_sheet2,AR:5,10000.0,0.7168164391717651,0.323886890488399,"[0.24392313487229264, 0.0757568679910848, 1.31739137754001, 1.230194376283673]",1029,0
sheet1_to_sheet2,AR:10,1e-08,0.6320846307649701,0.11861704304979248,"[0.30415161960707643, 0.6620394813854595, 0.8705365241492603, 0.6916108979180843]",1029,0
sheet1_to_sheet2,AR:10,1e-06,0.6320851171473275,0.11861721942146276,"[0.3041516673768048, 0.662038055388759, 0.8705371477268548, 0.6916135980968915]",1029,0
sheet1_to_sheet2,AR:10,0.0001,0.6321337988211962,0.11863477950551995,"[0.30415723809266215, 0.6618969870978094, 0.8706005750806808, 0.6918803950136329]",1029,0
sheet1_to_sheet2,AR:10,0.01,0.635512144072367,0.11991701585603977,"[0.30547065602461604, 0.6508281791664698, 0.8761607282010017, 0.7095890128973805]",1029,0
sheet1_to_sheet2,AR:10,1.0,0.6916884098391094,0.21043311806103623,"[0.34262477211517905, 0.31289548018824626, 1.031449897578091, 1.079783489474921]",1029,0
sheet1_to_sheet2,AR:10,100.0,0.7176835127522316,0.3208341602154135,"[0.25213627197937655, 0.0794511164057963, 1.3009988904686136, 1.2381477721551402]",1029,0
sheet1_to_sheet2,AR:10,10000.0,0.7168153952729216,0.323859260582859,"[0.24397822522680002, 0.07579048547330666, 1.3172525104229933, 1.2302403599685863]",1029,0
sheet1_to_sheet2,AR:20,1e-08,0.5585487813709609,0.10018209326910986,"[0.2946051368231376, 0.606423305380362, 0.5544756439340611, 0.7786910393462829]",1029,0
sheet1_to_sheet2,AR:20,1e-06,0.5585486512801027,0.10018240797316068,"[0.2946047892474324, 0.6064228987213574, 0.5544745085317117, 0.7786924086199093]",1029,0
sheet1_to_sheet2,AR:20,0.0001,0.5585368712874186,0.1002124978545269,"[0.2945725818845751, 0.6063830446772532, 0.5543671132696539, 0.7788247453181918]",1029,0
sheet1_to_sheet2,AR:20,0.01,0.5586590870063589,0.10125285596574451,"[0.2943424041316283, 0.6053651158761313, 0.5506232189025744, 0.7843056091151016]",1029,0
sheet1_to_sheet2,AR:20,1.0,0.5908947819019899,0.12025431646827517,"[0.305599039946919, 0.5251880014054385, 0.651895430058683, 0.880896656196919]",1029,0
sheet1_to_sheet2,AR:20,100.0,0.7028509172792107,0.30897221260348495,"[0.2536117300042964, 0.08835180445271247, 1.2483462431290413, 1.2210938915307925]",1029,0
sheet1_to_sheet2,AR:20,10000.0,0.7166424858082339,0.32373232385774003,"[0.24399697414464175, 0.0758493008208668, 1.316656515689917, 1.2300671525775098]",1029,0
sheet1_to_sheet2,AR:40,1e-08,0.4917477984052236,0.13433917295384212,"[0.24035279178114852, 0.6924236037676972, 0.28066743437547437, 0.7535473636965742]",1029,0
sheet1_to_sheet2,AR:40,1e-06,0.4917455329225343,0.1343404576456604,"[0.24034662892022793, 0.6924200951352022, 0.28066517967296145, 0.7535502279617458]",1029,0
sheet1_to_sheet2,AR:40,0.0001,0.49154897344657533,0.13445119942569533,"[0.2398235571739444, 0.6920876389014279, 0.28046322318696176, 0.7538214745239674]",1029,0
sheet1_to_sheet2,AR:40,0.01,0.48888485577631663,0.13675401311825333,"[0.232458912322284, 0.6827690600363046, 0.27610774081001443, 0.7642037099366636]",1029,0
sheet1_to_sheet2,AR:40,1.0,0.4964924755409825,0.12914582816593956,"[0.23804061224217898, 0.5867952195963523, 0.3449245890560267, 0.8162094812693721]",1029,0
sheet1_to_sheet2,AR:40,100.0,0.6704340220346592,0.29246762526766984,"[0.24306119098479656, 0.09043902337065007, 1.1717690445499618, 1.1764668292332285]",1029,0
sheet1_to_sheet2,AR:40,10000.0,0.7162487715624838,0.3235376559052397,"[0.24388283048816078, 0.07583247397638575, 1.3157363270790061, 1.2295434547063824]",1029,0
sheet1_to_sheet2,STATE:2,1e-08,0.48295690510042333,0.12815898616636975,"[0.23972239145718316, 0.6600967868055159, 0.2875628803285712, 0.7444455618104231]",1029,0
sheet1_to_sheet2,STATE:2,1e-06,0.48295762668843234,0.12815719301186354,"[0.23972221166327587, 0.660072541174391, 0.28757524400989376, 0.7444605099061687]",1029,0
sheet1_to_sheet2,STATE:2,0.0001,0.48303180367341864,0.127980988385001,"[0.23970613536489666, 0.6576571424934059, 0.2888121287577691, 0.7459518080776029]",1029,0
sheet1_to_sheet2,STATE:2,0.01,0.5013624400726067,0.1312331794606694,"[0.24673817325377795, 0.48300862298119246, 0.40955685693356364, 0.8661461071218924]",1029,0
sheet1_to_sheet2,STATE:2,1.0,0.7032599614186633,0.3124539419450933,"[0.2519668281127826, 0.07916650318823104, 1.249417672146775, 1.2324888422268647]",1029,0
sheet1_to_sheet2,STATE:2,100.0,0.7166620911497633,0.32377141904974555,"[0.24398506622810304, 0.07576521843268795, 1.3166890528238302, 1.2302090271144321]",1029,0
sheet1_to_sheet2,STATE:2,10000.0,0.7168053983907283,0.3238894159799025,"[0.2438921582092245, 0.07575740518597479, 1.3174206820993268, 1.230151348068387]",1029,0
sheet1_to_sheet2,STATE:4,1e-08,0.47937230765798755,0.1501699066771888,"[0.23647756730759836, 0.6824774936405925, 0.20808772888071078, 0.7904464408030485]",1029,0
sheet1_to_sheet2,STATE:4,1e-06,0.4795502845736962,0.14981864511622595,"[0.23651519617543815, 0.6822876968716713, 0.20955514697901234, 0.789843098268663]",1029,0
sheet1_to_sheet2,STATE:4,0.0001,0.48590044270914645,0.140755219453431,"[0.23777898552848753, 0.6722074871954441, 0.25264926996004045, 0.7809660281526138]",1029,0
sheet1_to_sheet2,STATE:4,0.01,0.5097537391565261,0.12022754046938487,"[0.2613729709557399, 0.5348466369125465, 0.4137868102916401, 0.829008538466178]",1029,0
sheet1_to_sheet2,STATE:4,1.0,0.7018665374908868,0.3035960734236807,"[0.2685762339442615, 0.0917065876786836, 1.195157156440573, 1.2520261719000294]",1029,0
sheet1_to_sheet2,STATE:4,100.0,0.7166206223318068,0.3236624466102027,"[0.24420207147176637, 0.07581574468750636, 1.3159240972265251, 1.230540575941429]",1029,0
sheet1_to_sheet2,STATE:4,10000.0,0.7168049790739824,0.32388832371154547,"[0.24389433443476438, 0.07575789704278497, 1.3174130026231172, 1.2301546821952631]",1029,0
sheet2_to_sheet1,A0,0.0,0.040817864157111354,0.016774362940141497,"[0.04301458925649539, 0.03030208667154162, 0.08514292614260202, 0.004811854557806401]",1071,0
sheet2_to_sheet1,AR:2,1e-08,0.03833852349533636,0.0130085200524807,"[0.05273183276127341, 0.027626551205468353, 0.06566949624104128, 0.007326213773562411]",1071,0
sheet2_to_sheet1,AR:2,1e-06,0.038337484389412424,0.013008130131469894,"[0.05272923174932256, 0.027626549371763783, 0.06566826848739664, 0.007325887949166714]",1071,0
sheet2_to_sheet1,AR:2,0.0001,0.03828933769384452,0.01299163793525358,"[0.052616546819818304, 0.027627387013422454, 0.06560914148703799, 0.007304275455099353]",1071,0
sheet2_to_sheet1,AR:2,0.01,0.03787253269493696,0.012858615045054641,"[0.05119106772504546, 0.0276976126285469, 0.06544068265382527, 0.007160767772330203]",1071,0
sheet2_to_sheet1,AR:2,1.0,0.03870484977608811,0.015832513633642756,"[0.0394718251402491, 0.02905205355116464, 0.08106067504534646, 0.0052348453675922215]",1071,0
sheet2_to_sheet1,AR:2,100.0,0.04002048531365633,0.01747694555360506,"[0.037124707828485135, 0.02971165826484473, 0.08823699956278633, 0.005008575598509153]",1071,0
sheet2_to_sheet1,AR:2,10000.0,0.04004142877235136,0.01750063750030173,"[0.03709686268149489, 0.029721532289004895, 0.0883397376191535, 0.005007582499752157]",1071,0
sheet2_to_sheet1,AR:5,1e-08,0.04077722348098783,0.014125421897515289,"[0.05683341704740482, 0.028216161448916102, 0.07043539701379554, 0.007623918413834831]",1071,0
sheet2_to_sheet1,AR:5,1e-06,0.04077689706809972,0.014125345048880003,"[0.05683426703265748, 0.028215686676896203, 0.07043399018690973, 0.007623644375935457]",1071,0
sheet2_to_sheet1,AR:5,0.0001,0.04076837281581771,0.014121474523658046,"[0.05690409912143174, 0.02820026847648509, 0.0703558037536362, 0.007613319911717796]",1071,0
sheet2_to_sheet1,AR:5,0.01,0.040425583882197774,0.01394386128111112,"[0.05677397882325147, 0.02809199305593185, 0.06928668035699653, 0.00754968329261124]",1071,0
sheet2_to_sheet1,AR:5,1.0,0.03866819817096282,0.014851519278733667,"[0.042928878596848505, 0.02888264862754092, 0.07691047934508378, 0.005950786114378085]",1071,0
sheet2_to_sheet1,AR:5,100.0,0.040003325855528515,0.017446531387772378,"[0.03717810952977817, 0.029704457821392905, 0.0881129802674626, 0.005017755803480395]",1071,0
sheet2_to_sheet1,AR:5,10000.0,0.04004125290991215,0.01750032891590647,"[0.037097399394346, 0.0297214589565261, 0.08833847927731123, 0.005007674011465272]",1071,0
