direction,block_min,d,block_rows,mean_delta,se_delta,g,positive_probability
sheet1_to_sheet2,40,7.392022688329734,240,2.6174755762771846e-06,5.5939316040561195e-05,-5.332184046428401e-05,0.0
sheet1_to_sheet2,40,7.383911647128361,240,4.639396628815156e-06,7.410835572183471e-05,-6.946895909301956e-05,0.0
sheet1_to_sheet2,40,7.354356501159178,240,1.6827444692215045e-05,0.00014039896299772217,-0.00012357151830550713,0.0
sheet1_to_sheet2,40,7.3248013551899955,240,3.6512209642203335e-05,0.00020682928071877506,-0.00017031707107657173,0.0
sheet1_to_sheet2,40,7.295246209220812,240,6.360344577365433e-05,0.00027340515657811387,-0.00020980171080445953,0.004
sheet1_to_sheet2,40,7.265691063251629,240,9.801066712095336e-05,0.00034013184023992237,-0.000242121173118969,0.004
sheet1_to_sheet2,40,7.236135917282446,240,0.00013964318630935998,0.00040701399673731244,-0.00026737081042795246,0.004
sheet1_to_sheet2,40,7.206580771313263,240,0.00018841015349250765,0.0004740557205123257,-0.0002856455670198181,0.006
sheet1_to_sheet2,40,7.17702562534408,240,0.0002442205954156245,0.0005412605500428242,-0.00029703995462719974,0.006
sheet1_to_sheet2,40,7.147470479374897,240,0.0003069834545886678,0.0006086314830105135,-0.0003016480284218457,0.006
sheet1_to_sheet2,40,7.117915333405715,240,0.0003766076285616689,0.0006761709919651729,-0.000299563363403504,0.01
sheet1_to_sheet2,40,7.088360187436532,240,0.0004530020092952936,0.000743881040441284,-0.0002908790311459904,0.012
sheet1_to_sheet2,40,7.058805041467348,240,0.000536075522618935,0.0008117630994852618,-0.0002756875768663268,0.012
sheet1_to_sheet2,40,7.0292498954981655,240,0.0006257371677698386,0.0008798181645530603,-0.00025408099678322167,0.014
sheet1_to_sheet2,40,6.999694749528983,240,0.0007218960570064956,0.0009480467727397259,-0.00022615071573323022,0.02
sheet1_to_sheet2,40,6.970139603559799,240,0.0008244614552898206,0.0010164490203042687,-0.00019198756501444811,0.02
sheet1_to_sheet2,40,6.940584457590616,240,0.000933342820025583,0.0010850245804549122,-0.00015168176042932918,0.024
sheet1_to_sheet2,40,6.911029311621434,240,0.0010484498408625622,0.0011537727213617838,-0.00010532288049922164,0.024
sheet1_to_sheet2,40,6.881474165652251,240,0.0011696924795399622,0.0012226923243655644,-5.299984482560224e-05,0.032
sheet1_to_sheet2,40,6.851919019683068,240,0.0012969810097789279,0.001291781902352583,5.199107426344949e-06,0.038
sheet1_to_sheet2,40,6.851919019683068,240,0.0012969810097789279,0.001291781902352583,5.199107426344949e-06,0.038
sheet2_to_sheet1,40,3.166193002345531,240,9.011608963573931e-07,3.5255921394153744e-05,-3.435476049779635e-05,0.952
sheet2_to_sheet1,40,2.7504263317104614,240,0.000273102203745466,0.0006554108701433775,-0.00038230866639791156,0.988
sheet2_to_sheet1,40,2.597031191565831,240,0.000508487489950373,0.0009008120998853765,-0.00039232460993500354,0.992
sheet2_to_sheet1,40,2.495421877005266,240,0.0007088412652817781,0.0010684809157656015,-0.0003596396504838234,0.994
sheet2_to_sheet1,40,2.3691062804289613,240,0.0010102325030371382,0.001282740198264695,-0.0002725076952275567,0.996
sheet2_to_sheet1,40,2.081823033962807,240,0.0019290573183498323,0.0017949331935521483,0.0001341241247976839,0.998
sheet2_to_sheet1,40,2.1515810240154924,240,0.0016746016332049327,0.001667303710561405,7.297922643527627e-06,0.996
