task_id,profile,channel,variant,confirmatory,horizon_min,target_window_min,history_min,direction_1_improvement,direction_2_improvement,pooled_q_improvement,q_bootstrap_positive_probability,pooled_conditional_improvement,conditional_bootstrap_positive_probability,S1_candidate,S1_status,d1_q_rmse,d1_ar_scale_rmse,d1_frozen_arq_improvement,d2_q_rmse,d2_ar_scale_rmse,d2_frozen_arq_improvement
C1__lowpass,C1,crucible_rotation,lowpass,True,2,1,30,0.0003285062777407255,0.0007429269801306759,0.0006070252973408019,0.64,-0.016046298645840285,0.27,False,S1_CANDIDATE_FAIL,0.09770505303973831,0.07428044888733096,-0.005843656857622115,0.14176924791777204,0.12870144336834702,-0.019539108294650553
C1__midband,C1,crucible_rotation,midband,True,2,1,30,0.00023512325658858746,0.00014410738118575406,0.00017395437134937186,0.54,-0.003200424611319308,0.32,False,S1_CANDIDATE_FAIL,0.09770961642882434,0.07428044888733096,-0.006201288147432704,0.14181172021632005,0.12870144336834702,-0.0021730980295113778
C1__raw,C1,crucible_rotation,raw,True,2,1,30,0.0005657199508983801,0.00038445118981023096,0.0004438949616271115,0.54,-0.0031362036158999462,0.31,False,S1_CANDIDATE_FAIL,0.09769346005656743,0.07428044888733096,-0.006018463734635882,0.1417946749512568,0.12870144336834702,-0.002149480161125039
C2__lowpass,C2,crucible_rotation,lowpass,True,5,2,30,0.11022094996899923,0.00040162906675544896,0.03541050627276632,0.73,-0.01792925262192857,0.23,False,S1_CANDIDATE_FAIL,0.19138831935701175,0.12519973989696495,-0.0156066136480435,0.3006475402013695,0.2744006510438801,-0.018426274296401424
C2__midband,C2,crucible_rotation,midband,True,5,2,30,0.11229913014278292,-0.00011407799639973071,0.03572169450470264,0.73,-0.0024862456799201738,0.42,False,S1_CANDIDATE_FAIL,0.19116468410521223,0.12519973989696495,-0.008565947076684788,0.3007250843791354,0.2744006510438801,-0.0011852499580318199
C2__raw,C2,crucible_rotation,raw,True,5,2,30,0.11087998873631022,0.00027044216916716213,0.0355312323631678,0.77,-0.0037665704750227125,0.33,False,S1_CANDIDATE_FAIL,0.1913174277763775,0.12519973989696495,-0.01648964696447064,0.3006672679866693,0.2744006510438801,-0.0010439584581165562
C3__lowpass,C3,crucible_rotation,lowpass,True,10,2,60,0.0009093868643416103,0.002041914516336063,0.00173362264202237,0.65,-0.009062264768805672,0.26,False,S1_CANDIDATE_FAIL,0.2635968813007404,0.18498890765092774,-0.05528145040952093,0.43709563065392243,0.37642984765330484,0.002430410868127675
C3__midband,C3,crucible_rotation,midband,True,10,2,60,0.009230075679331207,0.0025721447825280963,0.004384538494604295,0.74,-0.012632122989332473,0.06,False,S1_CANDIDATE_FAIL,0.2624969343495332,0.18498890765092774,-0.06669771338862951,0.43697949745718634,0.37642984765330484,0.0008116078978481767
C3__raw,C3,crucible_rotation,raw,True,10,2,60,0.0028807510221725563,0.0007988020709321919,0.0013655413847787345,0.63,-0.010727843367015932,0.1,False,S1_CANDIDATE_FAIL,0.263336693673115,0.18498890765092774,-0.054417360548696836,0.43736778131931825,0.37642984765330484,0.00013581514930738336
C4__lowpass,C4,crucible_rotation,lowpass,True,20,5,60,-0.0002803974989875613,-2.932463860094714e-05,-9.37569090946333e-05,0.33,-0.037168628999376674,0.04,False,S1_CANDIDATE_FAIL,0.4123594311130769,0.28382136659798285,-0.12160029088954638,0.7122873648176218,0.4585623294291577,-0.0038441215715840915
C4__midband,C4,crucible_rotation,midband,True,20,5,60,0.0001985799293450219,0.003453084619515212,0.0026178883095798744,0.88,-0.037728114187463246,0.09,False,S1_CANDIDATE_FAIL,0.41226069154455147,0.28382136659798285,-0.12320398190135906,0.7110460815544402,0.4585623294291577,-0.003991467001315918
C4__raw,C4,crucible_rotation,raw,True,20,5,60,0.002465798307548006,9.480564614694487e-06,0.0006398399311637881,0.87,-0.03555557805965592,0.03,False,S1_CANDIDATE_FAIL,0.41179299091503013,0.28382136659798285,-0.11531989995384762,0.7122735448608443,0.4585623294291577,-0.004073232717531017
C5__lowpass,C5,crucible_rotation,lowpass,True,40,5,120,-0.0019033998759205861,-9.980130347186922e-05,-0.00044807483839393036,0.47,-0.17157350644225988,0.0,False,S1_CANDIDATE_FAIL,0.34490780724859244,0.36106578285862095,-0.6776680409493157,0.7167598453993168,0.6326032902404752,-0.0008765852475121072
C5__midband,C5,crucible_rotation,midband,True,40,5,120,-0.0011096328210151718,-0.0014608558619095824,-0.001393034955491368,0.29,-0.1742674534970825,0.03,False,S1_CANDIDATE_FAIL,0.34477115200749425,0.36106578285862095,-0.6884079340274869,0.7172474055250462,0.6326032902404752,-0.0008567740602656304
C5__raw,C5,crucible_rotation,raw,True,40,5,120,-0.0040406774272738755,-0.000837668969455585,-0.0014561675062312318,0.24,-0.16411662778036273,0.03,False,S1_CANDIDATE_FAIL,0.34527549289572906,0.36106578285862095,-0.6488903666227195,0.7170242072157432,0.6326032902404752,-0.0006108416982104625
C6__lowpass,C6,crucible_rotation,lowpass,True,60,10,120,-0.07716185425608191,-0.00014583062008721726,-0.024938038612618563,0.14,-0.15402539715279673,0.11,False,S1_CANDIDATE_FAIL,0.3862807539263728,0.3398713269684526,-0.45921695178361355,0.5501981143540312,0.49333778055321503,-0.0037772543206369136
C6__midband,C6,crucible_rotation,midband,True,60,10,120,-0.02332382298785385,-8.164177626013291e-05,-0.007563526241256335,0.2,-0.3171783691784813,0.0,False,S1_CANDIDATE_FAIL,0.3765035973317525,0.3398713269684526,-0.9532855139469518,0.5501804583550644,0.49333778055321503,-0.004017943558761727
C6__raw,C6,crucible_rotation,raw,True,60,10,120,-0.5706495675232273,-4.0657853829895174e-05,-0.18372522248128087,0.0,-0.2856435684648815,0.01,False,S1_CANDIDATE_FAIL,0.4664469281072192,0.3398713269684526,-0.8576624508376902,0.5501691848833277,0.49333778055321503,-0.004034285909839452
R1__innovation,R1,crystal_rotation,innovation,True,2,1,30,0.0004450687412922427,0.004230109276881611,0.00298887452377139,0.95,-0.005586650271878657,0.25,False,S1_CANDIDATE_FAIL,0.09769935663158892,0.07428044888733096,-0.006180982333747753,0.1415216603380991,0.12870144336834702,-0.005383184463376711
