direction,log10_lambda,lambda,gcv,effective_df,rss_mean,selected
sheet1_to_sheet2,-12.0,1e-12,1.1282025771656747e-05,719.3611880254692,7.123090802862997e-06,
sheet1_to_sheet2,-11.0,1e-11,1.6607099235231928e-05,663.3412807735028,1.0911585539397084e-05,
sheet1_to_sheet2,-10.0,1e-10,2.477550806417589e-05,598.6928236412969,1.7028494792736826e-05,
sheet1_to_sheet2,-9.0,1e-09,3.897494126792818e-05,532.8500289566443,2.801673062152732e-05,
sheet1_to_sheet2,-8.0,1e-08,6.070067200070094e-05,460.34256512262317,4.579117800107557e-05,
sheet1_to_sheet2,-7.0,1e-07,0.00010567370408625038,377.81578713678203,8.410230798122642e-05,
sheet1_to_sheet2,-6.0,1e-06,0.0001985933307275196,287.27139891144407,0.00016734818418995268,
sheet1_to_sheet2,-5.0,1e-05,0.00043641485166450556,198.44956700109552,0.0003883551964793952,
sheet1_to_sheet2,-4.0,0.0001,0.0010428313877532459,127.67206659397692,0.0009681806199026699,
sheet1_to_sheet2,-3.0,0.001,0.0022551426303571527,80.31575230773392,0.0021528887690548393,
sheet1_to_sheet2,-2.0,0.01,0.005213201118298122,50.46875736817107,0.005064024685329627,
sheet1_to_sheet2,-1.0,0.1,0.014402770185411433,31.308388130598527,0.014146395633500508,
sheet1_to_sheet2,0.0,1.0,0.04513539870225663,19.26736881193596,0.0446401113970194,
sheet1_to_sheet2,1.0,10.0,0.20044172046481243,11.430226685747083,0.19913540673845243,
sheet1_to_sheet2,2.0,100.0,0.3924504354351438,6.659123056472505,0.3909593497412539,
sheet1_to_sheet2,3.0,1000.0,0.4507220554155243,3.127787709747447,0.44991729622345145,
sheet1_to_sheet2,4.0,10000.0,0.47385131511499534,1.390522802523202,0.4734750899606331,
sheet1_to_sheet2,5.0,100000.0,0.4784121684890708,1.0438732340061094,0.47812700159764066,
sheet1_to_sheet2,6.0,1000000.0,0.4789183528981965,1.0044449523204662,0.4786436652139679,
sheet1_to_sheet2,7.0,10000000.0,0.47896953341846027,1.0004450829990932,0.4786959101925406,
sheet1_to_sheet2,8.0,100000000.0,0.4789746571598943,1.00004451418931,0.4787011405486055,
sheet1_to_sheet2,9.0,1000000000.0,0.4789751695910012,1.0000044514778368,0.47870166364286704,
sheet1_to_sheet2,10.0,10000000000.0,0.4789752208346816,1.0000004451483728,0.47870171595287986,
sheet1_to_sheet2,11.0,100000000000.0,0.47897522595905545,1.0000000445148431,0.478701721183887,
sheet1_to_sheet2,12.0,1000000000000.0,0.4789752264714928,1.0000000044514843,0.47870172170698777,
sheet1_to_sheet2,-11.999999667812604,1.0000007648900382e-12,1.1282026957067217e-05,719.3611717340987,7.4041401718770434e-06,1.0
sheet2_to_sheet1,-12.0,1e-12,1.8053665283658477e-05,693.8792333514947,1.1772678740723519e-05,
sheet2_to_sheet1,-11.0,1e-11,2.3147618955018468e-05,643.5677184015735,1.5620660691356703e-05,
sheet2_to_sheet1,-10.0,1e-10,3.30722635263874e-05,582.0230839444125,2.325535874247997e-05,
sheet2_to_sheet1,-9.0,1e-09,4.947841773552007e-05,516.6570573836805,3.631251300545424e-05,
sheet2_to_sheet1,-8.0,1e-08,7.280763082982117e-05,449.77587178343845,5.5773357565153114e-05,
sheet2_to_sheet1,-7.0,1e-07,0.00011994734812939831,374.4858022228936,9.632154071997912e-05,
sheet2_to_sheet1,-6.0,1e-06,0.00022173879863874357,288.15976072588677,0.00018770690946662283,
sheet2_to_sheet1,-5.0,1e-05,0.00042570320726572345,201.24103364645762,0.000379501922974701,
sheet2_to_sheet1,-4.0,0.0001,0.0008887262881128107,131.28043026072612,0.0008251767808489519,
sheet2_to_sheet1,-3.0,0.001,0.0018169312326959607,83.01782669271077,0.0017342122880940058,
sheet2_to_sheet1,-2.0,0.01,0.003233504415710886,51.55280271504002,0.003141685105217923,
sheet2_to_sheet1,-1.0,0.1,0.005486202469571485,31.25725905488904,0.005391478350413037,
sheet2_to_sheet1,0.0,1.0,0.014915537718421423,18.279770233502827,0.014764657642675788,
sheet2_to_sheet1,1.0,10.0,0.06622715800217771,10.647450874605171,0.06583652883581503,
sheet2_to_sheet1,2.0,100.0,0.14404289654638025,6.168662784520339,0.14355036293393195,
sheet2_to_sheet1,3.0,1000.0,0.18759141950419095,3.1274069341581474,0.18726608234450032,
sheet2_to_sheet1,4.0,10000.0,0.20422872213273224,1.493807355000428,0.2040595042911709,
sheet2_to_sheet1,5.0,100000.0,0.20729142337254824,1.0605254509768458,0.20716947857692575,
sheet2_to_sheet1,6.0,1000000.0,0.20763462468390412,1.006201879079548,0.20751873386944578,
sheet2_to_sheet1,7.0,10000000.0,0.20766938035399898,1.000621733141162,0.20755411286079614,
sheet2_to_sheet1,8.0,100000000.0,0.20767286035556673,1.000062188820274,0.20755765538011312,
sheet2_to_sheet1,9.0,1000000000.0,0.20767320840014977,1.000006219037143,0.207558009678334,
sheet2_to_sheet1,10.0,10000000000.0,0.20767324320505243,1.0000006219052655,0.20755804510861905,
sheet2_to_sheet1,11.0,100000000000.0,0.20767324668554718,1.000000062190542,0.2075580486516522,
sheet2_to_sheet1,12.0,1000000000000.0,0.2076732470335967,1.0000000062190544,0.20755804900595556,
sheet2_to_sheet1,-11.999999667812604,1.0000007648900382e-12,1.8053666576191675e-05,693.8792188148295,1.1776246045571008e-05,1.0
