comparison,direction,block_min,observed_relative_improvement,median_relative_improvement,lower_95,upper_95,positive_probability
LIN-UOI_vs_FULL-UOI,sheet1_to_sheet2,10,-2.8792970287815063,-2.6409524509103157,-6.839659259511745,-0.25259117997022223,0.008
LIN-UOI_vs_FULL-UOI,sheet1_to_sheet2,22,-2.8792970287815063,-2.4968118023970156,-9.112924819088011,0.12754290419646444,0.046
LIN-UOI_vs_FULL-UOI,sheet1_to_sheet2,40,-2.8792970287815063,-2.531822357334975,-9.838552414646603,0.26919654047803804,0.083
LIN-UOI_vs_FULL-UOI,sheet1_to_sheet2,60,-2.8792970287815063,-2.516253003503592,-11.991347044439873,0.4277368022483075,0.118
LIN-UOI_vs_FULL-UOI,sheet2_to_sheet1,10,-272.7013501801599,-265.63133535200336,-440.66880055359957,-94.16300094639449,0.0
LIN-UOI_vs_FULL-UOI,sheet2_to_sheet1,22,-272.7013501801599,-263.3981501857412,-476.1257630091772,-62.830702864636265,0.0
LIN-UOI_vs_FULL-UOI,sheet2_to_sheet1,40,-272.7013501801599,-263.4330456035501,-474.3185042429335,-52.364939192148924,0.0
LIN-UOI_vs_FULL-UOI,sheet2_to_sheet1,60,-272.7013501801599,-269.5718475123325,-437.78557996750334,-52.005209766347775,0.0
LIN-UOI_vs_FULL-UOI,pooled,10,-135.7824126378036,-134.83444302223904,-245.01218468139993,-40.3915798763299,0.0
LIN-UOI_vs_FULL-UOI,pooled,22,-135.7824126378036,-125.90225876643134,-286.9724358188154,-22.23413268164086,0.0
LIN-UOI_vs_FULL-UOI,pooled,40,-135.7824126378036,-135.5447610251676,-280.14482568483845,-20.61807765581913,0.0
LIN-UOI_vs_FULL-UOI,pooled,60,-135.7824126378036,-134.2789364481559,-279.745368653004,-18.207790386760287,0.0
