baseline,candidate,direction,block_min,observed_relative_improvement,median_relative_improvement,lower_95,upper_95,positive_probability
Persistence,FULL-UOI,sheet1_to_sheet2,10,-8660.009425938317,-7986.800680283355,-19240.053501506503,-2849.378728946268,0.0
Persistence,FULL-UOI,sheet1_to_sheet2,22,-8660.009425938317,-8026.850368648475,-24365.1653401748,-2099.1808919551545,0.0
Persistence,FULL-UOI,sheet1_to_sheet2,40,-8660.009425938317,-8526.36262094857,-24511.63154628827,-2101.7137814421944,0.0
Persistence,FULL-UOI,sheet1_to_sheet2,60,-8660.009425938317,-8871.341791708026,-24852.556433814898,-1980.01448033827,0.0
Persistence,FULL-UOI,sheet2_to_sheet1,10,-139859.72232736895,-134062.17602031474,-303460.03102194564,-34550.09769167316,0.0
Persistence,FULL-UOI,sheet2_to_sheet1,22,-139859.72232736895,-133874.3409051683,-405677.7665451164,-18026.320159330677,0.0
Persistence,FULL-UOI,sheet2_to_sheet1,40,-139859.72232736895,-139196.03097958482,-501910.96088801743,-12173.261747314791,0.0
Persistence,FULL-UOI,sheet2_to_sheet1,60,-139859.72232736895,-157395.99934167136,-550856.1275262692,-13087.703616756424,0.0
Persistence,FULL-UOI,pooled,10,-114826.38744525434,-109504.86077343082,-244694.26121161066,-35603.39627056944,0.0
Persistence,FULL-UOI,pooled,22,-114826.38744525434,-110243.7317998962,-316047.60318018484,-14408.32925240502,0.0
Persistence,FULL-UOI,pooled,40,-114826.38744525434,-122108.92989218814,-408986.2536462645,-13789.179957765042,0.0
Persistence,FULL-UOI,pooled,60,-114826.38744525434,-126567.10759977446,-429303.40081650176,-12378.87902970684,0.0
old K-only,FULL-UOI,sheet1_to_sheet2,10,-8096.828888196829,-7623.789855428453,-18137.403484831528,-2704.3037928328104,0.0
old K-only,FULL-UOI,sheet1_to_sheet2,22,-8096.828888196829,-7520.203335162041,-20085.154765338153,-2071.506798967184,0.0
old K-only,FULL-UOI,sheet1_to_sheet2,40,-8096.828888196829,-7869.867782979337,-21984.54303876064,-1965.9954724486445,0.0
old K-only,FULL-UOI,sheet1_to_sheet2,60,-8096.828888196829,-8086.533444381734,-22920.280596701356,-1948.8560498013119,0.0
old K-only,FULL-UOI,sheet2_to_sheet1,10,-256066.1982288556,-249213.37688565828,-530778.1965926111,-63510.04096490648,0.0
old K-only,FULL-UOI,sheet2_to_sheet1,22,-256066.1982288556,-250414.79744349376,-722798.3635282104,-30621.594902506204,0.0
old K-only,FULL-UOI,sheet2_to_sheet1,40,-256066.1982288556,-253154.77012988,-875348.9365562308,-25273.255611412842,0.0
old K-only,FULL-UOI,sheet2_to_sheet1,60,-256066.1982288556,-277625.8487632088,-1030881.9373239429,-23384.223767405416,0.0
old K-only,FULL-UOI,pooled,10,-177737.63827492186,-175090.72068598744,-362900.80618092633,-57187.07094723346,0.0
old K-only,FULL-UOI,pooled,22,-177737.63827492186,-171922.25000613718,-451113.86325978866,-26266.684432140097,0.0
old K-only,FULL-UOI,pooled,40,-177737.63827492186,-176268.41800734453,-558545.8573401896,-20120.209255437465,0.0
old K-only,FULL-UOI,pooled,60,-177737.63827492186,-184302.23603259813,-658588.8381991326,-19296.374042316038,0.0
NLinear-U,FULL-UOI,sheet1_to_sheet2,10,-18036.070713048375,-17130.265021248997,-31287.797311747592,-7018.996380517472,0.0
NLinear-U,FULL-UOI,sheet1_to_sheet2,22,-18036.070713048375,-16507.839271644745,-32244.07295117807,-5524.501172370261,0.0
NLinear-U,FULL-UOI,sheet1_to_sheet2,40,-18036.070713048375,-17364.74584976537,-35627.82543425381,-5119.238509649389,0.0
NLinear-U,FULL-UOI,sheet1_to_sheet2,60,-18036.070713048375,-17542.41694507464,-33611.65131903966,-4743.8736995526215,0.0
NLinear-U,FULL-UOI,sheet2_to_sheet1,10,-271488.70203505974,-262239.3621321606,-625208.0250054483,-66907.13119900494,0.0
NLinear-U,FULL-UOI,sheet2_to_sheet1,22,-271488.70203505974,-258521.88133649426,-823826.454980936,-28635.41126575941,0.0
NLinear-U,FULL-UOI,sheet2_to_sheet1,40,-271488.70203505974,-259893.07947639353,-1084775.7564890683,-27537.061027288575,0.0
NLinear-U,FULL-UOI,sheet2_to_sheet1,60,-271488.70203505974,-300628.9338858813,-1166024.0517368286,-24471.47546587357,0.0
NLinear-U,FULL-UOI,pooled,10,-225821.28522640455,-215631.2396628178,-470254.1610138921,-65536.81750813847,0.0
NLinear-U,FULL-UOI,pooled,22,-225821.28522640455,-215580.0536949797,-642414.2925936353,-28250.082986754118,0.0
NLinear-U,FULL-UOI,pooled,40,-225821.28522640455,-229303.0443907564,-853308.1892777396,-25865.790074678727,0.0
NLinear-U,FULL-UOI,pooled,60,-225821.28522640455,-235705.012160833,-967017.4394702642,-23857.750276054114,0.0
LIN-UOI,FULL-UOI,sheet1_to_sheet2,10,-2.8792970287815063,-2.5819850438885004,-7.439197056016417,-0.25640945659233677,0.005
LIN-UOI,FULL-UOI,sheet1_to_sheet2,22,-2.8792970287815063,-2.602345748688532,-8.9342284030815,0.14552759491792697,0.061
LIN-UOI,FULL-UOI,sheet1_to_sheet2,40,-2.8792970287815063,-2.6206873538706876,-10.320577326992968,0.28084518601753006,0.091
LIN-UOI,FULL-UOI,sheet1_to_sheet2,60,-2.8792970287815063,-2.4939954487757214,-12.08216106517826,0.4293164086497095,0.137
