direction,candidate,ridge,mean_mse,se_mse,fold_mse,eligible_rows,maximum_causality_margin_raw
sheet1_to_sheet2,A0,0.0,20266.572716444723,9581.408949557463,"[2253.3848608447192, 6151.314004213726, 30771.714923483265, 41889.87707723719]",1029,0
sheet1_to_sheet2,AR:2,1e-08,18612.402641521767,8729.60484921363,"[1626.3210772510383, 6003.002527412301, 29602.138501228575, 37218.14846019515]",1029,0
sheet1_to_sheet2,AR:2,1e-06,18612.40264150811,8729.604849205849,"[1626.321077247952, 6003.002527414698, 29602.13850120678, 37218.148460163015]",1029,0
sheet1_to_sheet2,AR:2,0.0001,18612.402640142336,8729.604848427454,"[1626.3210769391876, 6003.002527654458, 29602.138499027318, 37218.14845694838]",1029,0
sheet1_to_sheet2,AR:2,0.01,18612.402503566882,8729.604770589242,"[1626.32104606315, 6003.002551630159, 29602.138281083662, 37218.148135490555]",1029,0
sheet1_to_sheet2,AR:2,1.0,18612.388863522647,8729.596997295783,"[1626.317960728968, 6003.004946693303, 29602.11651260385, 37218.11603406447]",1029,0
sheet1_to_sheet2,AR:2,100.0,18611.164947536156,8728.90348837899,"[1626.0291988712258, 6003.223315726672, 29600.14994162176, 37215.257333924965]",1029,0
sheet1_to_sheet2,AR:2,10000.0,18577.94024776999,8711.603934823193,"[1615.7191890331344, 6008.770495019252, 29538.90016616411, 37148.37114086348]",1029,0
sheet1_to_sheet2,AR:5,1e-08,18820.835976633614,8884.146546831875,"[1626.5979824378273, 5980.5882198214995, 29619.79907443765, 38056.35862983747]",1029,0
sheet1_to_sheet2,AR:5,1e-06,18820.835976631006,8884.146546830427,"[1626.597982436778, 5980.588219821482, 29619.79907443678, 38056.35862982898]",1029,0
sheet1_to_sheet2,AR:5,0.0001,18820.835976370225,8884.146546685448,"[1626.5979823318985, 5980.58821981982, 29619.799074349645, 38056.35862897953]",1029,0
sheet1_to_sheet2,AR:5,0.01,18820.835950292083,8884.146532187786,"[1626.597971843927, 5980.588219653578, 29619.799065636642, 38056.358544034185]",1029,0
sheet1_to_sheet2,AR:5,1.0,18820.833344147417,8884.145083392015,"[1626.5969236625538, 5980.588203053034, 29619.798194550625, 38056.35005532345]",1029,0
sheet1_to_sheet2,AR:5,100.0,18820.58634023073,8884.008000479913,"[1626.4974986944478, 5980.586712739904, 29619.71276948701, 38055.54838000156]",1029,0
sheet1_to_sheet2,AR:5,10000.0,18806.2463263409,8876.046196918212,"[1621.9743686538504, 5980.517392926207, 29609.35725961451, 38013.13628416903]",1029,0
sheet1_to_sheet2,AR:10,1e-08,18750.635863765878,8874.05782086441,"[1540.2230650778672, 5961.270016266178, 29553.66447890361, 37947.385894815845]",1029,0
sheet1_to_sheet2,AR:10,1e-06,18750.635863779495,8874.05782087278,"[1540.2230650787885, 5961.2700162679275, 29553.664478911323, 37947.38589485994]",1029,0
sheet1_to_sheet2,AR:10,0.0001,18750.635865141718,8874.05782171006,"[1540.2230651710336, 5961.2700164428625, 29553.664479684106, 37947.38589926887]",1029,0
sheet1_to_sheet2,AR:10,0.01,18750.636001361847,8874.0579054365,"[1540.2230743955313, 5961.270033936078, 29553.66455696067, 37947.386340155106]",1029,0
sheet1_to_sheet2,AR:10,1.0,18750.649605149243,8874.066266540407,"[1540.223996024877, 5961.27178154692, 29553.672274397315, 37947.43036862785]",1029,0
sheet1_to_sheet2,AR:10,100.0,18751.863855772554,8874.810426910162,"[1540.3089978856958, 5961.432072028102, 29554.36016574378, 37951.35418743263]",1029,0
sheet1_to_sheet2,AR:10,10000.0,18781.185533078373,8893.397999758838,"[1542.176167487213, 5965.7227760275655, 29562.5318810562, 38054.31130774251]",1029,0
sheet1_to_sheet2,AR:20,1e-08,18344.119176241347,8747.264856744465,"[1252.7345718474328, 5915.133220376117, 28870.24900712814, 37338.3599056137]",1029,0
sheet1_to_sheet2,AR:20,1e-06,18344.119176241722,8747.264856746222,"[1252.7345718469746, 5915.133220376722, 28870.249007109443, 37338.359905633755]",1029,0
sheet1_to_sheet2,AR:20,0.0001,18344.119176279048,8747.264856921765,"[1252.7345718011554, 5915.133220437175, 28870.249005239268, 37338.359907638594]",1029,0
sheet1_to_sheet2,AR:20,0.01,18344.119180012072,8747.264874476416,"[1252.734567219177, 5915.133226482348, 28870.24881822549, 37338.36010812128]",1029,0
sheet1_to_sheet2,AR:20,1.0,18344.119552734235,8747.266627653797,"[1252.7341094444005, 5915.133830430858, 28870.2301403474, 37338.380130714286]",1029,0
sheet1_to_sheet2,AR:20,100.0,18344.153508849362,8747.424218564496,"[1252.6920353789678, 5915.189410176356, 28868.55476294221, 37340.17782689992]",1029,0
sheet1_to_sheet2,AR:20,10000.0,18347.592770670526,8752.647756292756,"[1252.1342677517403, 5916.8301955047245, 28831.1771824579, 37390.22943696774]",1029,0
sheet1_to_sheet2,AR:40,1e-08,19212.50199122403,9332.273009212178,"[1041.44898662674, 5792.18581644301, 30777.55557710413, 39238.81758472225]",1029,0
sheet1_to_sheet2,AR:40,1e-06,19212.50199119992,9332.273009200422,"[1041.4489866251931, 5792.185816439373, 30777.555577052757, 39238.81758468234]",1029,0
sheet1_to_sheet2,AR:40,0.0001,19212.50198878847,9332.273008024773,"[1041.4489864704558, 5792.185816075864, 30777.55557191839, 39238.81758068916]",1029,0
sheet1_to_sheet2,AR:40,0.01,19212.501747646886,9332.27289046166,"[1041.4489709968857, 5792.185779725402, 30777.55505848591, 39238.817181379345]",1029,0
sheet1_to_sheet2,AR:40,1.0,19212.477664016093,9332.261149193297,"[1041.4474247144208, 5792.182151270762, 30777.50377426136, 39238.77730581782]",1029,0
sheet1_to_sheet2,AR:40,100.0,19210.315027810964,9331.207661597184,"[1041.302201472232, 5791.8711527597125, 30772.857756038866, 39235.22900097305]",1029,0
sheet1_to_sheet2,AR:40,10000.0,19152.78583005957,9303.617231996705,"[1036.129817654495, 5786.786568966402, 30637.0270018803, 39151.19993173708]",1029,0
sheet1_to_sheet2,STATE:2,1e-08,18512.930416450956,8865.623672882886,"[1101.6662837581864, 5990.500781959212, 29283.64673801371, 37675.907862072716]",1029,0
sheet1_to_sheet2,STATE:2,1e-06,18512.93041649804,8865.623672907968,"[1101.6662837724527, 5990.50078196155, 29283.646738054802, 37675.90786220335]",1029,0
sheet1_to_sheet2,STATE:2,0.0001,18512.93042120611,8865.623675415816,"[1101.6662851991066, 5990.500782195531, 29283.64674216412, 37675.90787526569]",1029,0
sheet1_to_sheet2,STATE:2,0.01,18512.930892013595,8865.623926200888,"[1101.6664278645048, 5990.500805593622, 29283.64715309549, 37675.90918150077]",1029,0
