direction,candidate,lambda,oof_mse,oof_se,fold_mse
sheet1_to_sheet2,A0,,0.4231231256764933,0.0,
sheet1_to_sheet2,AR:2,1e-06,0.6164417658407066,0.22177097969173132,"[0.058008223544673436, 0.5978874011543339, 0.6687804725248736, 1.141090966138946]"
sheet1_to_sheet2,AR:2,0.0001,0.6262878642929757,0.23247342950948752,"[0.0643764784303854, 0.5766112339949215, 0.6644117197419399, 1.199752025004656]"
sheet1_to_sheet2,AR:2,0.01,0.6139718981073967,0.3158936583020869,"[0.09819797156533264, 0.32661232021244585, 0.5025300456307761, 1.5285472550210322]"
sheet1_to_sheet2,AR:2,1.0,0.6676884723500034,0.42449075189696606,"[0.1934397542834554, 0.13361626558189374, 0.4156054987650793, 1.928092370769585]"
sheet1_to_sheet2,AR:2,100.0,0.6692322786910158,0.4066933602928187,"[0.2011429334152585, 0.09710984224288595, 0.5195091321081237, 1.859167206997795]"
sheet1_to_sheet2,AR:2,10000.0,0.6697901328799621,0.40610838515769343,"[0.2017924934912681, 0.09676446721218171, 0.5232773176703477, 1.857326253146051]"
sheet1_to_sheet2,AR:2,1000000.0,0.6697960328738721,0.40610241732368946,"[0.20179927897423144, 0.09676123582366554, 0.5233159706757882, 1.8573076460218032]"
sheet1_to_sheet2,AR:5,1e-06,0.6348156704362364,0.2250842395635576,"[0.02993168505482212, 0.6735764329001654, 0.7174774383846466, 1.1182771254053114]"
sheet1_to_sheet2,AR:5,0.0001,0.6402934882761047,0.22824346684834718,"[0.03244288011061197, 0.6728275027641317, 0.7168765065040499, 1.139027063725625]"
sheet1_to_sheet2,AR:5,0.01,0.6418516106427776,0.23716808794328778,"[0.04008335688180905, 0.6330789755076193, 0.695723621926149, 1.1985204882555334]"
sheet1_to_sheet2,AR:5,1.0,0.6484573051286967,0.37471974103367495,"[0.14169914949026394, 0.23312159032493912, 0.46508881743031016, 1.7539196632692735]"
sheet1_to_sheet2,AR:5,100.0,0.6731963290693905,0.396610783668824,"[0.18296120974372324, 0.11113733983408786, 0.5757653450851125, 1.8229214216146385]"
sheet1_to_sheet2,AR:5,10000.0,0.6760023271736817,0.396741429629457,"[0.1858818945020282, 0.10821995691688836, 0.5858127450588411, 1.824094712216969]"
sheet1_to_sheet2,AR:5,1000000.0,0.67603340781807,0.39674276271515035,"[0.18591372657775723, 0.10819181374645849, 0.5859197758851874, 1.8241083150628767]"
sheet1_to_sheet2,AR:10,1e-06,0.697768286269321,0.24997514566490792,"[0.03506585625348792, 0.7179597323056406, 0.7911438823783593, 1.246903674139796]"
sheet1_to_sheet2,AR:10,0.0001,0.7017155159285813,0.2512310635645385,"[0.036300559461643005, 0.7240192074924958, 0.7916097584945849, 1.2549325382656014]"
sheet1_to_sheet2,AR:10,0.01,0.6995243121639501,0.24964263459580233,"[0.033204855239178696, 0.7283750856889388, 0.7948082196195094, 1.2417090881081732]"
sheet1_to_sheet2,AR:10,1.0,0.6548455053423121,0.2858221456415873,"[0.05523410495810311, 0.48259632438194855, 0.657863536521049, 1.4236880555081475]"
sheet1_to_sheet2,AR:10,100.0,0.673049072554644,0.3776262230205944,"[0.13224349688682635, 0.1399021117706809, 0.6819082164551561, 1.7381424651059125]"
sheet1_to_sheet2,AR:10,10000.0,0.6808286904188692,0.3831420627319749,"[0.14046250056001136, 0.12496285046444607, 0.6999223522774263, 1.7579670583735931]"
sheet1_to_sheet2,AR:10,1000000.0,0.6809222059034239,0.3832019992178241,"[0.14055812558406097, 0.12481356838354354, 0.700126949535287, 1.7581901801108042]"
sheet1_to_sheet2,AR:20,1e-06,0.8981143358564616,0.4166333560132699,"[0.055032518100387305, 0.7824554581565034, 0.7069459255208208, 2.0480234416481347]"
sheet1_to_sheet2,AR:20,0.0001,0.8975391810984391,0.41047448268564324,"[0.056431398200668455, 0.7818258924881314, 0.7266168044803241, 2.0252826292246326]"
sheet1_to_sheet2,AR:20,0.01,0.8648866400986461,0.36920141790270844,"[0.0545608097608322, 0.7729328480555335, 0.7851881830233713, 1.8468647195548473]"
sheet1_to_sheet2,AR:20,1.0,0.7508211834082632,0.26466507251897914,"[0.0539467993664185, 0.7295880982390754, 0.8900485232952665, 1.329701312732292]"
