direction,regime,seed,stage,truth_active,selected_active,correct,false_admission,missed_admission,relative_admission_margin
Rod_1_to_Rod_2,NULL,0,K,False,False,True,False,False,-0.005126155883004336
Rod_1_to_Rod_2,NULL,0,C,False,True,False,True,False,0.00014782499272578806
Rod_1_to_Rod_2,NULL,0,W,False,False,True,False,False,-0.0019571675301218137
Rod_1_to_Rod_2,NULL,0,A,False,False,True,False,False,-0.0008131647028327338
Rod_1_to_Rod_2,NULL,1,K,False,False,True,False,False,-0.0004500321098537723
Rod_1_to_Rod_2,NULL,1,C,False,False,True,False,False,-0.0004519488135404965
Rod_1_to_Rod_2,NULL,1,W,False,True,False,True,False,0.0002684582369681634
Rod_1_to_Rod_2,NULL,1,A,False,False,True,False,False,-0.0003185175290276039
Rod_1_to_Rod_2,NULL,2,K,False,False,True,False,False,-0.005391504087751272
Rod_1_to_Rod_2,NULL,2,C,False,False,True,False,False,-0.002103543318446209
Rod_1_to_Rod_2,NULL,2,W,False,False,True,False,False,-0.0015025549477949746
Rod_1_to_Rod_2,NULL,2,A,False,False,True,False,False,-0.015424379867341418
Rod_1_to_Rod_2,NULL,3,K,False,False,True,False,False,-0.001334241581918974
Rod_1_to_Rod_2,NULL,3,C,False,False,True,False,False,-0.0003383312642852603
Rod_1_to_Rod_2,NULL,3,W,False,False,True,False,False,-0.0011012741913276943
Rod_1_to_Rod_2,NULL,3,A,False,False,True,False,False,-0.0014797380535195206
Rod_1_to_Rod_2,NULL,4,K,False,False,True,False,False,-0.0016290291353378192
Rod_1_to_Rod_2,NULL,4,C,False,False,True,False,False,-0.0007678999656533501
Rod_1_to_Rod_2,NULL,4,W,False,False,True,False,False,-1.7575700476480195e-05
Rod_1_to_Rod_2,NULL,4,A,False,True,False,True,False,7.823412510318192e-05
Rod_1_to_Rod_2,NULL,5,K,False,False,True,False,False,-0.017267659536631542
Rod_1_to_Rod_2,NULL,5,C,False,True,False,True,False,0.0029724698362609005
Rod_1_to_Rod_2,NULL,5,W,False,False,True,False,False,-0.0007353280065357753
Rod_1_to_Rod_2,NULL,5,A,False,False,True,False,False,-0.001573856286166551
Rod_1_to_Rod_2,NULL,6,K,False,False,True,False,False,-0.002266894579144214
Rod_1_to_Rod_2,NULL,6,C,False,False,True,False,False,-0.0003437240711599721
Rod_1_to_Rod_2,NULL,6,W,False,False,True,False,False,-0.0006685683490232616
Rod_1_to_Rod_2,NULL,6,A,False,True,False,True,False,0.004584862426826224
Rod_1_to_Rod_2,NULL,7,K,False,False,True,False,False,-0.0027012738188435517
Rod_1_to_Rod_2,NULL,7,C,False,False,True,False,False,-0.002462167235218177
Rod_1_to_Rod_2,NULL,7,W,False,False,True,False,False,-0.008830124451631255
Rod_1_to_Rod_2,NULL,7,A,False,False,True,False,False,-0.000662033467429218
Rod_1_to_Rod_2,NULL,8,K,False,False,True,False,False,-0.0036291738466865267
Rod_1_to_Rod_2,NULL,8,C,False,True,False,True,False,0.0006277219535972957
Rod_1_to_Rod_2,NULL,8,W,False,True,False,True,False,0.0004634900149245485
Rod_1_to_Rod_2,NULL,8,A,False,True,False,True,False,4.301289448481159e-05
Rod_1_to_Rod_2,NULL,9,K,False,False,True,False,False,-0.0010042451637998517
Rod_1_to_Rod_2,NULL,9,C,False,False,True,False,False,-0.0013935401418509912
Rod_1_to_Rod_2,NULL,9,W,False,True,False,True,False,0.00032087311128327757
Rod_1_to_Rod_2,NULL,9,A,False,False,True,False,False,-0.0007205688730049921
Rod_1_to_Rod_2,K_ONLY,0,K,True,True,True,False,False,0.5341128213549072
Rod_1_to_Rod_2,K_ONLY,0,C,False,False,True,False,False,-0.09616380062254726
Rod_1_to_Rod_2,K_ONLY,0,W,False,False,True,False,False,-0.012418445956637977
