source,direction,condition,active_signature,stability_value
E1,Rod_1_to_Rod_2,input_only,ZERO,1.0
E1,Rod_1_to_Rod_2,dynamic,A,1.0
E1,Rod_2_to_Rod_1,input_only,ZERO,1.0
E1,Rod_2_to_Rod_1,dynamic,ZERO,1.0
E2,Rod_1_to_Rod_2,FULL:seed=0,K,0.25
E2,Rod_1_to_Rod_2,FULL:seed=1,K+A,0.5
E2,Rod_1_to_Rod_2,FULL:seed=2,K,0.25
E2,Rod_1_to_Rod_2,FULL:seed=3,C+A,0.5
E2,Rod_1_to_Rod_2,FULL:seed=4,K,0.25
E2,Rod_1_to_Rod_2,FULL:seed=5,K+C+A,0.75
E2,Rod_1_to_Rod_2,FULL:seed=6,K,0.25
E2,Rod_1_to_Rod_2,FULL:seed=7,K,0.25
E2,Rod_1_to_Rod_2,FULL:seed=8,C+A,0.5
E2,Rod_1_to_Rod_2,FULL:seed=9,K,0.25
E2,Rod_1_to_Rod_2,KCW:seed=0,C+A,0.25
E2,Rod_1_to_Rod_2,KCW:seed=1,C+W,0.75
E2,Rod_1_to_Rod_2,KCW:seed=2,W,0.5
E2,Rod_1_to_Rod_2,KCW:seed=3,ZERO,0.25
E2,Rod_1_to_Rod_2,KCW:seed=4,ZERO,0.25
E2,Rod_1_to_Rod_2,KCW:seed=5,K+C,0.75
E2,Rod_1_to_Rod_2,KCW:seed=6,C+A,0.25
E2,Rod_1_to_Rod_2,KCW:seed=7,ZERO,0.25
E2,Rod_1_to_Rod_2,KCW:seed=8,C,0.5
E2,Rod_1_to_Rod_2,KCW:seed=9,C,0.5
E2,Rod_1_to_Rod_2,K_ONLY:seed=0,K+A,0.75
E2,Rod_1_to_Rod_2,K_ONLY:seed=1,K+W,0.75
E2,Rod_1_to_Rod_2,K_ONLY:seed=2,K+C,0.75
E2,Rod_1_to_Rod_2,K_ONLY:seed=3,K,1.0
E2,Rod_1_to_Rod_2,K_ONLY:seed=4,K+C,0.75
E2,Rod_1_to_Rod_2,K_ONLY:seed=5,K+C,0.75
E2,Rod_1_to_Rod_2,K_ONLY:seed=6,K+W,0.75
E2,Rod_1_to_Rod_2,K_ONLY:seed=7,K+C+A,0.5
E2,Rod_1_to_Rod_2,K_ONLY:seed=8,K+W,0.75
E2,Rod_1_to_Rod_2,K_ONLY:seed=9,K,1.0
E2,Rod_1_to_Rod_2,NULL:seed=0,C,0.75
E2,Rod_1_to_Rod_2,NULL:seed=1,W,0.75
E2,Rod_1_to_Rod_2,NULL:seed=2,ZERO,1.0
E2,Rod_1_to_Rod_2,NULL:seed=3,ZERO,1.0
E2,Rod_1_to_Rod_2,NULL:seed=4,A,0.75
E2,Rod_1_to_Rod_2,NULL:seed=5,C,0.75
E2,Rod_1_to_Rod_2,NULL:seed=6,A,0.75
E2,Rod_1_to_Rod_2,NULL:seed=7,ZERO,1.0
E2,Rod_1_to_Rod_2,NULL:seed=8,C+W+A,0.25
E2,Rod_1_to_Rod_2,NULL:seed=9,W,0.75
E2,Rod_2_to_Rod_1,FULL:seed=0,K+W+A,0.75
E2,Rod_2_to_Rod_1,FULL:seed=1,K+C+W,0.75
E2,Rod_2_to_Rod_1,FULL:seed=2,K+A,0.5
E2,Rod_2_to_Rod_1,FULL:seed=3,C+A,0.5
E2,Rod_2_to_Rod_1,FULL:seed=4,K+A,0.5
E2,Rod_2_to_Rod_1,FULL:seed=5,K+A,0.5
E2,Rod_2_to_Rod_1,FULL:seed=6,K+A,0.5
E2,Rod_2_to_Rod_1,FULL:seed=7,C+A,0.5
E2,Rod_2_to_Rod_1,FULL:seed=8,K+A,0.5
E2,Rod_2_to_Rod_1,FULL:seed=9,K+A,0.5
E2,Rod_2_to_Rod_1,KCW:seed=0,K,0.5
E2,Rod_2_to_Rod_1,KCW:seed=1,K,0.5
E2,Rod_2_to_Rod_1,KCW:seed=2,K+C+A,0.5
E2,Rod_2_to_Rod_1,KCW:seed=3,K+C,0.75
E2,Rod_2_to_Rod_1,KCW:seed=4,K+W,0.75
E2,Rod_2_to_Rod_1,KCW:seed=5,K+C,0.75
E2,Rod_2_to_Rod_1,KCW:seed=6,K+C+W,1.0
E2,Rod_2_to_Rod_1,KCW:seed=7,K+C,0.75
E2,Rod_2_to_Rod_1,KCW:seed=8,K+C,0.75
E2,Rod_2_to_Rod_1,KCW:seed=9,K+C,0.75
E2,Rod_2_to_Rod_1,K_ONLY:seed=0,K,1.0
E2,Rod_2_to_Rod_1,K_ONLY:seed=1,K,1.0
E2,Rod_2_to_Rod_1,K_ONLY:seed=2,K,1.0
E2,Rod_2_to_Rod_1,K_ONLY:seed=3,W+A,0.25
E2,Rod_2_to_Rod_1,K_ONLY:seed=4,W+A,0.25
E2,Rod_2_to_Rod_1,K_ONLY:seed=5,K,1.0
E2,Rod_2_to_Rod_1,K_ONLY:seed=6,K,1.0
E2,Rod_2_to_Rod_1,K_ONLY:seed=7,K,1.0
E2,Rod_2_to_Rod_1,K_ONLY:seed=8,K+W,0.75
E2,Rod_2_to_Rod_1,K_ONLY:seed=9,W,0.5
E2,Rod_2_to_Rod_1,NULL:seed=0,ZERO,1.0
E2,Rod_2_to_Rod_1,NULL:seed=1,K+W,0.5
E2,Rod_2_to_Rod_1,NULL:seed=2,ZERO,1.0
E2,Rod_2_to_Rod_1,NULL:seed=3,K,0.75
E2,Rod_2_to_Rod_1,NULL:seed=4,C+W,0.5
E2,Rod_2_to_Rod_1,NULL:seed=5,C,0.75
E2,Rod_2_to_Rod_1,NULL:seed=6,K,0.75
E2,Rod_2_to_Rod_1,NULL:seed=7,ZERO,1.0
