direction,information_set,alpha,rmse_mean,rmse_std,level_r2_mean
Rod_1_to_Rod_2,dynamic,0.0,0.28814666166376457,0.0,-0.24008331360417356
Rod_1_to_Rod_2,dynamic,0.25,0.2909262976955359,0.0006884500665122849,-0.2641302622100092
Rod_1_to_Rod_2,dynamic,0.5,0.298787482380567,0.0013985292610394775,-0.3333895278845538
Rod_1_to_Rod_2,dynamic,1.0,0.32806165639730295,0.002802173754973356,-0.607545010439779
Rod_1_to_Rod_2,input_only,0.0,0.271936460484259,0.0,-0.1044817899891115
Rod_1_to_Rod_2,input_only,0.25,0.271936460484259,0.0,-0.1044817899891115
Rod_1_to_Rod_2,input_only,0.5,0.271936460484259,0.0,-0.1044817899891115
Rod_1_to_Rod_2,input_only,1.0,0.271936460484259,0.0,-0.1044817899891115
Rod_2_to_Rod_1,dynamic,0.0,0.6481237750487358,0.0,-0.8905754721384023
Rod_2_to_Rod_1,dynamic,0.25,0.6481237750487358,0.0,-0.8905754721384023
Rod_2_to_Rod_1,dynamic,0.5,0.6481237750487358,0.0,-0.8905754721384023
Rod_2_to_Rod_1,dynamic,1.0,0.6481237750487358,0.0,-0.8905754721384023
Rod_2_to_Rod_1,input_only,0.0,0.6481237750487358,0.0,-0.8905754721384023
Rod_2_to_Rod_1,input_only,0.25,0.6481237750487358,0.0,-0.8905754721384023
Rod_2_to_Rod_1,input_only,0.5,0.6481237750487358,0.0,-0.8905754721384023
Rod_2_to_Rod_1,input_only,1.0,0.6481237750487358,0.0,-0.8905754721384023
