direction,information_set,alpha,rmse_mean,rmse_std,unique_structures
Rod_1_to_Rod_2,dynamic,0.0,0.5409521749452114,0.0,1
Rod_1_to_Rod_2,dynamic,0.25,0.5872691084310174,0.05497552850469682,2
Rod_1_to_Rod_2,dynamic,0.5,0.6565447166508385,0.010267118380444721,2
Rod_1_to_Rod_2,dynamic,1.0,0.6754411483636403,0.01880398101534733,3
Rod_1_to_Rod_2,input_only,0.0,0.912067824415703,0.0,1
Rod_1_to_Rod_2,input_only,0.25,0.8612075991925533,0.08228957780473467,2
Rod_1_to_Rod_2,input_only,0.5,0.8069738843969976,0.02991950381996156,2
Rod_1_to_Rod_2,input_only,1.0,0.879045148942601,0.032241546697545545,3
Rod_2_to_Rod_1,dynamic,0.0,0.1681712603778523,0.0,1
Rod_2_to_Rod_1,dynamic,0.25,0.16161087335283814,0.0010749478082834264,1
Rod_2_to_Rod_1,dynamic,0.5,0.15884395557820735,0.008897490713888697,2
Rod_2_to_Rod_1,dynamic,1.0,0.1614785841769914,0.00708059476724313,4
Rod_2_to_Rod_1,input_only,0.0,0.1681712603778523,0.0,1
Rod_2_to_Rod_1,input_only,0.25,0.16193702574077062,0.00020240508669962086,1
Rod_2_to_Rod_1,input_only,0.5,0.16414412318494975,0.002793809617392247,2
Rod_2_to_Rod_1,input_only,1.0,0.16476255435027037,0.001995815793269425,3
