direction,information_set,alpha,rmse_mean,rmse_std,level_r2_mean
Rod_1_to_Rod_2,dynamic,0.0,0.015128300580706161,0.0,0.9983181390211966
Rod_1_to_Rod_2,dynamic,0.01,0.015144510636419167,3.986127242800452e-06,0.9983145327388934
Rod_1_to_Rod_2,dynamic,0.025,0.015226401175660664,9.568598148290256e-06,0.9982962553876341
Rod_1_to_Rod_2,dynamic,0.05,0.015517851316869502,1.79110206311137e-05,0.9982304065651786
Rod_1_to_Rod_2,dynamic,0.1,0.016649089346004536,3.150778903141924e-05,0.9979629946361787
Rod_1_to_Rod_2,input_only,0.0,0.01601184374463932,0.0,0.998115949708016
Rod_1_to_Rod_2,input_only,0.01,0.01601184374463932,0.0,0.998115949708016
Rod_1_to_Rod_2,input_only,0.025,0.01601184374463932,0.0,0.998115949708016
Rod_1_to_Rod_2,input_only,0.05,0.01601184374463932,0.0,0.998115949708016
Rod_1_to_Rod_2,input_only,0.1,0.01601184374463932,0.0,0.998115949708016
Rod_2_to_Rod_1,dynamic,0.0,0.01612984685703561,0.0,0.9992080950335172
Rod_2_to_Rod_1,dynamic,0.01,0.016145257760687138,5.980078427641542e-06,0.9992065809966724
Rod_2_to_Rod_1,dynamic,0.025,0.016225816412354457,1.4712729554417967e-05,0.9991986430356519
Rod_2_to_Rod_1,dynamic,0.05,0.0165177728317751,2.82779944520228e-05,0.9991695438567432
Rod_2_to_Rod_1,dynamic,0.1,0.017668123041341445,5.052839654445561e-05,0.9990498403019428
Rod_2_to_Rod_1,input_only,0.0,0.017299457513831593,0.0,0.9990890856419954
Rod_2_to_Rod_1,input_only,0.01,0.017299457513831593,0.0,0.9990890856419954
Rod_2_to_Rod_1,input_only,0.025,0.017299457513831593,0.0,0.9990890856419954
Rod_2_to_Rod_1,input_only,0.05,0.017299457513831593,0.0,0.9990890856419954
Rod_2_to_Rod_1,input_only,0.1,0.017299457513831593,0.0,0.9990890856419954

