direction,information_set,alpha,rmse_mean,rmse_std,unique_structures
Rod_1_to_Rod_2,dynamic,0.0,0.016010343668195613,0.0,1
Rod_1_to_Rod_2,dynamic,0.01,0.016020845507607944,1.5802862814625938e-05,1
Rod_1_to_Rod_2,dynamic,0.025,0.01631468249969706,0.0005215250909235813,2
Rod_1_to_Rod_2,dynamic,0.05,0.01674190156748053,0.0005272785501176629,4
Rod_1_to_Rod_2,dynamic,0.1,0.01669024304413704,0.00028443465993586845,3
Rod_1_to_Rod_2,input_only,0.0,0.017350161942291026,0.0,1
Rod_1_to_Rod_2,input_only,0.01,0.017350161942291026,0.0,1
Rod_1_to_Rod_2,input_only,0.025,0.01733779151712385,9.346901093643448e-05,2
Rod_1_to_Rod_2,input_only,0.05,0.017155277075803204,0.00025845486311712153,3
Rod_1_to_Rod_2,input_only,0.1,0.016926233045844532,0.00023569641537261245,3
Rod_2_to_Rod_1,dynamic,0.0,0.015774066785981172,0.0,1
Rod_2_to_Rod_1,dynamic,0.01,0.015791425577668043,8.501162970312933e-06,1
Rod_2_to_Rod_1,dynamic,0.025,0.015884101333191143,3.7303510068054544e-05,1
Rod_2_to_Rod_1,dynamic,0.05,0.01603027951894679,1.1834700606579401e-05,1
Rod_2_to_Rod_1,dynamic,0.1,0.016075220968045555,9.884929841501609e-06,1
Rod_2_to_Rod_1,input_only,0.0,0.016087834009672557,0.0,1
Rod_2_to_Rod_1,input_only,0.01,0.016087834009672557,0.0,1
Rod_2_to_Rod_1,input_only,0.025,0.016087834009672557,0.0,1
Rod_2_to_Rod_1,input_only,0.05,0.016087834009672557,0.0,1
Rod_2_to_Rod_1,input_only,0.1,0.016087834009672557,0.0,1

