regime,seed,selected_stages,truth_stages,exact_stage_vector,false_admission,folds_json
K_ONLY,0,K+W+A,K,0,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K+W+A"", ""rmse"": 0.01027748879009009, ""scores_json"": ""{\""A\"": 0.01027748879009009, \""C\"": 0.010417171833103388, \""K\"": 0.010417171833103388, \""W\"": 0.010280955158837228}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K"", ""rmse"": 0.010840725475207248, ""scores_json"": ""{\""A\"": 0.010840725475207248, \""C\"": 0.010840725475207248, \""K\"": 0.010840725475207248, \""W\"": 0.010840725475207248}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K+C+A"", ""rmse"": 0.009073663818659119, ""scores_json"": ""{\""A\"": 0.009073663818659119, \""C\"": 0.009090567928298413, \""K\"": 0.009109751885349104, \""W\"": 0.009090567928298413}""}]"
K_ONLY,1,K,K,1,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K"", ""rmse"": 0.009255618383344152, ""scores_json"": ""{\""A\"": 0.009255618383344152, \""C\"": 0.009255618383344152, \""K\"": 0.009255618383344152, \""W\"": 0.009255618383344152}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K+W"", ""rmse"": 0.010813939082844686, ""scores_json"": ""{\""A\"": 0.010813939082844686, \""C\"": 0.010848003310527746, \""K\"": 0.010848003310527746, \""W\"": 0.010813939082844686}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K"", ""rmse"": 0.009918997854921662, ""scores_json"": ""{\""A\"": 0.009918997854921662, \""C\"": 0.009918997854921662, \""K\"": 0.009918997854921662, \""W\"": 0.009918997854921662}""}]"
K_ONLY,2,K,K,1,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K"", ""rmse"": 0.010383010401120744, ""scores_json"": ""{\""A\"": 0.010383010401120744, \""C\"": 0.010383010401120744, \""K\"": 0.010383010401120744, \""W\"": 0.010383010401120744}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K"", ""rmse"": 0.008171847792913925, ""scores_json"": ""{\""A\"": 0.008171847792913925, \""C\"": 0.008171847792913925, \""K\"": 0.008171847792913925, \""W\"": 0.008171847792913925}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K"", ""rmse"": 0.009961005124682804, ""scores_json"": ""{\""A\"": 0.009961005124682804, \""C\"": 0.009961005124682804, \""K\"": 0.009961005124682804, \""W\"": 0.009961005124682804}""}]"
K_ONLY,3,K,K,1,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K"", ""rmse"": 0.010880659952389977, ""scores_json"": ""{\""A\"": 0.010880659952389977, \""C\"": 0.010880659952389977, \""K\"": 0.010880659952389977, \""W\"": 0.010880659952389977}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K"", ""rmse"": 0.010100626107827996, ""scores_json"": ""{\""A\"": 0.010100626107827996, \""C\"": 0.010100626107827996, \""K\"": 0.010100626107827996, \""W\"": 0.010100626107827996}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K"", ""rmse"": 0.009094547222532709, ""scores_json"": ""{\""A\"": 0.009094547222532709, \""C\"": 0.009094547222532709, \""K\"": 0.009094547222532709, \""W\"": 0.009094547222532709}""}]"
K_ONLY,4,K,K,1,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K"", ""rmse"": 0.009659679205780177, ""scores_json"": ""{\""A\"": 0.009659679205780177, \""C\"": 0.009659679205780177, \""K\"": 0.009659679205780177, \""W\"": 0.009659679205780177}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K"", ""rmse"": 0.008708103448023965, ""scores_json"": ""{\""A\"": 0.008708103448023965, \""C\"": 0.008708103448023965, \""K\"": 0.008708103448023965, \""W\"": 0.008708103448023965}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K+C"", ""rmse"": 0.009898726012859547, ""scores_json"": ""{\""A\"": 0.009898726012859547, \""C\"": 0.009898726012859547, \""K\"": 0.010014387299333866, \""W\"": 0.009898726012859547}""}]"
K_ONLY,5,K+C,K,0,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K+C"", ""rmse"": 0.010738490586287392, ""scores_json"": ""{\""A\"": 0.010738490586287392, \""C\"": 0.010738490586287392, \""K\"": 0.010756557029183966, \""W\"": 0.010738490586287392}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K+C"", ""rmse"": 0.009099111842095045, ""scores_json"": ""{\""A\"": 0.009099111842095045, \""C\"": 0.009099111842095045, \""K\"": 0.00910625098688113, \""W\"": 0.009099111842095045}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K"", ""rmse"": 0.010493225653446474, ""scores_json"": ""{\""A\"": 0.010493225653446474, \""C\"": 0.010493225653446474, \""K\"": 0.010493225653446474, \""W\"": 0.010493225653446474}""}]"
K_ONLY,6,K,K,1,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K"", ""rmse"": 0.009334609796551215, ""scores_json"": ""{\""A\"": 0.009334609796551215, \""C\"": 0.009334609796551215, \""K\"": 0.009334609796551215, \""W\"": 0.009334609796551215}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K+C"", ""rmse"": 0.011105307900852892, ""scores_json"": ""{\""A\"": 0.011105307900852892, \""C\"": 0.011105307900852892, \""K\"": 0.011124963115814566, \""W\"": 0.011105307900852892}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K"", ""rmse"": 0.010043051715896935, ""scores_json"": ""{\""A\"": 0.010043051715896935, \""C\"": 0.010043051715896935, \""K\"": 0.010043051715896935, \""W\"": 0.010043051715896935}""}]"
K_ONLY,7,K+C,K,0,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K+C"", ""rmse"": 0.009895422387019124, ""scores_json"": ""{\""A\"": 0.009895422387019124, \""C\"": 0.009895422387019124, \""K\"": 0.00992072157347676, \""W\"": 0.009895422387019124}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K"", ""rmse"": 0.00990216754425443, ""scores_json"": ""{\""A\"": 0.00990216754425443, \""C\"": 0.00990216754425443, \""K\"": 0.00990216754425443, \""W\"": 0.00990216754425443}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K+C"", ""rmse"": 0.009790513154562055, ""scores_json"": ""{\""A\"": 0.009790513154562055, \""C\"": 0.009790513154562055, \""K\"": 0.009820369323371096, \""W\"": 0.009790513154562055}""}]"
K_ONLY,8,K+C+W+A,K,0,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K+C+W+A"", ""rmse"": 0.00977124140551071, ""scores_json"": ""{\""A\"": 0.00977124140551071, \""C\"": 0.009793656443679744, \""K\"": 0.009801600814490666, \""W\"": 0.0097925330305893}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K+C+W+A"", ""rmse"": 0.009251997197813208, ""scores_json"": ""{\""A\"": 0.009251997197813208, \""C\"": 0.009293771727178313, \""K\"": 0.009302948161806714, \""W\"": 0.009252877700465876}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K+W"", ""rmse"": 0.010025711427568815, ""scores_json"": ""{\""A\"": 0.010025711427568815, \""C\"": 0.010060482727048424, \""K\"": 0.010060482727048424, \""W\"": 0.010025711427568815}""}]"
K_ONLY,9,K,K,1,0,"[{""fold_start"": 512, ""fold_end"": 640, ""active"": ""K"", ""rmse"": 0.01025401643881871, ""scores_json"": ""{\""A\"": 0.01025401643881871, \""C\"": 0.01025401643881871, \""K\"": 0.01025401643881871, \""W\"": 0.01025401643881871}""}, {""fold_start"": 640, ""fold_end"": 768, ""active"": ""K+W+A"", ""rmse"": 0.010687006297220773, ""scores_json"": ""{\""A\"": 0.010687006297220773, \""C\"": 0.010698307800426413, \""K\"": 0.010698307800426413, \""W\"": 0.010689133522638544}""}, {""fold_start"": 768, ""fold_end"": 896, ""active"": ""K+W"", ""rmse"": 0.010130937216353763, ""scores_json"": ""{\""A\"": 0.010130937216353763, \""C\"": 0.010181765280698953, \""K\"": 0.010181765280698953, \""W\"": 0.010130937216353763}""}]"
