variant,history,candidate_universe_size,stage_vector,admission_margin,rmse,mae,r2
COARSE,8,2,K,0.0,0.09048598555348428,0.0574818304217676,0.9982131563423486
COARSE,16,2,K,0.0,0.09086902192507756,0.05832957561086055,0.998197996542084
STANDARD,8,3,K,0.0,0.09048598555348428,0.0574818304217676,0.9982131563423486
STANDARD,16,3,K,0.0,0.09086902192507756,0.05832957561086055,0.998197996542084
STANDARD,24,3,K,0.0,0.09225331504019636,0.05974734090515797,0.9981426751252898
EXPANDED,4,5,K,0.0,0.09190806763971716,0.059356504649698605,0.9981565507612504
EXPANDED,8,5,K,0.0,0.09048598555348428,0.0574818304217676,0.9982131563423486
EXPANDED,16,5,K,0.0,0.09086902192507756,0.05832957561086055,0.998197996542084
EXPANDED,24,5,K,0.0,0.09225331504019636,0.05974734090515797,0.9981426751252898
EXPANDED,32,5,K,0.0,0.09284075403981773,0.06014996225148671,0.9981189461386618
