seed,history,stage_vector,rmse,channel_set,prediction_hash
0,16,K,0.09087802190943522,pump_input,209550451510036576
1,16,K,0.0908104871447453,pump_input,209394726946588256
2,16,K,0.09084919211942517,pump_input,209483974540307968
3,16,K,0.09084398145028519,pump_input,209471959555620992
4,16,K,0.09083581847047421,pump_input,209453137005253632
5,16,K,0.09088087716496095,pump_input,209557035282123680
6,16,K,0.09091331379886072,pump_input,209631829067875008
7,16,K,0.09086907387277138,pump_input,209529818743779776
8,16,K,0.09086025821091634,pump_input,209509491211185472
9,16,K,0.09082225622656556,pump_input,209421864602042848
