perturbation,magnitude,n1_rmse,n2_rmse,stage_flip_probability,channel_flip_probability,scale_flip_probability
gaussian,0.01,1.1428063388754786,0.09341668615490298,0.0,0.0,0.0
gaussian,0.025,2.847599525762896,0.09357335780706594,0.0,0.0,0.0
gaussian,0.05,5.691960824551608,0.09367880092105663,0.0,0.0,0.0
gaussian,0.1,11.381826987434426,0.0937765269802042,0.0,0.0,0.0
bias,0.01,0.09318930253809496,0.09320011175164564,0.0,0.0,0.0
bias,0.025,0.09318333880377251,0.09320011180750339,0.0,0.0,0.0
bias,0.05,0.09320073573162746,0.09320011174672208,0.0,0.0,0.0
bias,0.1,0.09333792533512263,0.09320011176391606,0.0,0.0,0.0
linear_drift,0.01,0.0932943057655242,0.09326243297701478,0.0,0.0,0.0
linear_drift,0.025,0.09374616619666219,0.09326358822917882,0.0,0.0,0.0
linear_drift,0.05,0.09531166707113317,0.09324571254667416,0.0,0.0,0.0
linear_drift,0.1,0.10128137228537529,0.09322121557485608,0.0,0.0,0.0
random_walk,0.01,0.10593697998744675,0.09334136459711777,0.0,0.0,0.0
random_walk,0.025,0.15377703686423658,0.09333811953994345,0.0,0.0,0.0
random_walk,0.05,0.2594982044169649,0.09341052197107257,0.0,0.0,0.0
random_walk,0.1,0.4908329466981353,0.09374118277397045,0.0,0.0,0.0
quantization,0.01,0.35884868275179516,0.093555789349239,0.0,0.0,0.0
quantization,0.025,0.8359004923224465,0.09287851987742698,0.0,0.0,0.0
quantization,0.05,1.6791660325570512,0.0936838323148488,0.0,0.0,0.0
quantization,0.1,3.513474019064053,0.09406992606420538,0.0,0.0,0.0
