seed,uniform_rmse,multiscale_rmse,gain,candidate_budget_per_arm,uniform_selected,multiscale_selected
0,0.8596916325806844,0.7992101142947273,0.07035257293873998,8,K+C+W+A:H16:a=1,K+C+W+A:MS4:a=1
1,0.8596916325806844,0.7992101142947273,0.07035257293873998,8,K+C+W+A:H16:a=1,K+C+W+A:MS4:a=1
2,0.8596916325806844,0.7992101142947273,0.07035257293873998,8,K+C+W+A:H16:a=1,K+C+W+A:MS4:a=1
3,0.8596916325806844,0.7992101142947273,0.07035257293873998,8,K+C+W+A:H16:a=1,K+C+W+A:MS4:a=1
4,0.8596916325806844,0.7992101142947273,0.07035257293873998,8,K+C+W+A:H16:a=1,K+C+W+A:MS4:a=1
5,0.8596916325806844,0.7992101142947273,0.07035257293873998,8,K+C+W+A:H16:a=1,K+C+W+A:MS4:a=1
6,0.8596916325806844,0.7992101142947273,0.07035257293873998,8,K+C+W+A:H16:a=1,K+C+W+A:MS4:a=1
7,0.8596916325806844,0.7992101142947273,0.07035257293873998,8,K+C+W+A:H16:a=1,K+C+W+A:MS4:a=1
8,0.8596916325806844,0.7992101142947273,0.07035257293873998,8,K+C+W+A:H16:a=1,K+C+W+A:MS4:a=1
9,0.8596916325806844,0.7992101142947273,0.07035257293873998,8,K+C+W+A:H16:a=1,K+C+W+A:MS4:a=1
