seed,channel_set,prediction_hash,stage_vector,history,alpha,rmse,mae,r2
0,pump_input,7c3327492131c8231a880bb3a8bf51b108ebcd0ce60ee711fc60caf48d790c5b,K,16,1e-06,0.594332039314242,0.4404617261250091,0.9229126134809824
1,pump_input,c73a84c9cf9a68618da08b5fd03402a15daa3f46888fff6857a1343905d02bae,K,16,1e-06,0.5943883091271484,0.44054641154301705,0.9228992999188685
2,pump_input,8d8a6cc5c0e23d28ba88ce5197d9781b79b5f0d78b10917ee4b77ca0a41fb4f6,K,16,1e-06,0.5943574700820631,0.44049360418285927,0.9229044443791852
3,pump_input,f63d1b6212b8a1ecdb33fa379f7ded285b75fe99b036801bc0cdd63106340de2,K,16,1e-06,0.5943653481241666,0.44050967807737335,0.9229056672380334
4,pump_input,b228d23fb169b3bf933b461bea66275dd3784730fc8ad6a0c3df8255a1b30612,K,16,1e-06,0.5943508694209862,0.44049916538415557,0.9229064814010991
5,pump_input,cdd5c92040844e8974957d2cbe5072d6db69ca2bd9bac0200cb64217087bc09a,K,16,1e-06,0.5944107070698847,0.4405270825308656,0.9228934591905542
6,pump_input,a1f5065171fa356c23e6155f8f080275d423509c7ab9b999a803169c0bda6d5a,K,16,1e-06,0.5943814476460354,0.44052383247103377,0.9229019734018827
7,pump_input,68846acb4102f423e2eea094cff3d42ae2337362496376613d50eef30a7afe3a,K,16,1e-06,0.5943348487534135,0.44047915940939597,0.9229115153367345
8,pump_input,9936954ed3555aec3a7b2ebd3939e3f27e5e6b4ba7dcf3a7c97cdd4d50ff7f82,K,16,1e-06,0.5943505918846855,0.4405147450968855,0.9229092211361409
9,pump_input,ec8e609ae28f29e5e9eb7be6bfd892f15bdcaf05200eeba6633577f092ae0c4e,K,16,1e-06,0.5943558757727544,0.4405294732007074,0.9229078685123145
