perturbation,magnitude,n1_rmse,n2_rmse,stage_flip_probability,channel_flip_probability,scale_flip_probability,clean_stage_vector
gaussian,0.01,0.5904878577792275,0.5906620205337414,0.0,0.0,0.0,K
gaussian,0.025,0.5919262048065999,0.5928756958385445,0.0,0.0,0.0,K
gaussian,0.05,0.5974390106652336,0.6004811001102448,0.0,0.0,0.0,K
gaussian,0.1,0.6196778578518991,0.6241317105835915,0.0,0.0,0.0,K
bias,0.01,0.5903609720816829,0.5903158678365956,0.0,0.0,0.0,K
bias,0.025,0.592856193956856,0.5903158678365957,0.0,0.0,0.0,K
bias,0.05,0.6033731347774457,0.5903158678365984,0.0,0.0,0.0,K
bias,0.1,0.6464871045751156,0.5903158678365962,0.0,0.0,0.0,K
linear_drift,0.01,0.5899803941051022,0.590189511344093,0.0,0.0,0.0,K
linear_drift,0.025,0.5902844583872786,0.5901906272786821,0.0,0.0,0.0,K
linear_drift,0.05,0.5929373544575827,0.5907001976888837,0.0,0.0,0.0,K
linear_drift,0.1,0.6061194389671456,0.5936050793765314,0.0,0.0,0.0,K
random_walk,0.01,0.5908334211313434,0.5910760921771431,0.0,0.0,0.0,K
random_walk,0.025,0.5931887911581357,0.5947193040523777,0.0,0.0,0.0,K
random_walk,0.05,0.6011271002381054,0.6069564255212421,0.0,0.0,0.0,K
random_walk,0.1,0.6299803711438191,0.6483818750685736,0.1,0.0,0.0,K
quantization,0.01,0.5905332027226876,0.5905885104453718,0.0,0.0,0.0,K
quantization,0.025,0.5910038944110203,0.5910966012912306,0.0,0.0,0.0,K
quantization,0.05,0.5901805903304786,0.5901651336228538,0.0,0.0,0.0,K
quantization,0.1,0.5918756228566132,0.5935494359207069,0.0,0.0,0.0,K
