input,input_index,scale,Lx,Ly,horizon,fold,ridge_alpha,conditional_energy_ratio,explained_by_y_history_ratio,bootstrap_lower,bootstrap_upper,bootstrap_block_length,status
主加热功率,0,short,64,16,1,1,0.01,1.5487345569892375,-0.5487345569892375,1.3691704301325023,1.8540843243156577,12,STRONG_INDEPENDENT_EXCITATION
主加热功率,0,short,64,16,1,2,0.01,0.898084023401052,0.10191597659894802,0.8794418466649097,0.9170389499423558,12,STRONG_INDEPENDENT_EXCITATION
晶升速度,1,short,64,16,1,1,1e-08,1.8710479285965713,-0.8710479285965713,1.6066189436373226,2.213673420373733,12,STRONG_INDEPENDENT_EXCITATION
晶升速度,1,short,64,16,1,2,1e-08,0.5717856193112825,0.42821438068871753,0.5190276723038187,0.648254463603074,12,STRONG_INDEPENDENT_EXCITATION
晶转速度,2,short,64,16,1,1,0.01,1.0961845686347538,-0.09618456863475378,1.0846886584777231,1.1093493876089926,12,STRONG_INDEPENDENT_EXCITATION
晶转速度,2,short,64,16,1,2,0.01,0.9675218357277258,0.032478164272274235,0.9608848008131332,0.9729778836055173,12,STRONG_INDEPENDENT_EXCITATION
埚升速度,3,short,64,16,1,1,1e-08,1.890663394938762,-0.8906633949387619,1.622034045086924,2.2023294686741246,12,STRONG_INDEPENDENT_EXCITATION
埚升速度,3,short,64,16,1,2,1e-08,0.5293523642331203,0.47064763576687974,0.4846187420063921,0.5822742325811177,12,STRONG_INDEPENDENT_EXCITATION
埚转速度,4,short,64,16,1,1,0.01,0.9999823616854607,1.7638314539270006e-05,0.9998978866227308,1.0000526813525832,12,STRONG_INDEPENDENT_EXCITATION
埚转速度,4,short,64,16,1,2,0.01,0.999952804290608,4.719570939204498e-05,0.9998820174991897,1.0000275926029605,12,STRONG_INDEPENDENT_EXCITATION
主加热功率,0,medium,256,32,15,1,1e-08,1.2346382348328975,-0.23463823483289747,1.1354895300941297,1.3775297563662185,12,STRONG_INDEPENDENT_EXCITATION
主加热功率,0,medium,256,32,15,2,1e-08,0.9188549346628857,0.0811450653371143,0.9019425318558743,0.9323167564738953,12,STRONG_INDEPENDENT_EXCITATION
晶升速度,1,medium,256,32,15,1,1e-08,1.4607316925058063,-0.46073169250580626,1.3245207532727015,1.5967920195969594,12,STRONG_INDEPENDENT_EXCITATION
晶升速度,1,medium,256,32,15,2,1e-08,0.6423739736792561,0.3576260263207439,0.5841689468029311,0.686261928085724,12,STRONG_INDEPENDENT_EXCITATION
晶转速度,2,medium,256,32,15,1,0.01,1.1104143207662394,-0.11041432076623936,1.095714412354595,1.1231658506185473,12,STRONG_INDEPENDENT_EXCITATION
晶转速度,2,medium,256,32,15,2,0.01,0.988412299546886,0.01158770045311397,0.9863323392183736,0.991114846585263,12,STRONG_INDEPENDENT_EXCITATION
埚升速度,3,medium,256,32,15,1,1e-08,1.471114466168009,-0.4711144661680089,1.3309437924030116,1.648029365031948,12,STRONG_INDEPENDENT_EXCITATION
埚升速度,3,medium,256,32,15,2,1e-08,0.6016167693229807,0.3983832306770193,0.5542722977113377,0.6479817306096378,12,STRONG_INDEPENDENT_EXCITATION
埚转速度,4,medium,256,32,15,1,0.0001,0.9996577043892605,0.000342295610739507,0.9993723122437863,0.9998679446708125,12,STRONG_INDEPENDENT_EXCITATION
埚转速度,4,medium,256,32,15,2,0.0001,1.0001468334005401,-0.00014683340054011396,0.9998877747016769,1.0003869986684444,12,STRONG_INDEPENDENT_EXCITATION
主加热功率,0,long,512,64,60,1,0.01,1.0871862867809283,-0.08718628678092832,1.0472068861147095,1.1324909003644807,12,STRONG_INDEPENDENT_EXCITATION
主加热功率,0,long,512,64,60,2,0.01,0.92865171997902,0.07134828002098004,0.9145426398837381,0.9414056987166259,12,STRONG_INDEPENDENT_EXCITATION
晶升速度,1,long,512,64,60,1,1e-08,1.2799030647972849,-0.2799030647972849,1.1681838371189504,1.3816220655485183,12,STRONG_INDEPENDENT_EXCITATION
晶升速度,1,long,512,64,60,2,1e-08,0.7061770630319338,0.29382293696806616,0.6630975672889731,0.7688958143668697,12,STRONG_INDEPENDENT_EXCITATION
晶转速度,2,long,512,64,60,1,0.01,1.1111961887813717,-0.11119618878137172,1.0960842386416225,1.125690536232587,12,STRONG_INDEPENDENT_EXCITATION
晶转速度,2,long,512,64,60,2,0.01,1.009737320798455,-0.009737320798455018,1.008157818323034,1.011312665434097,12,STRONG_INDEPENDENT_EXCITATION
埚升速度,3,long,512,64,60,1,1e-08,1.2850146139142866,-0.2850146139142866,1.210178881050787,1.4103176781752507,12,STRONG_INDEPENDENT_EXCITATION
埚升速度,3,long,512,64,60,2,1e-08,0.671632390610415,0.328367609389585,0.6050713867854061,0.7119674467802758,12,STRONG_INDEPENDENT_EXCITATION
埚转速度,4,long,512,64,60,1,0.01,0.9999554407409936,4.455925900637148e-05,0.9998323908818215,1.000100673577894,12,STRONG_INDEPENDENT_EXCITATION
埚转速度,4,long,512,64,60,2,0.01,1.0000028277402113,-2.827740211319707e-06,0.9998940871717104,1.000090834784774,12,STRONG_INDEPENDENT_EXCITATION
