task,Lx,Ly,horizon,fold,block,block_index,ridge_alpha,eigen_index,eigenvalue,trace,effective_rank,entropy_rank,lambda1_fraction,lambda10_over_lambda1,condition_estimate,coercive_dimension_1e-2,coercive_dimension_1e-3,coercive_dimension_1e-4
short,64,16,1,1,主加热功率,0,0.01,1,19.567413585367603,52.432126705404116,4.397478954984283,6.108853029408068,0.37319511556930257,0.016965311666999168,16846027419.991816,11,21,32
short,64,16,1,1,主加热功率,0,0.01,2,11.887895786607242,52.432126705404116,4.397478954984283,6.108853029408068,0.37319511556930257,0.016965311666999168,16846027419.991816,11,21,32
short,64,16,1,1,主加热功率,0,0.01,3,7.28539615185174,52.432126705404116,4.397478954984283,6.108853029408068,0.37319511556930257,0.016965311666999168,16846027419.991816,11,21,32
short,64,16,1,1,主加热功率,0,0.01,4,6.100874315635701,52.432126705404116,4.397478954984283,6.108853029408068,0.37319511556930257,0.016965311666999168,16846027419.991816,11,21,32
short,64,16,1,1,主加热功率,0,0.01,5,2.502548641465676,52.432126705404116,4.397478954984283,6.108853029408068,0.37319511556930257,0.016965311666999168,16846027419.991816,11,21,32
short,64,16,1,1,主加热功率,0,0.01,6,1.5019391516240082,52.432126705404116,4.397478954984283,6.108853029408068,0.37319511556930257,0.016965311666999168,16846027419.991816,11,21,32
short,64,16,1,1,主加热功率,0,0.01,7,1.0778630994904663,52.432126705404116,4.397478954984283,6.108853029408068,0.37319511556930257,0.016965311666999168,16846027419.991816,11,21,32
short,64,16,1,1,主加热功率,0,0.01,8,0.6998234997093811,52.432126705404116,4.397478954984283,6.108853029408068,0.37319511556930257,0.016965311666999168,16846027419.991816,11,21,32
short,64,16,1,1,主加热功率,0,0.01,9,0.5162427729941014,52.432126705404116,4.397478954984283,6.108853029408068,0.37319511556930257,0.016965311666999168,16846027419.991816,11,21,32
short,64,16,1,1,主加热功率,0,0.01,10,0.331967269992835,52.432126705404116,4.397478954984283,6.108853029408068,0.37319511556930257,0.016965311666999168,16846027419.991816,11,21,32
short,64,16,1,1,主加热功率,0,0.01,11,0.20183082908085007,52.432126705404116,4.397478954984283,6.108853029408068,0.37319511556930257,0.016965311666999168,16846027419.991816,11,21,32
short,64,16,1,1,主加热功率,0,0.01,12,0.1932621857687306,52.432126705404116,4.397478954984283,6.108853029408068,0.37319511556930257,0.016965311666999168,16846027419.991816,11,21,32
short,64,16,1,1,主加热功率,0,0.01,13,0.10231242674912341,52.432126705404116,4.397478954984283,6.108853029408068,0.37319511556930257,0.016965311666999168,16846027419.991816,11,21,32
short,64,16,1,1,主加热功率,0,0.01,14,0.07834286914788662,52.432126705404116,4.397478954984283,6.108853029408068,0.37319511556930257,0.016965311666999168,16846027419.991816,11,21,32
short,64,16,1,1,主加热功率,0,0.01,15,0.07038298252189545,52.432126705404116,4.397478954984283,6.108853029408068,0.37319511556930257,0.016965311666999168,16846027419.991816,11,21,32
short,64,16,1,1,主加热功率,0,0.01,16,0.05907684527519694,52.432126705404116,4.397478954984283,6.108853029408068,0.37319511556930257,0.016965311666999168,16846027419.991816,11,21,32
short,64,16,1,1,主加热功率,0,0.01,17,0.042303845798815305,52.432126705404116,4.397478954984283,6.108853029408068,0.37319511556930257,0.016965311666999168,16846027419.991816,11,21,32
short,64,16,1,1,主加热功率,0,0.01,18,0.041448752428334644,52.432126705404116,4.397478954984283,6.108853029408068,0.37319511556930257,0.016965311666999168,16846027419.991816,11,21,32
short,64,16,1,1,主加热功率,0,0.01,19,0.03638258708903375,52.432126705404116,4.397478954984283,6.108853029408068,0.37319511556930257,0.016965311666999168,16846027419.991816,11,21,32
short,64,16,1,1,主加热功率,0,0.01,20,0.023034057831720887,52.432126705404116,4.397478954984283,6.108853029408068,0.37319511556930257,0.016965311666999168,16846027419.991816,11,21,32
