epoch,train_mse,validation_rmse,learning_rate,external_support
1,0.015077748616536457,0.27602365187875544,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
5,0.04197617848714193,0.1518064443072267,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
10,0.02492201868693034,0.12863459776129801,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
15,0.016430503209431967,0.09379098123655556,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
20,0.011183121363321941,0.09486344411080831,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
25,0.007690903822580974,0.07022545746232955,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
30,0.005394463221232096,0.06789480813223848,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
35,0.00385963773727417,0.050514039307050645,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
40,0.002784373919169108,0.046574583597825014,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
45,0.001987033704916636,0.035776943963827725,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
50,0.0013836807409922283,0.03139514973652881,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
55,0.0009484752515951792,0.02684431142519667,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
60,0.000671701192855835,0.023787891628471388,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
65,0.0005151278376579285,0.022075859655531334,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
70,0.0004110701382160187,0.01885766588761403,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
75,0.0003126900841792425,0.01626318909858617,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
80,0.00022766553362210592,0.014252264955446372,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
85,0.00017600380877653757,0.012990265314675873,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
90,0.00014466075599193573,0.011540659303921482,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
95,0.00011665543665488562,0.010427016083992406,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
100,9.656802068154017e-05,0.00972097719069435,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
105,8.414464195569356e-05,0.008855019509624095,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
110,7.341660807530085e-05,0.00831821854080962,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
115,6.56682588160038e-05,0.007970786675873148,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
120,5.9715176622072856e-05,0.007466656205840177,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
125,5.45166606704394e-05,0.007117584592207988,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
130,5.0331316888332364e-05,0.006899245166263628,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
135,4.648681481679281e-05,0.0066322826829896065,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
140,4.312437524398168e-05,0.006346179496940045,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
145,4.000374178091685e-05,0.0061321842576444905,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
150,3.716550022363663e-05,0.0059529894265183975,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
155,3.452485178907712e-05,0.005752597960512939,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
160,3.2093681395053865e-05,0.005547863543094107,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
165,2.9835987215240797e-05,0.005368472239833083,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
170,2.7752126877506573e-05,0.005208680121479698,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
175,2.582471693555514e-05,0.005051271522488393,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
180,2.4047142515579858e-05,0.0048933076600144905,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
185,2.2409670675794284e-05,0.004743027422584008,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
190,2.0902900646130243e-05,0.004604651730504952,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
195,1.9518823673327764e-05,0.004475709714099783,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
200,1.8248440076907477e-05,0.004352443054660413,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
205,1.7083519448836645e-05,0.004233648959340321,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
210,1.6015987222393354e-05,0.004120199006925792,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
215,1.5037957578897476e-05,0.004012934577587564,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
220,1.4141968140999476e-05,0.003911720260336408,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
225,1.3321006670594216e-05,0.003815782926565406,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
230,1.2568441530068716e-05,0.0037243849142099147,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
235,1.1878148342172305e-05,0.0036370590472782583,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
240,1.124444262435039e-05,0.0035536117812430814,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
