epoch,train_mse,validation_rmse,learning_rate,external_support
1,1.1066356201171874,0.9000543196498267,0.003,[]
5,1.0260933430989583,0.884425586561166,0.003,[]
10,0.9389141031901042,0.8651565463020985,0.003,[]
15,0.8630578409830729,0.8430326087952871,0.003,[]
20,0.7951494954427083,0.8186685908954551,0.003,[]
25,0.7345271199544271,0.7950081533337803,0.003,[]
30,0.6813465983072917,0.7742639208568516,0.003,[]
35,0.6357768147786458,0.7571217051222263,0.003,[]
40,0.5981845703125,0.7433249507596761,0.003,[]
45,0.5688075764973959,0.7323995204921884,0.003,[]
50,0.5471680704752604,0.7239643566146317,0.003,[]
55,0.5320179036458333,0.7176835668652568,0.003,[]
60,0.5216112670898437,0.7130062834260846,0.003,[]
65,0.5140911966959636,0.7091832322704716,0.003,[]
70,0.5079598083496094,0.7056006979664229,0.003,[]
75,0.5023162434895834,0.7019548857448702,0.003,[]
80,0.4968079528808594,0.6981977094662415,0.003,[]
85,0.491419677734375,0.6944131077456591,0.003,[]
90,0.48624036661783854,0.6907101677901317,0.003,[]
95,0.48133221435546875,0.6871632253983356,0.003,[]
100,0.4766978759765625,0.6837983622350323,0.003,[]
105,0.4723005065917969,0.6806159696514116,0.003,[]
110,0.4680957946777344,0.6776083726530046,0.003,[]
115,0.464049560546875,0.674758845449038,0.003,[]
120,0.46014068603515623,0.672042925054073,0.003,[]
125,0.45635547892252604,0.6694372107966652,0.003,[]
130,0.45268105061848957,0.666923478571216,0.003,[]
135,0.4491015625,0.6644849529414093,0.003,[]
140,0.4455975341796875,0.662104028370743,0.003,[]
145,0.4421461181640625,0.6597645380023609,0.003,[]
150,0.43872196451822915,0.6574539040771817,0.003,[]
155,0.4352974853515625,0.6551615322199413,0.003,[]
160,0.4318437194824219,0.6528776819421269,0.003,[]
165,0.4283322957356771,0.6505954773110987,0.003,[]
170,0.4247406717936198,0.6483168185892025,0.003,[]
175,0.4210624694824219,0.6460608743147294,0.003,[]
180,0.4173251647949219,0.643876893212733,0.003,[]
185,0.413615234375,0.6418606128956027,0.003,[]
190,0.4101026611328125,0.6401622757221894,0.003,[]
195,0.40703938802083334,0.6389621616676286,0.003,[]
200,0.4046934000651042,0.6383893918487368,0.003,[]
205,0.4032091573079427,0.6384039002034072,0.003,[]
210,0.4024837443033854,0.6387461252710878,0.003,[]
215,0.4022042032877604,0.6390567217801122,0.003,[]
220,0.402050537109375,0.6390917723277552,0.003,[]
225,0.40186226399739583,0.6388260278414275,0.003,[]
230,0.40163090006510416,0.6383803807277029,0.003,[]
235,0.4013997802734375,0.6378942848563105,0.003,[]
240,0.4011966349283854,0.6374564361647096,0.003,[]
245,0.4010237833658854,0.6370990524531635,0.003,[]
250,0.4008720703125,0.6368198491439097,0.003,[]
255,0.4007322998046875,0.6366023187257734,0.003,[]
260,0.4005993448893229,0.6364272482648621,0.003,[]
265,0.40047156778971355,0.6362784856329002,0.003,[]
270,0.4003489685058594,0.6361438643210208,0.003,[]
275,0.40023170979817707,0.6360155002456578,0.003,[]
280,0.40011936442057294,0.6358888859643395,0.003,[]
285,0.40001116943359377,0.6357620784618695,0.003,[]
290,0.3999062906901042,0.6356348855779329,0.003,[]
295,0.39980426025390625,0.6355084835899862,0.003,[]
300,0.3997046305338542,0.635383857588761,0.003,[]
305,0.39960718790690103,0.6352621615648264,0.003,[]
310,0.39951158650716145,0.6351445743853078,0.003,[]
315,0.3994176432291667,0.6350312184747298,0.003,[]
320,0.3993250630696615,0.6349223844897673,0.003,[]
325,0.39923368326822917,0.6348176901724301,0.003,[]
330,0.3991432596842448,0.6347165125231352,0.003,[]
335,0.39905369059244794,0.6346182761671085,0.003,[]
340,0.39896480305989585,0.634522429374176,0.003,[]
345,0.3988765360514323,0.6344282997929119,0.003,[]
350,0.3987886759440104,0.634335479256947,0.003,[]
355,0.3987011515299479,0.6342440164574746,0.003,[]
360,0.39861387125651043,0.6341535269954597,0.003,[]
365,0.3985267232259115,0.6340640594177472,0.003,[]
370,0.3984396667480469,0.6339757344990372,0.003,[]
375,0.3983525594075521,0.6338884082866292,0.003,[]
380,0.3982654215494792,0.6338019848933004,0.003,[]
385,0.3981780802408854,0.6337163442971129,0.003,[]
390,0.3980905558268229,0.6336314627339825,0.003,[]
395,0.39800271606445314,0.6335471237467758,0.003,[]
400,0.39791456095377603,0.6334633516400879,0.003,[]
405,0.3978260091145833,0.6333798093641415,0.003,[]
410,0.39773704020182293,0.633296665669453,0.003,[]
415,0.3976475626627604,0.6332137761288023,0.003,[]
420,0.3975575764973958,0.6331310685404499,0.003,[]
425,0.39746700032552085,0.6330485670793751,0.003,[]
430,0.3973757934570312,0.6329659825445548,0.003,[]
435,0.3972839660644531,0.632883628332823,0.003,[]
440,0.39719141642252603,0.6328011428379007,0.003,[]
445,0.39709812418619794,0.6327186224733783,0.003,[]
450,0.3970040791829427,0.6326361395837435,0.003,[]
455,0.3969092203776042,0.6325534288358821,0.003,[]
460,0.39681353759765625,0.6324704177633157,0.003,[]
465,0.3967170003255208,0.6323874681807897,0.003,[]
470,0.3966195373535156,0.6323041457359296,0.003,[]
475,0.39652119954427084,0.6322205468222452,0.003,[]
480,0.3964218546549479,0.63213662305318,0.003,[]
485,0.39632157389322914,0.6320523984409837,0.003,[]
490,0.3962202962239583,0.6319677762858419,0.003,[]
495,0.39611798095703127,0.6318829013168203,0.003,[]
500,0.3960146179199219,0.6317973387070143,0.003,[]
505,0.3959102071126302,0.6317116437347646,0.003,[]
510,0.395804677327474,0.6316253090289047,0.003,[]
515,0.3956980183919271,0.6315384309722741,0.003,[]
520,0.3955902608235677,0.6314510818345314,0.003,[]
525,0.39548136393229166,0.6313633580921577,0.003,[]
530,0.39537125651041666,0.6312749211896881,0.003,[]
535,0.3952599792480469,0.6311859400509241,0.003,[]
540,0.39514750162760415,0.6310964386238842,0.003,[]
545,0.39503375244140626,0.6310060539620193,0.003,[]
550,0.39491878255208335,0.6309153177595181,0.003,[]
555,0.3948025614420573,0.6308237460914201,0.003,[]
560,0.394685048421224,0.6307315321315401,0.003,[]
565,0.39456622314453127,0.6306387965769683,0.003,[]
570,0.3944461059570312,0.6305450794098458,0.003,[]
575,0.39432460530598956,0.6304508884551645,0.003,[]
580,0.39420179239908854,0.6303558846078663,0.003,[]
585,0.3940775655110677,0.6302598980281865,0.003,[]
590,0.3939519755045573,0.6301632914775195,0.003,[]
595,0.3938249308268229,0.6300658467108071,0.003,[]
600,0.39369649251302086,0.6299675633390778,0.003,[]
605,0.39356656901041664,0.6298685863219059,0.003,[]
610,0.3934351704915365,0.6297685518943273,0.003,[]
615,0.39330228678385415,0.629667653417075,0.003,[]
620,0.3931678873697917,0.6295658662377119,0.003,[]
625,0.393031982421875,0.6294632141660712,0.003,[]
630,0.3928945007324219,0.6293595513092805,0.003,[]
635,0.3927554524739583,0.6292549014167719,0.003,[]
640,0.3926148274739583,0.6291493852612504,0.003,[]
645,0.39247255452473956,0.6290428083495814,0.003,[]
650,0.39232868448893227,0.6289352429264256,0.003,[]
655,0.3921831461588542,0.6288266642190139,0.003,[]
660,0.39203594970703126,0.62871702316292,0.003,[]
665,0.3918870646158854,0.6286062949282623,0.003,[]
670,0.3917364705403646,0.6284945274970578,0.003,[]
675,0.3915841267903646,0.628381720314795,0.003,[]
680,0.39143009440104165,0.6282676299506047,0.003,[]
685,0.3912742716471354,0.6281526200783757,0.003,[]
690,0.39111663818359377,0.6280363500486432,0.003,[]
695,0.39095721435546876,0.6279188191613875,0.003,[]
700,0.39079597981770836,0.6278004155911385,0.003,[]
705,0.39063289388020833,0.6276805554090965,0.003,[]
710,0.39046793619791664,0.6275595295545798,0.003,[]
715,0.39030112711588544,0.6274374832683781,0.003,[]
720,0.39013240559895834,0.6273141483909671,0.003,[]
725,0.3899617513020833,0.6271894268468159,0.003,[]
730,0.38978920491536456,0.6270636098131936,0.003,[]
735,0.38961468505859376,0.6269364289054129,0.003,[]
740,0.38943821207682294,0.626807931980563,0.003,[]
745,0.3892597351074219,0.6266783617159354,0.003,[]
750,0.3890792439778646,0.6265471573090339,0.003,[]
755,0.3888967895507813,0.6264149997829913,0.003,[]
760,0.38871225992838543,0.6262811576112651,0.003,[]
765,0.3885256551106771,0.6261462145787117,0.003,[]
770,0.3883370056152344,0.6260098774773596,0.003,[]
775,0.3881462910970052,0.6258721453961763,0.003,[]
780,0.38795345052083335,0.6257331149558443,0.003,[]
785,0.3877585144042969,0.6255925901632687,0.003,[]
790,0.3875614318847656,0.6254506675970986,0.003,[]
795,0.38736219278971357,0.6253072975014715,0.003,[]
800,0.3871608479817708,0.6251626741421988,0.003,[]
805,0.3869572957356771,0.6250166257554299,0.003,[]
810,0.38675154622395835,0.6248689804077181,0.003,[]
815,0.3865435994466146,0.6247201033419136,0.003,[]
820,0.3863334757486979,0.6245694317669224,0.003,[]
825,0.386121103922526,0.6244175997417013,0.003,[]
830,0.3859065144856771,0.6242640442343513,0.003,[]
835,0.3856896667480469,0.6241091062576093,0.003,[]
840,0.3854705607096354,0.6239528092366416,0.003,[]
845,0.38524920654296874,0.6237949075376633,0.003,[]
850,0.38502559407552084,0.6236356201490979,0.003,[]
855,0.3847997029622396,0.6234747012710299,0.003,[]
860,0.3845715128580729,0.6233123944415457,0.003,[]
865,0.3843410441080729,0.6231485271699376,0.003,[]
870,0.38410829671223956,0.6229831717041501,0.003,[]
875,0.3838732604980469,0.6228163023591908,0.003,[]
880,0.3836359151204427,0.6226479669304769,0.003,[]
885,0.3833962605794271,0.6224780661767078,0.003,[]
890,0.3831543172200521,0.6223067704538771,0.003,[]
895,0.3829100748697917,0.6221337842913216,0.003,[]
900,0.38266353352864585,0.6219594988132768,0.003,[]
905,0.3824147440592448,0.6217835448219325,0.003,[]
910,0.3821636250813802,0.6216062400160999,0.003,[]
915,0.38191021728515623,0.6214274359130507,0.003,[]
920,0.38165455118815106,0.6212470820951345,0.003,[]
925,0.38139664713541666,0.6210653000559553,0.003,[]
930,0.381136474609375,0.6208819902370991,0.003,[]
935,0.38087406412760416,0.6206973971180019,0.003,[]
940,0.3806094055175781,0.6205111752840103,0.003,[]
945,0.3803425699869792,0.6203236922400247,0.003,[]
950,0.38007349650065103,0.6201347253917642,0.003,[]
955,0.3798022664388021,0.6199443472218645,0.003,[]
960,0.37952888997395834,0.6197525318089421,0.003,[]
965,0.37925335693359374,0.619559425588811,0.003,[]
970,0.37897571818033854,0.6193650273541241,0.003,[]
975,0.37869600423177086,0.6191692126680844,0.003,[]
980,0.3784142049153646,0.6189721774009591,0.003,[]
985,0.37813037109375,0.6187736737895367,0.003,[]
990,0.377844482421875,0.6185740457678904,0.003,[]
995,0.3775566609700521,0.6183731441928768,0.003,[]
