epoch,train_mse,validation_rmse,learning_rate,external_support
1,0.9179648844401042,0.9852173665122554,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
5,0.81150634765625,0.8714333698935693,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
10,0.6781612345377604,0.8308821657370218,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
15,0.5661838582356771,0.7690318017542415,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
20,0.47418330891927085,0.7094440443409059,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
25,0.4016417338053385,0.6753882075939964,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
30,0.34715101114908853,0.6225389534279411,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
35,0.30813782755533853,0.6018490084763007,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
40,0.2809349212646484,0.5743334281745666,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
45,0.2613628438313802,0.5532218201808554,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
50,0.24534437052408853,0.5423722555350879,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
55,0.23018717447916667,0.5265932738596447,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
60,0.21550273132324219,0.5119958398173118,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
65,0.2015942891438802,0.5017291116134579,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
70,0.18873973592122395,0.49106141331355674,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
75,0.1769853973388672,0.47925532750853433,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
80,0.16608401997884115,0.4682700993938521,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
85,0.1558412831624349,0.45801561660462076,0.003,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
