epoch,train_mse,validation_rmse,penalty_scale,external_support
1,0.03477091471354166,0.3799446346706834,0.0033333333333333335,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
5,0.0948163350423177,0.28699827782516285,0.016666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
10,0.062954896291097,0.2580171713622437,0.03333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
15,0.043732911427815754,0.22940217649696126,0.05,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
20,0.03559951527913412,0.20828246245778945,0.06666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
25,0.03497360610961914,0.19549145122286218,0.08333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
30,0.036020614624023437,0.193975118476919,0.1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
35,0.036352762858072915,0.1950258443285266,0.11666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
40,0.036036426544189454,0.1947926871805097,0.13333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
45,0.035613454182942705,0.19533759604393275,0.15,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
50,0.0352676518758138,0.19435499670987044,0.16666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
55,0.03505628204345703,0.19454032907402635,0.18333333333333332,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
60,0.034917532602945965,0.19386632565167083,0.2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
65,0.034839871724446615,0.19397572811917793,0.21666666666666667,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
70,0.03478377914428711,0.1936347963478916,0.23333333333333334,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
75,0.03475281524658203,0.19366508345796682,0.25,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
80,0.034730921427408856,0.1935540765315786,0.26666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
85,0.03472259521484375,0.193502176592904,0.2833333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
90,0.034720492045084636,0.19350994374356248,0.3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
95,0.034722933451334634,0.19340059338136395,0.31666666666666665,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
100,0.034727137247721356,0.19342046462371532,0.3333333333333333,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
105,0.03472968673706055,0.1933206144073466,0.35,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
110,0.03473321406046549,0.19330322930114735,0.36666666666666664,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
115,0.03473670832316081,0.19325786476860876,0.38333333333333336,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
120,0.03474200439453125,0.19320508561795824,0.4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
