epoch,train_mse,validation_rmse,learning_rate,external_support
1,0.04013982518513998,0.19751650004935803,0.003,[]
5,0.04027963511149089,0.19654917078961676,0.003,[]
10,0.0401944211324056,0.19661875685415928,0.003,[]
15,0.040152356465657554,0.19640254415507438,0.003,[]
20,0.04013662083943685,0.1963576722443479,0.003,[]
25,0.04012948354085286,0.1965110781898017,0.003,[]
30,0.040122474670410156,0.19637963356655988,0.003,[]
35,0.040117223103841144,0.19640149531834336,0.003,[]
40,0.04011375681559245,0.19637132915365782,0.003,[]
45,0.040109144846598305,0.19639658124943224,0.003,[]
50,0.040106082916259764,0.19633245400370564,0.003,[]
55,0.04010387929280599,0.19638613116054562,0.003,[]
60,0.04009883626302083,0.19635250451744546,0.003,[]
65,0.04009688313802083,0.19633792341185066,0.003,[]
70,0.04009536870320638,0.19635645803502502,0.003,[]
75,0.04009070332845052,0.19632988925540365,0.003,[]
80,0.0400875727335612,0.19632562431567474,0.003,[]
85,0.04008392715454102,0.1963254494414534,0.003,[]
90,0.040082275390625,0.19631620031620364,0.003,[]
95,0.040077297210693356,0.1963076600331615,0.003,[]
100,0.0400748545328776,0.1963035986533061,0.003,[]
105,0.04007125854492188,0.19630219949820235,0.003,[]
110,0.04006787872314453,0.19629166664939215,0.003,[]
115,0.04006631978352865,0.19628227988903507,0.003,[]
120,0.04006435012817383,0.19628575867866369,0.003,[]
125,0.040066672007242836,0.19628404844342254,0.003,[]
130,0.04005777104695638,0.1962618917762035,0.003,[]
135,0.04005420939127604,0.19625953019443074,0.003,[]
140,0.04005123901367187,0.19625168720662076,0.003,[]
145,0.04004619598388672,0.19624746916287106,0.003,[]
150,0.04004537709554037,0.1962390911204724,0.003,[]
155,0.04004117838541667,0.19623093627861843,0.003,[]
160,0.040037115732828775,0.1962283021631289,0.003,[]
165,0.04004199854532878,0.19623405634752972,0.003,[]
170,0.040034899393717446,0.1962156268103788,0.003,[]
175,0.04002779897054037,0.1962079084414309,0.003,[]
180,0.04002694702148438,0.19620201739130505,0.003,[]
185,0.04002348200480143,0.19620009255441082,0.003,[]
190,0.04002459716796875,0.19619641781335603,0.003,[]
195,0.04001490529378255,0.19619400683474278,0.003,[]
200,0.040014546712239585,0.1961768374770579,0.003,[]
205,0.04000924809773763,0.196167902205516,0.003,[]
210,0.04000742212931315,0.19616040559736078,0.003,[]
215,0.04000333658854167,0.1961539296974246,0.003,[]
220,0.039999155680338544,0.1961465978649742,0.003,[]
225,0.03999667104085287,0.19614186217234592,0.003,[]
230,0.03999312845865886,0.19613562877633497,0.003,[]
235,0.039990950266520185,0.19613216677348394,0.003,[]
240,0.039989503224690755,0.19612152753956696,0.003,[]
