timestamp,gpu,utilization_gpu_percent,memory_used_mib,memory_total_mib,temperature_c,power_w
1784955777.7540598,0,0,0,16303,46,19.89
1784955779.1144779,0,0,32,16303,46,25.40
1784955780.1397367,0,7,1285,16303,46,26.24
1784955781.1762002,0,76,1573,16303,50,53.48
1784955782.2102203,0,76,1573,16303,50,65.63
1784955783.237194,0,76,1573,16303,51,65.86
1784955784.2769892,0,76,1573,16303,51,65.96
1784955785.3015566,0,76,1573,16303,52,66.09
1784955786.3345618,0,76,1573,16303,52,66.21
1784955787.3751347,0,76,1573,16303,52,66.12
1784955788.4139028,0,76,1573,16303,53,66.35
1784955789.440048,0,76,1573,16303,53,66.52
1784955790.4760535,0,76,1573,16303,53,66.52
1784955791.5049324,0,76,1573,16303,54,66.60
1784955792.5306735,0,76,1573,16303,54,66.67
1784955793.5594118,0,76,1573,16303,54,66.75
1784955794.5835123,0,76,1573,16303,54,66.84
1784955795.6112642,0,76,1573,16303,55,67.00
1784955796.6533089,0,76,1573,16303,55,67.06
1784955797.6867511,0,76,1573,16303,55,66.97
1784955798.7154903,0,76,1573,16303,55,67.05
1784955799.745109,0,76,1573,16303,55,67.14
1784955800.7728286,0,76,1573,16303,55,67.09
1784955801.7978597,0,76,1573,16303,56,67.19
1784955802.8255374,0,76,1573,16303,56,67.29
1784955803.85427,0,76,1573,16303,56,67.35
1784955804.88074,0,76,1573,16303,56,67.43
1784955805.9083967,0,76,1573,16303,56,67.28
1784955806.9335194,0,76,1573,16303,56,67.45
1784955807.9613926,0,76,1573,16303,56,67.48
1784955808.988554,0,76,1573,16303,56,67.52
1784955810.0268967,0,76,1573,16303,56,67.61
1784955811.0551815,0,76,1573,16303,56,67.56
1784955812.093477,0,76,1573,16303,57,67.64
1784955813.1243558,0,76,1573,16303,57,67.59
1784955814.1528637,0,76,1573,16303,57,67.61
1784955815.1779387,0,76,1573,16303,57,67.59
1784955816.2055457,0,76,1573,16303,57,67.73
1784955817.2434177,0,76,1573,16303,57,67.70
1784955818.2731872,0,76,1573,16303,57,67.75
1784955819.3057058,0,77,1573,16303,57,67.78
1784955820.3346841,0,76,1573,16303,57,67.84
1784955821.3661933,0,77,1573,16303,57,67.86
1784955822.397252,0,76,1573,16303,57,67.96
1784955823.4260004,0,76,1573,16303,58,67.94
1784955824.45896,0,77,1573,16303,58,67.95
1784955825.4890654,0,76,1573,16303,58,68.01
1784955826.5181537,0,76,1573,16303,58,68.00
1784955827.552526,0,76,1573,16303,58,68.03
1784955828.5870924,0,77,1573,16303,58,68.06
1784955829.617895,0,76,1573,16303,58,68.16
1784955830.6588066,0,76,1573,16303,58,68.18
1784955831.6830573,0,77,1573,16303,58,68.18
1784955832.7170746,0,76,1573,16303,58,68.15
1784955833.7452598,0,76,1573,16303,58,68.20
1784955834.7716434,0,76,1573,16303,58,68.15
1784955835.8029635,0,77,1573,16303,58,68.27
1784955836.839008,0,77,1573,16303,58,68.26
1784955837.872875,0,76,1573,16303,58,68.31
1784955838.9036033,0,76,1573,16303,58,68.25
1784955839.9317162,0,76,1573,16303,59,68.29
1784955840.963673,0,76,1573,16303,59,68.30
1784955841.9936643,0,76,1573,16303,59,68.36
1784955843.0238962,0,77,1573,16303,59,68.34
1784955844.0627565,0,76,1573,16303,59,68.40
1784955845.0992434,0,76,1573,16303,59,68.42
1784955846.1367667,0,76,1573,16303,59,68.25
1784955847.166531,0,75,1180,16303,59,67.58
1784955848.2001302,0,75,1413,16303,59,66.37
1784955849.2387574,0,76,1573,16303,59,67.71
1784955850.2819293,0,76,1573,16303,59,68.48
1784955851.3153164,0,77,1573,16303,59,68.51
1784955852.3435287,0,76,1573,16303,59,68.82
1784955853.370369,0,77,1573,16303,59,68.64
