timestamp,gpu,utilization_gpu_percent,memory_used_mib,memory_total_mib,temperature_c,power_w
1784955989.682284,0,0,0,16303,50,22.53
1784955991.1467266,0,0,32,16303,51,23.27
1784955992.172139,0,6,1909,16303,52,31.40
1784955993.2085319,0,78,2205,16303,55,74.68
1784955994.244682,0,78,2205,16303,56,83.89
1784955995.2846234,0,78,2205,16303,57,84.19
1784955996.3302872,0,77,2205,16303,57,85.63
1784955997.3561575,0,79,2205,16303,58,85.29
1784955998.3894894,0,79,2205,16303,58,84.94
1784955999.420306,0,79,2205,16303,59,85.31
1784956000.4640517,0,79,2205,16303,59,85.02
1784956001.492056,0,78,2205,16303,59,85.05
1784956002.5159698,0,78,2205,16303,59,85.25
1784956003.541758,0,78,2205,16303,59,84.38
1784956004.569978,0,78,2205,16303,60,85.28
1784956005.601747,0,78,2205,16303,60,85.31
1784956006.6343312,0,79,2205,16303,60,85.22
1784956007.6610777,0,78,2205,16303,60,85.60
1784956008.7038069,0,79,2205,16303,60,85.50
1784956009.731397,0,79,2205,16303,61,85.65
1784956010.771057,0,79,2205,16303,61,85.70
1784956011.801712,0,79,2205,16303,61,86.35
1784956012.8331034,0,79,2205,16303,61,86.09
1784956013.8628848,0,79,2205,16303,61,86.17
1784956014.892949,0,78,2205,16303,61,85.78
1784956015.9230046,0,78,2205,16303,62,86.29
1784956016.9491646,0,79,2205,16303,61,86.34
1784956017.9832845,0,79,2205,16303,61,86.08
1784956019.025459,0,79,2205,16303,61,86.34
1784956020.0490513,0,79,2205,16303,61,86.34
1784956021.0797558,0,79,2205,16303,62,86.22
1784956022.1068077,0,79,2205,16303,62,86.70
1784956023.1380682,0,79,2205,16303,62,86.72
1784956024.1664734,0,78,2205,16303,62,86.33
1784956025.2029743,0,78,2205,16303,62,86.66
1784956026.2389653,0,79,2205,16303,62,86.69
1784956027.2706056,0,78,2205,16303,62,87.16
1784956028.302491,0,79,2205,16303,62,86.41
1784956029.3385012,0,78,2205,16303,63,86.74
1784956030.3765314,0,79,2205,16303,63,86.96
1784956031.4090438,0,78,2205,16303,62,86.65
1784956032.4328961,0,79,2205,16303,63,86.96
1784956033.4649332,0,79,2205,16303,63,86.60
1784956034.490056,0,79,2205,16303,63,86.99
1784956035.5280511,0,79,2205,16303,63,88.21
1784956036.5535314,0,78,2205,16303,63,86.64
1784956037.5817127,0,78,2205,16303,63,87.29
1784956038.6108656,0,79,2205,16303,63,86.85
1784956039.6432633,0,79,2205,16303,63,87.73
1784956040.6730819,0,79,2205,16303,63,88.05
1784956041.702659,0,79,2205,16303,63,88.11
1784956042.7376676,0,79,2205,16303,63,88.21
1784956043.7686818,0,79,2205,16303,64,88.24
1784956044.7970421,0,79,2205,16303,64,88.34
1784956045.8410983,0,79,2205,16303,64,88.06
1784956046.8831697,0,79,2205,16303,64,87.96
1784956047.918911,0,79,2205,16303,64,88.04
1784956048.9481769,0,79,2205,16303,64,88.43
1784956049.9742453,0,79,2205,16303,64,88.91
1784956051.0002735,0,79,2205,16303,64,88.85
1784956052.0377042,0,79,2205,16303,64,88.60
1784956053.0613608,0,79,2205,16303,64,89.11
1784956054.0990865,0,80,2205,16303,64,89.44
1784956055.133464,0,79,2205,16303,64,89.71
1784956056.1742613,0,79,2205,16303,65,89.55
1784956057.20889,0,80,2205,16303,64,89.69
1784956058.2458432,0,80,2205,16303,64,89.98
1784956059.2723281,0,79,2205,16303,65,89.66
1784956060.3178601,0,79,2205,16303,64,89.62
1784956061.3487632,0,79,2205,16303,65,89.82
1784956062.3786373,0,79,2205,16303,65,90.09
1784956063.4134724,0,80,2205,16303,65,89.83
1784956064.4492793,0,80,2205,16303,65,87.72
1784956065.487051,0,79,2205,16303,65,89.53
1784956066.5197024,0,79,2205,16303,65,90.22
1784956067.5494606,0,80,2205,16303,65,90.05
1784956068.6021192,0,80,2205,16303,65,89.93
1784956069.635789,0,79,2205,16303,65,89.98
1784956070.6714098,0,80,2205,16303,65,90.00
1784956071.7166193,0,80,2205,16303,65,89.98
1784956072.746443,0,79,2205,16303,65,90.32
1784956073.7879553,0,79,2205,16303,65,90.27
1784956074.8129776,0,80,2205,16303,65,90.19
1784956075.856422,0,80,2205,16303,65,90.12
1784956076.8804822,0,79,2205,16303,65,90.14
1784956077.9184873,0,79,2205,16303,65,90.57
1784956078.949056,0,79,2205,16303,65,90.25
1784956079.97466,0,80,2205,16303,66,90.21
1784956081.003639,0,80,2205,16303,66,90.53
1784956082.0340245,0,80,2205,16303,65,90.25
1784956083.0612197,0,80,2205,16303,66,90.51
1784956084.0891013,0,79,2205,16303,65,90.38
1784956085.1190093,0,79,2205,16303,65,90.50
1784956086.1453803,0,79,2205,16303,66,90.02
1784956087.1749349,0,79,2205,16303,66,90.42
1784956088.1996217,0,79,2205,16303,66,90.38
1784956089.2299893,0,79,2205,16303,66,90.41
1784956090.2582393,0,80,2205,16303,66,90.43
1784956091.2857525,0,79,2205,16303,66,90.47
1784956092.3206892,0,79,2205,16303,66,90.49
1784956093.3448696,0,80,2205,16303,66,90.68
1784956094.3799725,0,77,2205,16303,66,89.93
1784956095.4019344,0,79,1654,16303,66,89.24
