timestamp,gpu,utilization_gpu_percent,memory_used_mib,memory_total_mib,temperature_c,power_w
1784953303.6287396,0,0,0,16303,46,6.77
1784953304.7164829,0,0,0,16303,46,11.07
1784953305.9848409,0,0,0,16303,46,10.42
1784953307.039953,0,11,933,16303,46,34.79
1784953308.0920067,0,15,2205,16303,47,46.80
1784953309.1313272,0,79,2205,16303,52,80.10
1784953310.1615126,0,79,2205,16303,53,84.74
1784953311.203444,0,79,2205,16303,53,86.13
1784953312.2446394,0,79,2205,16303,54,85.07
1784953313.2806005,0,79,2205,16303,54,86.78
1784953314.3144877,0,79,2205,16303,55,83.01
1784953315.3485131,0,80,2205,16303,55,84.32
1784953316.394573,0,79,2205,16303,56,89.17
1784953317.4286373,0,79,2205,16303,56,88.11
1784953318.4617603,0,79,2205,16303,56,84.00
1784953319.5093217,0,79,2205,16303,57,81.46
1784953320.5439074,0,79,2205,16303,57,64.65
1784953321.5818472,0,79,2205,16303,57,92.67
1784953322.614049,0,79,2205,16303,57,86.15
1784953323.6453037,0,79,2205,16303,58,85.54
1784953324.6818476,0,79,2205,16303,58,86.08
1784953325.714283,0,79,2205,16303,59,87.25
1784953326.749417,0,79,2205,16303,59,87.68
1784953327.7893782,0,79,2205,16303,59,87.77
1784953328.818819,0,79,2205,16303,59,85.69
1784953329.849002,0,80,2205,16303,60,88.18
1784953330.8873928,0,79,2205,16303,60,89.79
1784953331.9231453,0,80,2205,16303,60,87.92
1784953332.9518516,0,79,2205,16303,61,88.29
1784953333.9972882,0,80,2205,16303,61,88.62
1784953335.0301788,0,79,2205,16303,61,97.42
1784953336.0604851,0,79,2205,16303,61,89.35
1784953337.090631,0,79,2205,16303,61,88.51
1784953338.1214852,0,79,2205,16303,62,88.56
1784953339.1539514,0,79,2205,16303,62,88.84
1784953340.19938,0,79,2205,16303,62,91.18
1784953341.2289813,0,79,2205,16303,62,89.56
1784953342.2598753,0,79,2205,16303,63,84.99
1784953343.289914,0,79,2205,16303,63,85.66
1784953344.323919,0,78,1654,16303,63,87.54
1784953345.3514388,0,70,1103,16303,63,87.29
1784953346.383756,0,27,1580,16303,62,65.78
1784953347.418296,0,72,1578,16303,62,82.44
1784953348.452994,0,78,1654,16303,63,87.44
1784953349.4849727,0,77,1654,16303,63,85.20
1784953350.51531,0,77,1654,16303,63,86.10
1784953351.5468824,0,71,1654,16303,64,81.15
1784953352.5760865,0,72,1103,16303,64,87.85
1784953353.6168313,0,66,1103,16303,63,84.25
1784953354.6458724,0,66,1103,16303,64,80.89
1784953355.685455,0,65,1103,16303,63,80.55
1784953356.7112894,0,66,1103,16303,64,81.49
1784953357.7414455,0,66,1103,16303,63,80.99
1784953358.766945,0,67,1103,16303,64,80.74
1784953359.800814,0,65,1103,16303,64,80.79
1784953360.8324542,0,66,1103,16303,64,81.55
1784953361.8640823,0,63,1103,16303,63,81.23
1784953362.8918772,0,67,1103,16303,64,81.72
1784953363.9196906,0,65,1103,16303,63,81.02
1784953364.9565878,0,66,1103,16303,64,81.11
1784953365.9881449,0,65,1103,16303,64,81.32
1784953367.0182042,0,65,1103,16303,63,81.85
1784953368.0514622,0,65,1103,16303,64,81.60
1784953369.078901,0,66,1103,16303,64,81.48
1784953370.1122127,0,66,1103,16303,63,81.24
1784953371.1463304,0,66,1103,16303,64,81.64
1784953372.1863124,0,67,1103,16303,64,86.24
1784953373.2131677,0,32,1103,16303,63,69.59
1784953374.2391102,0,19,552,16303,63,64.03
1784953375.2747493,0,20,552,16303,62,59.73
1784953376.3027291,0,18,552,16303,62,63.76
1784953377.329595,0,19,552,16303,62,64.17
1784953378.361879,0,18,552,16303,62,63.15
1784953379.4281101,0,0,234,16303,59,39.00
