timestamp,gpu,utilization_gpu_percent,memory_used_mib,memory_total_mib,temperature_c,power_w
1784979066.0614862,0,0,61,32607,34,21.81
1784979067.1504438,0,0,61,32607,34,18.51
1784979068.228213,0,1,560,32607,34,18.66
1784979069.5712252,0,3,4340,32607,36,73.59
1784979070.6349862,0,60,21296,32607,39,128.82
1784979071.7424796,0,72,12458,32607,39,136.96
1784979072.7931905,0,29,9355,32607,38,123.88
1784979073.8527808,0,29,7156,32607,39,114.22
1784979075.0221431,0,59,12461,32607,40,134.31
1784979076.1068892,0,31,11527,32607,39,124.50
1784979077.2037084,0,58,8950,32607,40,127.96
1784979078.3024342,0,18,7973,32607,39,115.10
1784979079.3620043,0,46,11024,32607,40,119.34
1784979080.5479465,0,47,11019,32607,40,124.62
1784979081.6337879,0,53,14437,32607,40,127.97
1784979082.7068841,0,57,10590,32607,40,121.61
1784979083.7866676,0,56,10050,32607,41,120.64
1784979084.8263645,0,41,12225,32607,41,119.34
1784979085.9201703,0,32,6411,32607,40,116.46
1784979087.0124779,0,51,10550,32607,41,119.86
1784979088.0576823,0,33,13372,32607,41,121.55
1784979089.1828294,0,59,12586,32607,41,132.77
1784979090.2607472,0,25,9001,32607,41,117.14
1784979091.3544476,0,7,7214,32607,41,108.73
1784979092.3936095,0,42,10106,32607,42,116.49
1784979093.475238,0,53,15081,32607,44,138.78
1784979094.556272,0,54,8991,32607,43,142.21
1784979095.636546,0,42,6915,32607,42,133.16
1784979096.7187295,0,30,6915,32607,42,126.51
1784979097.8156078,0,4,63,32607,41,99.20
