timestamp,gpu,utilization_gpu_percent,memory_used_mib,memory_total_mib,temperature_c,power_w
1784978636.4637942,0,0,61,32607,35,44.78
1784978637.5232537,0,0,61,32607,35,17.21
1784978638.582098,0,0,61,32607,35,14.40
1784978639.829861,0,2,5142,32607,37,77.46
1784978640.8904924,0,83,21742,32607,40,131.02
1784978641.9772592,0,91,22536,32607,41,164.41
1784978643.0602486,0,73,15519,32607,41,158.90
1784978644.1155214,0,68,10063,32607,41,140.93
1784978645.3140311,0,78,14694,32607,41,147.85
1784978646.3773694,0,81,18410,32607,42,153.69
1784978647.451308,0,87,17750,32607,42,168.46
1784978648.5609975,0,83,15505,32607,42,158.83
1784978649.667052,0,83,17107,32607,42,155.24
1784978650.728795,0,90,19895,32607,43,165.47
1784978651.8394248,0,91,19867,32607,43,166.25
1784978652.9471931,0,92,20037,32607,44,167.52
1784978654.0276942,0,92,22416,32607,44,167.88
1784978655.1142585,0,94,22122,32607,44,169.25
1784978656.1939993,0,93,20237,32607,44,164.17
1784978657.315515,0,92,19375,32607,44,162.24
1784978658.3788743,0,91,18765,32607,44,161.07
1784978659.440294,0,93,20051,32607,45,163.63
1784978660.4800296,0,92,21340,32607,45,163.23
1784978661.537497,0,96,22804,32607,45,170.29
1784978662.6371725,0,97,23780,32607,45,172.52
1784978663.6925044,0,94,21579,32607,46,168.09
1784978664.7938533,0,94,21581,32607,46,167.02
1784978665.8738697,0,95,20812,32607,46,164.68
1784978666.9320087,0,97,22092,32607,46,167.99
1784978668.0463412,0,95,22186,32607,46,167.58
1784978669.0959961,0,94,21049,32607,46,166.35
1784978670.2339656,0,93,18855,32607,46,161.79
1784978671.31514,0,95,21112,32607,46,165.43
1784978672.394457,0,94,21334,32607,47,165.62
1784978673.4716427,0,96,20829,32607,47,167.50
1784978674.536517,0,95,21358,32607,47,166.29
1784978675.6358366,0,94,20847,32607,47,165.86
1784978676.69543,0,93,18114,32607,47,161.49
1784978677.7814224,0,93,20115,32607,47,160.54
1784978678.8642995,0,97,23078,32607,47,166.91
1784978679.9458675,0,96,21255,32607,48,168.54
1784978681.0280013,0,96,21255,32607,48,168.32
1784978682.089225,0,94,20974,32607,48,167.30
1784978683.1949966,0,96,23022,32607,48,173.55
1784978684.2558782,0,97,21950,32607,48,169.85
1784978685.3571808,0,97,23218,32607,48,172.56
1784978686.418381,0,97,23830,32607,48,172.27
1784978687.5185702,0,95,21827,32607,48,171.94
1784978688.601919,0,95,20061,32607,48,165.87
1784978689.6805065,0,94,21384,32607,49,166.25
1784978690.742213,0,97,23454,32607,49,174.12
1784978691.8464704,0,97,22842,32607,49,174.14
1784978692.954252,0,95,21451,32607,49,171.14
1784978694.0585268,0,96,21950,32607,49,169.80
1784978695.1667767,0,97,23520,32607,49,172.58
1784978696.2752213,0,97,24592,32607,50,175.88
1784978697.3378248,0,97,23022,32607,50,173.26
1784978698.4376762,0,94,20229,32607,49,167.68
1784978699.5419817,0,96,21787,32607,50,170.06
1784978700.6436706,0,96,24264,32607,50,173.79
1784978701.7389717,0,97,23750,32607,50,176.80
1784978702.845413,0,96,23750,32607,50,174.66
1784978703.9434657,0,96,22626,32607,50,171.93
