timestamp,gpu,utilization_gpu_percent,memory_used_mib,memory_total_mib,temperature_c,power_w
1784959153.745546,0,0,0,16303,53,21.28
1784959155.0516973,0,0,16,16303,52,26.04
1784959156.099416,0,26,1103,16303,52,30.81
1784959157.128774,0,73,1103,16303,56,79.68
1784959158.1547475,0,69,1103,16303,57,79.47
1784959159.1872134,0,72,1103,16303,57,80.25
1784959160.211368,0,68,1103,16303,57,79.89
1784959161.2426617,0,70,1103,16303,58,80.06
1784959162.2748115,0,71,1103,16303,58,80.64
1784959163.302028,0,70,1103,16303,58,79.89
1784959164.331864,0,72,1103,16303,58,80.51
1784959165.361326,0,72,1103,16303,58,81.45
1784959166.3955128,0,72,1103,16303,58,80.75
1784959167.4243126,0,72,1103,16303,59,81.01
1784959168.461271,0,72,1103,16303,59,81.03
1784959169.491009,0,70,1103,16303,59,80.95
1784959170.5420883,0,69,1103,16303,59,80.77
1784959171.5806277,0,70,1103,16303,59,80.84
1784959172.6225014,0,72,1103,16303,59,81.08
1784959173.6535206,0,72,1103,16303,59,81.20
1784959174.6855562,0,71,1103,16303,59,80.88
1784959175.7158864,0,69,1103,16303,59,80.99
1784959176.7451646,0,72,1103,16303,59,81.00
1784959178.777738,0,72,1103,16303,59,82.03
1784959179.8063624,0,69,1103,16303,59,80.72
1784959180.8303518,0,71,1103,16303,59,80.70
1784959181.8643043,0,70,1103,16303,60,80.80
1784959182.9095833,0,71,1103,16303,59,80.61
1784959183.9698193,0,73,1103,16303,60,81.63
1784959184.9972794,0,74,1103,16303,60,82.29
1784959186.0286987,0,73,1103,16303,60,81.87
1784959187.0552416,0,74,1103,16303,60,82.21
1784959188.0856752,0,74,1103,16303,60,82.25
1784959189.1105483,0,72,1103,16303,60,81.80
1784959190.1447074,0,71,1103,16303,60,81.62
1784959191.1898339,0,71,1103,16303,60,82.08
1784959192.2261765,0,72,1103,16303,60,82.12
1784959193.2612474,0,70,1103,16303,60,81.63
1784959194.286421,0,69,1103,16303,60,81.52
1784959195.3177602,0,73,1103,16303,60,81.81
1784959196.3475485,0,69,1103,16303,60,81.63
1784959197.3752522,0,72,1103,16303,61,81.54
1784959198.4063945,0,66,1103,16303,61,81.31
1784959199.4379601,0,70,1103,16303,61,81.33
1784959200.464428,0,69,1103,16303,61,81.36
1784959201.491869,0,73,1103,16303,61,81.58
1784959202.5192623,0,72,1103,16303,61,81.25
1784959203.544161,0,72,1103,16303,61,82.30
1784959204.5736327,0,72,1103,16303,61,81.78
1784959205.600669,0,70,1103,16303,61,81.38
1784959206.632868,0,73,1103,16303,61,82.23
1784959207.6647782,0,69,1103,16303,61,82.10
1784959208.695473,0,71,1103,16303,61,82.40
1784959209.7239108,0,73,1103,16303,61,82.60
1784959210.7496333,0,73,1103,16303,62,82.18
1784959212.537317,0,71,1103,16303,61,82.17
1784959213.5667543,0,73,1103,16303,61,82.42
1784959214.5982845,0,73,1103,16303,61,81.89
1784959215.626695,0,71,1103,16303,61,82.30
1784959216.665021,0,68,1103,16303,62,81.74
1784959217.6944456,0,72,1103,16303,61,81.76
1784959218.7215004,0,74,1103,16303,62,81.99
1784959219.7461836,0,72,1103,16303,62,83.02
1784959220.780275,0,72,1103,16303,62,82.08
1784959221.8072484,0,70,1103,16303,62,82.40
1784959222.8313587,0,74,1103,16303,62,83.12
1784959223.859275,0,72,1103,16303,62,82.62
1784959224.9019725,0,74,1103,16303,62,82.34
1784959225.9315581,0,72,1103,16303,62,83.32
1784959226.9699566,0,70,1103,16303,62,81.97
1784959227.9969518,0,71,1103,16303,62,82.56
1784959229.0303762,0,70,1103,16303,62,82.53
1784959230.0709772,0,71,1103,16303,62,83.01
1784959231.1047916,0,73,1103,16303,62,82.78
1784959232.1440077,0,71,1103,16303,62,82.47
1784959233.1740782,0,73,1103,16303,62,83.03
1784959234.202061,0,72,1103,16303,62,82.70
1784959235.23713,0,72,1103,16303,62,83.12
1784959236.2655756,0,73,1103,16303,62,83.27
1784959237.2891955,0,72,1103,16303,63,82.81
1784959238.3251998,0,71,1103,16303,62,82.06
1784959239.351285,0,73,1103,16303,62,82.54
1784959240.3851,0,72,1103,16303,63,83.15
1784959241.4091942,0,70,1103,16303,62,82.22
1784959242.440218,0,71,1103,16303,62,82.52
1784959243.478967,0,70,1103,16303,62,82.16
1784959244.5081882,0,71,1103,16303,62,81.54
1784959246.3521228,0,70,1103,16303,62,82.60
1784959247.3774326,0,71,1103,16303,63,82.83
1784959248.4170055,0,70,1103,16303,63,82.81
1784959249.4457116,0,72,1103,16303,63,83.22
1784959250.4828596,0,73,1103,16303,62,83.32
1784959251.5165184,0,71,1103,16303,62,83.32
1784959252.5537405,0,73,1103,16303,62,83.72
1784959253.57669,0,72,1103,16303,63,83.37
1784959254.6147735,0,74,1103,16303,63,84.03
1784959255.646918,0,74,1103,16303,63,84.14
1784959256.6745574,0,72,1103,16303,63,84.01
1784959257.7082837,0,72,1103,16303,63,83.79
1784959258.7384846,0,31,1103,16303,62,80.24
1784959260.7682285,0,0,0,16303,57,21.16
1784959262.0268383,0,0,16,16303,57,24.27
1784959263.0686066,0,57,1103,16303,57,35.86
1784959264.0995016,0,70,1103,16303,62,82.34
1784959265.1340144,0,70,1103,16303,61,82.56
1784959266.174772,0,69,1103,16303,62,83.08
1784959267.2051528,0,72,1103,16303,62,83.19
1784959268.2324872,0,72,1103,16303,62,83.46
1784959269.2720718,0,73,1103,16303,62,83.57
1784959270.3125184,0,71,1103,16303,62,83.53
1784959271.34069,0,74,1103,16303,62,84.03
1784959272.3687186,0,72,1103,16303,62,83.86
1784959273.406758,0,73,1103,16303,62,84.08
1784959274.4415083,0,68,1103,16303,62,82.78
1784959275.4720898,0,73,1103,16303,62,83.68
1784959276.5007472,0,69,1103,16303,62,83.15
1784959277.5376053,0,72,1103,16303,62,83.57
1784959278.566859,0,72,1103,16303,62,83.03
1784959280.1594644,0,70,1103,16303,62,82.82
1784959281.1931398,0,70,1103,16303,62,82.68
1784959282.2187033,0,73,1103,16303,62,83.26
1784959283.2509098,0,73,1103,16303,62,83.96
1784959284.2863693,0,71,1103,16303,63,83.15
1784959285.3139744,0,71,1103,16303,63,83.11
1784959286.341315,0,71,1103,16303,63,83.09
1784959287.3680675,0,73,1103,16303,63,83.52
1784959288.3918536,0,72,1103,16303,63,83.53
1784959289.41495,0,70,1103,16303,63,83.27
1784959290.4409418,0,68,1103,16303,62,82.35
1784959291.4711266,0,71,1103,16303,62,82.53
1784959292.494252,0,72,1103,16303,63,83.08
1784959293.5198464,0,69,1103,16303,63,82.42
1784959294.5479755,0,67,1103,16303,63,82.32
1784959295.5799177,0,69,1103,16303,63,82.57
1784959296.6222823,0,71,1103,16303,63,82.27
1784959297.6578743,0,71,1103,16303,63,82.61
1784959298.6839473,0,70,1103,16303,63,82.90
1784959299.716652,0,72,1103,16303,63,83.47
1784959300.7437189,0,72,1103,16303,63,83.19
1784959301.7775176,0,73,1103,16303,63,83.78
1784959302.8112895,0,70,1103,16303,63,83.50
1784959303.8407602,0,69,1103,16303,63,83.29
1784959304.8712356,0,70,1103,16303,63,83.51
1784959305.9070299,0,68,1103,16303,63,83.34
1784959306.935083,0,70,1103,16303,63,83.68
1784959307.9677684,0,70,1103,16303,63,83.68
1784959309.0156832,0,71,1103,16303,63,83.60
1784959310.046346,0,70,1103,16303,63,83.63
1784959311.0811665,0,72,1103,16303,63,83.85
1784959312.1112556,0,70,1103,16303,63,83.51
1784959313.9789934,0,73,1103,16303,63,83.36
1784959315.0073493,0,67,1103,16303,63,83.11
1784959316.0343354,0,71,1103,16303,63,83.23
1784959317.0662444,0,71,1103,16303,63,83.79
1784959318.1025813,0,57,1103,16303,63,81.96
1784959319.132974,0,27,552,16303,62,65.06
1784959320.1601532,0,19,785,16303,61,63.87
1784959321.1942773,0,67,1103,16303,63,77.65
