timestamp,gpu,utilization_gpu_percent,memory_used_mib,memory_total_mib,temperature_c,power_w
1784974300.6642733,0,0,61,32607,34,13.15
1784974301.738666,0,0,61,32607,34,14.79
1784974302.9603107,0,0,685,32607,35,22.68
1784974304.0105288,0,3,5713,32607,36,72.57
1784974305.128541,0,62,7443,32607,42,228.84
1784974306.2364645,0,64,7443,32607,43,236.83
1784974307.3437922,0,65,7443,32607,43,237.54
1784974308.4432344,0,62,7443,32607,43,233.52
1784974309.5043192,0,64,7443,32607,43,231.42
1784974310.561536,0,62,7443,32607,44,230.86
1784974311.6665647,0,63,7443,32607,45,231.79
1784974312.7700667,0,63,7443,32607,45,233.78
1784974313.843653,0,61,7443,32607,45,227.17
1784974314.9388835,0,56,7443,32607,45,225.90
1784974316.0198998,0,54,7443,32607,44,207.19
1784974317.1267874,0,60,7443,32607,45,217.43
1784974318.2311602,0,57,7443,32607,46,210.46
1784974319.314882,0,57,7443,32607,46,209.89
1784974320.3717265,0,59,7443,32607,46,210.47
1784974321.471578,0,60,7443,32607,46,213.64
1784974322.578183,0,57,7443,32607,46,211.74
1784974323.6599357,0,58,7443,32607,47,212.70
1784974324.7635398,0,57,7443,32607,47,211.75
1784974325.8239474,0,58,7443,32607,47,211.57
1784974326.9066849,0,58,7443,32607,47,213.78
1784974327.9993374,0,50,6520,32607,47,202.73
1784974329.078197,0,57,6520,32607,48,209.82
1784974330.2245455,0,41,7133,32607,47,194.03
1784974331.2963278,0,54,6520,32607,48,187.33
1784974332.3904533,0,48,6520,32607,47,205.89
1784974333.449854,0,48,7221,32607,47,198.87
1784974334.5304203,0,54,7443,32607,48,214.14
1784974335.6050215,0,53,7443,32607,48,214.22
1784974336.7056446,0,54,7443,32607,48,214.75
1784974337.8064528,0,53,7443,32607,49,215.14
1784974338.9023979,0,54,7443,32607,49,215.23
1784974339.9947371,0,53,7443,32607,49,215.82
1784974341.0536067,0,49,6520,32607,49,201.48
1784974342.1458526,0,55,6520,32607,49,216.85
1784974343.203473,0,56,7133,32607,50,219.56
1784974344.3029153,0,54,7443,32607,50,220.97
1784974345.408584,0,47,7443,32607,49,209.03
1784974346.5144925,0,49,6520,32607,50,203.26
1784974347.6606455,0,40,5609,32607,49,197.65
1784974348.7141037,0,38,5375,32607,49,170.39
1784974349.750957,0,45,4675,32607,49,181.51
1784974350.8586676,0,38,6010,32607,49,176.39
1784974351.9677413,0,49,7133,32607,50,198.66
1784974353.063867,0,55,7443,32607,51,215.45
1784974354.1587002,0,55,7443,32607,51,219.38
1784974355.2291026,0,57,7443,32607,51,222.99
1784974356.3336592,0,57,7443,32607,52,225.18
1784974357.438378,0,56,7443,32607,51,224.44
1784974358.5464332,0,56,7443,32607,52,221.48
1784974359.6320794,0,55,7443,32607,52,221.53
1784974360.6935802,0,56,7443,32607,52,221.59
1784974361.7993124,0,54,7443,32607,52,220.73
1784974362.90827,0,56,7443,32607,52,222.13
1784974364.0160804,0,54,7443,32607,52,217.78
1784974365.1395118,0,53,7443,32607,52,218.22
1784974366.2352314,0,55,7443,32607,53,218.10
1784974367.3352568,0,53,7443,32607,52,221.66
1784974368.4431694,0,54,7443,32607,53,218.66
1784974369.542855,0,52,7443,32607,53,218.56
1784974370.6478615,0,54,7443,32607,53,216.27
1784974371.73262,0,53,7443,32607,53,219.14
1784974372.834938,0,54,7443,32607,53,221.61
1784974373.9315374,0,50,6520,32607,53,208.92
1784974375.0429652,0,49,6520,32607,53,210.75
1784974376.1023395,0,49,7133,32607,54,204.91
1784974377.1922395,0,50,7443,32607,54,204.27
1784974378.2712178,0,57,7443,32607,54,226.43
1784974379.3680382,0,49,6520,32607,54,217.00
1784974380.462578,0,52,6520,32607,54,213.00
1784974381.5448396,0,55,7133,32607,54,213.16
1784974382.6491807,0,50,7443,32607,53,211.99
