timestamp,gpu,utilization_gpu_percent,memory_used_mib,memory_total_mib,temperature_c,power_w
1784959026.8559334,0,0,0,16303,44,20.60
1784959028.107844,0,0,16,16303,44,24.87
1784959029.1408532,0,74,1091,16303,44,39.17
1784959030.1854978,0,75,1091,16303,49,87.98
1784959031.217471,0,74,1091,16303,50,88.46
1784959032.2518272,0,74,1091,16303,51,88.90
1784959033.2846417,0,75,1091,16303,51,88.94
1784959034.3170137,0,75,1091,16303,51,89.28
1784959035.3450234,0,75,1091,16303,52,89.45
1784959036.3738525,0,74,1091,16303,52,89.76
1784959037.3992026,0,74,1091,16303,53,89.48
1784959038.4337792,0,75,1091,16303,53,89.67
1784959039.4645922,0,74,1091,16303,54,90.44
1784959040.4997325,0,74,1091,16303,53,90.25
1784959041.5314763,0,74,1091,16303,54,90.42
1784959042.5599217,0,73,1091,16303,54,90.76
1784959043.9524577,0,75,1091,16303,54,90.80
1784959044.9848988,0,76,1091,16303,55,90.45
1784959046.0134704,0,74,1091,16303,55,90.92
1784959047.040858,0,39,546,16303,54,81.23
1784959048.0669587,0,40,779,16303,54,73.44
1784959049.099796,0,75,1091,16303,55,82.99
1784959050.127583,0,74,1091,16303,56,91.25
1784959051.155351,0,38,546,16303,55,83.89
1784959052.1902306,0,40,557,16303,55,78.10
1784959053.2195315,0,74,1091,16303,56,82.39
1784959054.255403,0,75,1091,16303,57,91.06
1784959055.286542,0,74,1091,16303,57,91.51
1784959056.3185277,0,74,1091,16303,57,91.28
1784959057.3447683,0,74,1091,16303,57,91.19
1784959058.3755941,0,75,1091,16303,57,91.52
1784959059.4058347,0,74,1091,16303,57,91.32
1784959060.4322739,0,74,1091,16303,58,91.69
1784959061.4598265,0,74,1091,16303,58,91.94
1784959062.4864624,0,75,1091,16303,58,91.82
1784959063.523467,0,73,1091,16303,58,91.34
1784959064.5543349,0,73,1091,16303,58,91.21
1784959065.5884047,0,74,1091,16303,59,91.77
1784959066.6248548,0,69,1091,16303,58,91.66
1784959067.651338,0,71,1091,16303,59,91.46
1784959068.680066,0,39,546,16303,58,80.80
1784959069.711332,0,41,563,16303,58,77.18
1784959070.7429333,0,65,1091,16303,58,83.01
1784959071.7687879,0,73,1091,16303,59,91.98
1784959072.8060582,0,74,1091,16303,59,92.52
1784959073.834263,0,75,1091,16303,59,92.43
1784959074.8644779,0,49,1091,16303,59,89.20
1784959075.8901234,0,38,546,16303,59,78.21
1784959077.5697834,0,34,554,16303,59,77.78
1784959078.6021886,0,60,1091,16303,59,79.56
1784959079.626794,0,74,1091,16303,59,91.86
1784959080.6547205,0,73,1091,16303,60,91.91
1784959081.67874,0,74,1091,16303,59,92.14
1784959082.7093875,0,73,1091,16303,60,92.33
1784959083.7339988,0,75,1091,16303,60,91.68
1784959084.7610624,0,74,1091,16303,60,92.11
1784959085.7886186,0,75,1091,16303,60,92.74
1784959086.8133087,0,74,1091,16303,60,92.85
1784959087.8481538,0,75,1091,16303,60,92.93
1784959088.8760989,0,76,1091,16303,60,93.38
1784959089.9065697,0,75,1091,16303,61,93.53
1784959090.9330575,0,76,1091,16303,61,93.50
1784959091.986794,0,39,546,16303,60,85.33
1784959093.1178493,0,0,0,16303,56,37.34
1784959094.1667004,0,6,779,16303,55,25.15
1784959095.2010744,0,74,1091,16303,58,86.44
1784959096.2300313,0,73,1091,16303,60,92.26
1784959097.2642758,0,73,1091,16303,60,93.01
1784959098.296589,0,73,1091,16303,61,93.09
1784959099.324077,0,75,1091,16303,61,94.02
1784959100.351194,0,74,1091,16303,61,93.73
1784959101.385255,0,75,1091,16303,61,93.92
1784959102.411038,0,74,1091,16303,61,94.11
1784959103.438338,0,76,1091,16303,61,94.06
1784959104.4680445,0,74,1091,16303,62,94.25
1784959105.4986029,0,74,1091,16303,61,94.76
1784959106.524096,0,75,1091,16303,62,94.85
1784959107.556018,0,73,1091,16303,62,94.52
1784959108.5928268,0,72,1091,16303,62,94.46
1784959109.6273048,0,75,1091,16303,62,94.93
1784959111.2652504,0,38,546,16303,61,88.34
1784959112.2965064,0,0,546,16303,61,56.04
1784959113.350135,0,17,546,16303,59,33.31
1784959114.3818023,0,40,1091,16303,60,80.00
1784959115.4222963,0,74,1091,16303,62,93.65
1784959116.4650378,0,74,1091,16303,62,94.12
1784959117.4929502,0,72,1091,16303,62,93.76
1784959118.5199034,0,73,1091,16303,62,93.24
1784959119.546531,0,73,1091,16303,62,93.94
1784959120.5761719,0,71,1091,16303,62,93.25
1784959121.6049118,0,72,1091,16303,62,93.07
1784959122.6308608,0,73,1091,16303,63,93.96
1784959123.666637,0,73,1091,16303,63,93.01
1784959124.7089915,0,75,1091,16303,63,93.57
1784959125.7452273,0,73,1091,16303,63,93.98
1784959126.7802603,0,72,1091,16303,63,94.13
1784959127.8027964,0,72,1091,16303,63,93.50
1784959128.8280842,0,75,1091,16303,63,94.55
1784959129.853019,0,74,1091,16303,63,95.25
1784959130.8876884,0,71,1091,16303,63,94.85
1784959131.9174318,0,74,1091,16303,64,95.04
1784959132.9436595,0,43,546,16303,62,82.69
1784959133.970097,0,42,546,16303,62,81.92
1784959134.9987426,0,40,546,16303,62,83.40
1784959136.0219862,0,42,546,16303,62,82.29
