timestamp,gpu,utilization_gpu_percent,memory_used_mib,memory_total_mib,temperature_c,power_w
1784979733.2976117,0,0,62,32607,45,74.31
1784979734.3602974,0,0,62,32607,45,58.72
1784979735.4983132,0,0,63,32607,44,39.73
1784979736.704334,0,3,5748,32607,46,63.51
1784979737.7935898,0,54,13004,32607,49,134.41
1784979738.9033353,0,83,15178,32607,52,237.63
1784979740.013687,0,80,15178,32607,52,263.49
1784979741.123626,0,80,15178,32607,53,264.82
1784979742.1891546,0,81,15178,32607,53,266.26
1784979743.2982495,0,80,15178,32607,54,267.35
1784979744.4066494,0,80,15178,32607,53,263.03
1784979745.4938993,0,83,15178,32607,54,266.99
1784979746.6031628,0,84,15178,32607,54,272.93
1784979747.7138758,0,80,15178,32607,54,266.78
1784979748.8171372,0,81,15178,32607,55,263.80
1784979749.9245424,0,81,15178,32607,55,266.19
1784979750.9654534,0,80,15178,32607,55,264.77
1784979752.0736117,0,80,15178,32607,55,265.08
1784979753.183618,0,81,15178,32607,56,265.82
1784979754.2922952,0,80,15178,32607,56,266.96
1784979755.3531308,0,81,15178,32607,56,266.19
1784979756.4614477,0,81,15178,32607,56,266.94
1784979757.5714905,0,81,15178,32607,56,266.56
1784979758.678284,0,80,15178,32607,56,262.16
1784979759.7868028,0,81,15178,32607,56,261.02
1784979760.8751276,0,80,15178,32607,56,256.02
1784979761.9857981,0,84,15178,32607,57,256.79
1784979763.0950365,0,83,15178,32607,57,258.13
1784979764.2066932,0,80,15178,32607,57,243.91
1784979765.2877262,0,81,15178,32607,57,246.71
1784979766.397967,0,81,15178,32607,57,246.18
1784979767.4827747,0,81,15178,32607,57,244.63
1784979768.5891929,0,81,15178,32607,57,246.75
1784979769.6961794,0,81,15178,32607,57,244.17
1784979770.7582715,0,80,15178,32607,57,244.66
1784979771.8396754,0,80,15178,32607,57,243.95
1784979772.9467869,0,80,15178,32607,58,244.27
1784979774.0570712,0,80,15178,32607,57,244.83
1784979775.1844966,0,80,15178,32607,58,246.67
1784979776.2897787,0,81,15178,32607,58,249.10
1784979777.3987744,0,81,15178,32607,58,251.61
1784979778.5084786,0,79,15178,32607,58,245.91
1784979779.616663,0,79,15178,32607,59,247.18
1784979780.7002506,0,80,15178,32607,58,246.68
1784979781.80987,0,79,15178,32607,58,246.04
1784979782.9158278,0,80,15178,32607,59,248.57
1784979784.0197573,0,79,15178,32607,58,246.78
1784979785.1461747,0,78,15178,32607,59,247.50
1784979786.2523096,0,79,15178,32607,59,247.19
1784979787.3570137,0,79,15178,32607,59,247.65
1784979788.4639976,0,80,15178,32607,59,248.01
1784979789.5720928,0,80,15178,32607,59,248.87
1784979790.6816752,0,80,15178,32607,59,247.13
1784979791.7886636,0,79,15178,32607,59,248.57
1784979792.8899958,0,80,15178,32607,60,248.01
1784979793.9975748,0,79,15178,32607,59,249.92
1784979795.116196,0,81,15178,32607,59,252.54
1784979796.224106,0,80,15178,32607,59,249.15
1784979797.3320136,0,80,15178,32607,60,250.22
1784979798.4364543,0,81,15178,32607,60,250.54
1784979799.5446715,0,82,15178,32607,60,256.82
1784979800.6522548,0,81,15178,32607,60,252.85
1784979801.71765,0,80,15178,32607,60,249.57
1784979802.8236532,0,80,15178,32607,60,249.96
1784979803.9313748,0,79,15178,32607,60,250.19
1784979805.0465875,0,79,15178,32607,60,249.71
1784979806.1320543,0,81,15178,32607,61,250.72
1784979807.2427363,0,81,15178,32607,61,252.69
1784979808.3484793,0,79,15178,32607,60,250.27
