scenario,seed,partition,r2_y_x_truth,r2_y_ar_truth,r2_y_xar_truth,r2_x_self,target_variance,x_variance_ratio,ar_variance_ratio,process_variance_ratio,noise_variance_ratio,active_contribution_variances
AR-S0,0,train,-0.005037961837834892,0.6282969986277344,0.6282969986277344,1.0,0.11161899778567769,0.0,0.6434337058317959,0.3616823455161415,0.010446783139316468,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S0,0,validation,-0.007659550797693537,0.715287170521195,0.715287170521195,1.0,0.1437893131420583,0.0,0.701836113392389,0.27401162898502274,0.007943795105784015,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S0,0,test,-0.05294684349168777,0.6385395309302916,0.6385395309302916,1.0,0.11192652483848732,0.0,0.6469276342717979,0.3489002239475102,0.009953153174715434,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S0,1,train,-4.571405680398044e-05,0.6988047483389015,0.6988047483389015,1.0,0.1377398777931933,0.0,0.6905563826029385,0.2940624326855656,0.009004364030048067,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S0,1,validation,-0.06523662855733892,0.5420625821558998,0.5420625821558998,1.0,0.08845612405307851,0.0,0.5894554348222684,0.4447628689400473,0.013945360246660845,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S0,1,test,-0.09510807823933498,0.6048300683563763,0.6048300683563763,1.0,0.10577538750454077,0.0,0.6319737182100583,0.3800277478705274,0.011509611972683841,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S0,2,train,-0.005375186460313319,0.6451882738615453,0.6451882738615453,1.0,0.1160419245228292,0.0,0.663488192994912,0.34530108951122485,0.0109080748345721,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S0,2,validation,-0.05512970749301016,0.6044490910976303,0.6044490910976303,1.0,0.10881269276814269,0.0,0.6277549002089333,0.38104300154697046,0.011571881218665855,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S0,2,test,-0.028379822424848156,0.7371950899192727,0.7371950899192727,1.0,0.15932158422214193,0.0,0.7159428265385746,0.25156266042835895,0.007185054241846143,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S0,3,train,-0.012986944060535466,0.6530160916155738,0.6530160916155738,1.0,0.12391969370566198,0.0,0.6661945848669724,0.33393906793089784,0.011003030192627819,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S0,3,validation,-0.11144985063090185,0.7538549204910225,0.7538549204910225,1.0,0.16363588929247602,0.0,0.731252186342189,0.24031848124623956,0.008095878291928342,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S0,3,test,-0.011143371535699886,0.7138812774901779,0.7138812774901779,1.0,0.14146573369880372,0.0,0.6946115435858925,0.2792243655175358,0.009796924920426366,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S0,4,train,-0.003073590284293992,0.684282864292274,0.684282864292274,1.0,0.1321282202981398,0.0,0.6764439359308686,0.3069303803821419,0.009789289677653926,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S0,4,validation,-0.21225839481290953,0.612686708324847,0.612686708324847,1.0,0.09950418025908818,0.0,0.6383384353171951,0.3771905404713214,0.012951538862238952,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S0,4,test,-0.010089915735300714,0.7102131677019596,0.7102131677019596,1.0,0.1424873527852781,0.0,0.6990322666400606,0.28178731700765536,0.008833849731046077,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S1,0,train,0.22703104019640286,0.9240117070998226,0.9826476546732658,1.0,5.655624231377152,0.05741984915791622,0.7536778852462035,0.007138137059974832,0.010274127728364722,"[0.13997596616610558, 0.10574024407627644, 0.0890433831946427, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S1,0,validation,0.2134389678554398,0.9175947194235543,0.9781229207819191,1.0,4.533281405559875,0.06376077964188594,0.7622153476513771,0.008691263656469814,0.012555868918244905,"[0.11617458631100722, 0.08204242098443486, 0.06335485408231134, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S1,0,test,0.22835654598119315,0.9370266843020114,0.9876358183163121,1.0,7.802302139661962,0.049994422681981655,0.7512423349085734,0.005005085535370808,0.007115013890913109,"[0.1434580376822471, 0.11409515200965133, 0.09043745721229504, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S1,1,train,0.16798257729421684,0.9290712057335054,0.9835060516327156,1.0,6.1808698048355994,0.05272176247623753,0.753645644557285,0.006553142975118252,0.010237624788919163,"[0.1400387596918418, 0.09244875876297383, 0.09147293640005055, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S1,1,validation,0.2265254076295109,0.9344345195099012,0.9854412038810362,1.0,6.981989968239357,0.0498161180767324,0.754482426290898,0.005634783161838996,0.009013936396644388,"[0.1608572181944978, 0.08489099697871043, 0.08774515464971767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S1,1,test,0.21902051073998363,0.9047771964591009,0.9800477395471949,1.0,5.258140126231068,0.07535600925197515,0.7573359006822218,0.007644829032408422,0.011812701185530934,"[0.14975054108520694, 0.11554690550045472, 0.0814061604964755, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S1,2,train,0.22912459065618884,0.9238276492634359,0.9835056967840289,1.0,6.309882427799596,0.05736716077562643,0.754558892944695,0.006350261423283822,0.010329935071098624,"[0.1443443049408398, 0.1084206325613067, 0.08870507194945011, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S1,2,validation,0.20829481507859327,0.9254143654800414,0.9805446037611366,1.0,5.577259933290778,0.05624704601637297,0.7580333212773129,0.00743417297287724,0.011625682726943502,"[0.15005550244177593, 0.08771156896428876, 0.08839317840628302, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S1,2,test,0.20097616365557214,0.9389888568409589,0.9853006384193189,1.0,7.046829313954293,0.044948021176543104,0.7581722769449917,0.00568757377324534,0.008365015350516482,"[0.13067456767683655, 0.11872215581445593, 0.08286306468197827, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S1,3,train,0.21510592141611773,0.9245084856273368,0.9819599344813312,1.0,5.636162888379906,0.0559596947489973,0.7557351510539064,0.007342163069784184,0.010409686123265087,"[0.158091305081499, 0.06949511630099924, 0.09279064464591057, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S1,3,validation,0.20057528643391453,0.9365859996905623,0.9848787699088977,1.0,6.182423597572541,0.04806433251563852,0.7624868857134954,0.006360730184775117,0.009220454059390992,"[0.14441277693085272, 0.09614018527204542, 0.06599322173484316, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S1,3,test,0.2266805298891953,0.926285828848332,0.9838332291692208,1.0,5.965576278873109,0.05664571527679859,0.7504737140773228,0.00662143569841048,0.009996711704797498,"[0.16513265583249365, 0.09023583301402467, 0.0842384654914081, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S1,4,train,0.22573183888952109,0.9356619939898018,0.9836318959691264,1.0,6.64102510788603,0.04781981705678143,0.7589079829406368,0.006106612195633257,0.010406867495287605,"[0.14659127108438083, 0.07983033999491533, 0.07673216573471822, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S1,4,validation,0.19703795527117307,0.9185103882442294,0.9826175780111557,1.0,5.980179918310432,0.06217696382556675,0.7509389748086358,0.0062760712961433965,0.01151481144584743,"[0.1392344059668022, 0.14158865690343553, 0.09045781872704425, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S1,4,test,0.23915504123571585,0.9428304141240631,0.9878596292187898,1.0,8.7771650267602,0.04656939353732109,0.7607320994042995,0.004574498568327278,0.007662675655828989,"[0.14617377436155418, 0.09444759257651753, 0.07395501963533317, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S2,0,train,0.2235169297923144,0.9173841229545985,0.9809343750727383,1.0,4.639668880048281,0.06212341338842103,0.7578452311861706,0.008701185788686026,0.010431239178607155,"[0.09857734458693686, 0.09715971980811242, 0.09044450660857145, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S2,0,validation,0.20494801216325242,0.9123963221458956,0.9767106376217328,1.0,3.8390329884748176,0.06736098656747008,0.7625240953851977,0.010262986549731594,0.012349091020882481,"[0.07946709577403867, 0.0767067578326241, 0.08369043994813499, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S2,0,test,0.22387133611421461,0.9338377947808584,0.9868597479194408,1.0,6.622995950775661,0.05184129436085825,0.753742091645885,0.005896302801942865,0.006981382138644706,"[0.11085308843559942, 0.09683841008065092, 0.09551827763133783, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S2,1,train,0.15121212187856048,0.927723232675122,0.9822353133840195,1.0,5.173487372757103,0.05273733506438836,0.7567313458920283,0.007829172204994307,0.010260425051113378,"[0.09691140814955859, 0.08459543586910613, 0.09857691273605794, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
