field,value
E0_STATUS,E0_COMPONENT_IDENTITY_PASS
E1_STATUS,E1_PROJECTION_FALLBACK_FAIL
E2_STATUS,NOT_YET_RUN
E3_STATUS,NOT_YET_RUN
E4_STATUS,NOT_YET_RUN
E5_STATUS,NOT_YET_RUN
E6_STATUS,NOT_YET_RUN
E7_STATUS,NOT_YET_RUN
E8_STATUS,NOT_YET_RUN
FULL_KERNEL_CAPACITY,NOT_YET_RUN
DOUBLE_RESIDUALIZATION_VALID,NOT_YET_RUN
SUPPORT_RECOVERY_VALID,NOT_YET_RUN
RANK_ADAPTATION_VALID,NOT_YET_RUN
ADAPTIVE_WEIGHTING_ADOPTED,NOT_YET_RUN
PREDICTION_RECOMBINATION_VALID,NOT_YET_RUN
RECURSIVE_DEPLOYMENT_VALID,NOT_YET_RUN
NEXT_ALLOWED_STAGE,STOP_E1_PROJECTION_CAPACITY
