scenario,seed,variable,lag_basis_type,lag_basis_count,amplitude_basis_count,projection_surface_nrmse,identity_reference_nrmse,reference_ratio,prediction_grade_pass,structural_grade_pass
AR-S1,0,0,cubic_bspline,24,16,0.0085200074471222,6.566275292561943e-05,129.75403965735916,True,False
AR-S1,0,0,cubic_bspline,28,16,0.006374783129429664,6.566275292561943e-05,97.0837018766302,True,False
AR-S1,0,0,cubic_bspline,32,16,0.003874260686182417,6.566275292561943e-05,59.00241024879127,True,False
AR-S1,0,0,cubic_bspline,40,16,0.0003161078064064138,6.566275292561943e-05,4.814111384645876,True,False
AR-S1,0,0,discrete_identity,64,16,6.566275292561943e-05,6.566275292561943e-05,1.0,True,True
AR-S1,0,1,cubic_bspline,24,16,0.01876606425447616,0.018086806777920822,1.0375554117924526,True,True
AR-S1,0,1,cubic_bspline,28,16,0.018153339207779555,0.018086806777920822,1.0036785061440447,True,True
AR-S1,0,1,cubic_bspline,32,16,0.018103274017708858,0.018086806777920822,1.0009104558914257,True,True
AR-S1,0,1,cubic_bspline,40,16,0.018093248975265357,0.018086806777920822,1.000356182128976,True,True
AR-S1,0,1,discrete_identity,64,16,0.018086806777920822,0.018086806777920822,1.0,True,True
AR-S1,0,2,cubic_bspline,24,16,0.0015642237041823452,8.078562316711426e-05,19.36264947720426,True,False
AR-S1,0,2,cubic_bspline,28,16,0.0006993114112361221,8.078562316711426e-05,8.656384438472633,True,False
AR-S1,0,2,cubic_bspline,32,16,0.00031360540995461046,8.078562316711426e-05,3.8819457925809644,True,False
AR-S1,0,2,cubic_bspline,40,16,9.459331699949654e-05,8.078562316711426e-05,1.170917711482147,True,True
AR-S1,0,2,discrete_identity,64,16,8.078562316711426e-05,8.078562316711426e-05,1.0,True,True
AR-S1,1,0,cubic_bspline,24,16,0.00851999737025522,6.43418588106882e-05,132.4176442481005,True,False
AR-S1,1,0,cubic_bspline,28,16,0.006374769661086754,6.43418588106882e-05,99.07655418913393,True,False
AR-S1,1,0,cubic_bspline,32,16,0.0038742385245037563,6.43418588106882e-05,60.213344720158815,True,False
AR-S1,1,0,cubic_bspline,40,16,0.0003158360697592176,6.43418588106882e-05,4.908718454785336,True,False
AR-S1,1,0,discrete_identity,64,16,6.43418588106882e-05,6.43418588106882e-05,1.0,True,True
AR-S1,1,1,cubic_bspline,24,16,0.019765572403793043,0.019121878272808635,1.0336627041444848,True,True
AR-S1,1,1,cubic_bspline,28,16,0.01918481901813502,0.019121878272808635,1.0032915566362477,True,True
AR-S1,1,1,cubic_bspline,32,16,0.019137454283649432,0.019121878272808635,1.0008145648988336,True,True
AR-S1,1,1,cubic_bspline,40,16,0.019127971632129395,0.019121878272808635,1.0003186590372466,True,True
AR-S1,1,1,discrete_identity,64,16,0.019121878272808635,0.019121878272808635,1.0,True,True
AR-S1,1,2,cubic_bspline,24,16,0.0016110845723498308,0.0003941121446435684,4.087883599240215,True,False
AR-S1,1,2,cubic_bspline,28,16,0.0007986453804621616,0.0003941121446435684,2.0264419437884857,True,False
AR-S1,1,2,cubic_bspline,32,16,0.0004971382153233762,0.0003941121446435684,1.2614130827482712,True,True
AR-S1,1,2,cubic_bspline,40,16,0.00039717245738559055,0.0003941121446435684,1.0077650810400423,True,True
AR-S1,1,2,discrete_identity,64,16,0.0003941121446435684,0.0003941121446435684,1.0,True,True
AR-S1,2,0,cubic_bspline,24,16,0.008520048114555593,7.074335835274435e-05,120.43601424846796,True,False
AR-S1,2,0,cubic_bspline,28,16,0.006374837483789696,7.074335835274435e-05,90.11216928666487,True,False
AR-S1,2,0,cubic_bspline,32,16,0.0038743501235340935,7.074335835274435e-05,54.76627366509234,True,False
AR-S1,2,0,cubic_bspline,40,16,0.0003172020977769136,7.074335835274435e-05,4.483842796878025,True,False
AR-S1,2,0,discrete_identity,64,16,7.074335835274435e-05,7.074335835274435e-05,1.0,True,True
AR-S1,2,1,cubic_bspline,24,16,0.016165898901163905,0.0153720989008794,1.0516390120440282,True,True
AR-S1,2,1,cubic_bspline,28,16,0.015450332963015108,0.0153720989008794,1.0050893545923798,True,True
AR-S1,2,1,cubic_bspline,32,16,0.015391472623028453,0.0153720989008794,1.001260317297851,True,True
AR-S1,2,1,cubic_bspline,40,16,0.015379678958134458,0.0153720989008794,1.0004931048976418,True,True
AR-S1,2,1,discrete_identity,64,16,0.0153720989008794,0.0153720989008794,1.0,True,True
