scenario,seed,variable,lag_basis_count,amplitude_basis_count,lag_smoothness,amplitude_smoothness,train_contribution_rmse,train_contribution_r2,validation_contribution_rmse,validation_contribution_r2,test_contribution_rmse,test_contribution_r2,surface_nrmse,e1r_projection_nrmse,excess_surface_error,relative_kkt_residual,condition_number,full_validation_mse,rank1_validation_mse,rank2_validation_mse,eta1,eta2,eta3,capacity_pass
AR-S1,0,0,32,16,0.0001,0.01,0.0004841390354571924,0.9999983254939253,0.0005298993261436601,0.999997583005847,0.0006066744518115943,0.9999974344142969,0.00474907175899455,0.003874260686182417,0.0008748110728121331,3.20900526279382e-16,6538780108.4520235,2.8079329584750507e-07,2.6300924751789716e-07,2.7432315849759724e-07,6.766237344756502e-07,2.4002715092963385e-07,1.5568006386364344e-07,True
AR-S1,1,0,32,16,0.0001,0.01,0.0005059985224419556,0.9999981716882863,0.0005234608968949228,0.9999982965557054,0.0005339442514426605,0.9999980961907611,0.0047865856237141605,0.0038742385245037563,0.0009123470992104042,3.4574092805656706e-16,6370588377.927403,2.7401131057803703e-07,2.494638530120799e-07,2.642850989306135e-07,6.773270168263052e-07,2.3790341920398294e-07,1.509649250901776e-07,True
AR-S1,2,0,32,16,0.0001,0.01,0.00047882592736469653,0.9999984116154162,0.0004847927551107904,0.9999984337527675,0.0005214210992738221,0.9999979194118059,0.00471090929048396,0.0038743501235340935,0.0008365591669498664,3.54955033778899e-16,6508389556.6964245,2.3502401540791082e-07,2.2486099598610538e-07,2.306598753838859e-07,7.285631277857814e-07,2.157186849070577e-07,1.5167381872544646e-07,True
AR-S1,3,0,32,16,0.0001,0.01,0.0004685165185648608,0.9999986115129604,0.0005380039408702834,0.999997995688148,0.0005144205320029994,0.9999983974793937,0.004558035856842247,0.0038742525642462143,0.0006837832925960323,3.6526895031079853e-16,7002332450.075046,2.8944824039195535e-07,2.7445283161826557e-07,2.820806292159481e-07,5.975929982187175e-07,1.981200703153109e-07,1.1553715907633855e-07,True
AR-S1,4,0,32,16,0.0001,0.01,0.0005034148805877778,0.9999982712030524,0.0005292728405742516,0.9999979880709956,0.0005184522574037371,0.9999981611424869,0.004614374028601432,0.0038741149010373933,0.0007402591275640388,3.5693165189179447e-16,7880444356.8820305,2.801297397695371e-07,2.6771357755256005e-07,2.756572218305211e-07,6.401137982655651e-07,1.9428974976251655e-07,1.3932360972996944e-07,True
AR-S1,0,1,32,16,0.1,0.1,0.0458255067400411,0.9801402286676517,0.05142476820114721,0.9677665925406633,0.03807262689481704,0.9872954731805841,0.19439291769587985,0.018103274017708858,0.176289643678171,6.417684007142874e-16,6749376132.980892,0.0026445067845417215,0.0024972724839780313,0.0025468563886472655,0.0026551593589876246,0.001337412419832629,0.0006062288700399116,False
AR-S1,1,1,32,16,0.1,0.1,0.03881363944357937,0.98370450153129,0.039739862339321495,0.9813966531793203,0.059659961020723774,0.9691959647592615,0.18252152641427327,0.019137454283649432,0.16338407213062384,5.413203969134384e-16,7581127946.033272,0.0015792566587482229,0.0015224990668866048,0.0015320352414768016,0.003037719902718024,0.0014124725147871828,0.0006501304044932985,False
AR-S1,2,1,32,16,0.1,0.1,0.03738879402944074,0.987106495452464,0.04837377979922912,0.973321391924741,0.03921727452157709,0.9870454287967582,0.1564336089227444,0.015391472623028453,0.14104213629971596,5.556955729925528e-16,7152587490.2502365,0.002340022572064307,0.0022917002073596484,0.0023300844821088802,0.0017254670442128108,0.0007226127637200737,0.0004601770352668261,False
AR-S1,3,1,32,16,0.1,0.1,0.03486458798418534,0.9825089940127272,0.07628730611961926,0.939465967758222,0.030395980144741524,0.9897611006836283,0.15482537937797455,0.0160357909372121,0.13878958844076245,6.646586986416644e-16,6489520444.165721,0.005819753074988498,0.0056155636427209984,0.005636690530894449,0.0019128992641846557,0.000641813866338003,0.0003584779990209353,False
AR-S1,4,1,32,16,0.1,0.1,0.04093149491237445,0.9790131511920348,0.06355669199956551,0.9714705034550715,0.06201545951565962,0.9592798808945542,0.1657155493780717,0.014587091568272178,0.15112845780979953,5.345462956371238e-16,7733721363.089397,0.004039453097927635,0.003921519939257382,0.003945927786987257,0.0033624517117659437,0.0015922475480576277,0.0009152440225738445,False
AR-S1,0,2,32,16,0.1,0.01,0.007581261271574732,0.9993545222518978,0.008133777297099805,0.9989557495778798,0.00991727431017095,0.998912482363228,0.07105135467093414,0.00031360540995461046,0.07073774926097953,3.0001814828968953e-16,7383188032.772184,6.615833311881621e-05,6.171324632486281e-05,6.360505768315743e-05,0.000137180236473171,9.018299042925776e-05,5.873787803045239e-05,False
AR-S1,1,2,32,16,0.1,0.01,0.007628048832443687,0.9993638869453619,0.008889659681966531,0.9990993685112681,0.009376167351663791,0.9989200754135774,0.08284178960490768,0.0004971382153233762,0.0823446513895843,3.5188977711597815e-16,8089209216.140317,7.902604926118129e-05,7.216186261824883e-05,7.317434156450085e-05,0.0001686827526881167,8.745468856908449e-05,4.7398076841569257e-05,False
AR-S1,2,2,32,16,0.1,0.01,0.007102824128580769,0.9994312601354938,0.006323646110775379,0.9995476064911873,0.0069001097498144455,0.9994254193380101,0.06593418449600363,0.00040751062829221907,0.06552667386771141,3.3792022648908213e-16,7223095793.059624,3.998850013432458e-05,3.674317285713006e-05,3.769253783448354e-05,0.00013700627507700684,7.388134401358324e-05,4.6905323958981215e-05,False
AR-S1,3,2,32,16,0.1,0.01,0.006904146997494089,0.9994862925465718,0.007484765800259663,0.9991510988914918,0.008834552277329513,0.9990734717983576,0.07105985464516053,0.001419816510979273,0.06964003813418125,3.002562933973646e-16,7943226976.69158,5.602171908473667e-05,5.454520629013607e-05,5.325412176381983e-05,0.00014307272075959868,8.608685624250652e-05,4.5678233010598974e-05,False
