scenario,seed,variable,lag_basis_type,lag_basis_count,amplitude_basis_count,surface_nrmse,domain_lower,domain_upper
AR-S1,0,0,cubic_bspline,32,16,0.0044200324029617915,-2.2392036121985504,2.3304662560063854
AR-S1,0,0,discrete_identity,64,16,0.0021286545290422694,-2.2392036121985504,2.3304662560063854
AR-S1,0,0,cubic_bspline,32,20,0.0038982693837037634,-2.2392036121985504,2.3304662560063854
AR-S1,0,0,discrete_identity,64,20,0.0004369470457094737,-2.2392036121985504,2.3304662560063854
AR-S1,0,0,cubic_bspline,32,24,0.0038759491340756803,-2.2392036121985504,2.3304662560063854
AR-S1,0,0,discrete_identity,64,24,0.0001319000338449797,-2.2392036121985504,2.3304662560063854
AR-S1,0,1,cubic_bspline,32,16,0.0007721047578592709,-2.278872923890555,2.4155175266174314
AR-S1,0,1,discrete_identity,64,16,2.3875047252150133e-15,-2.278872923890555,2.4155175266174314
AR-S1,0,1,cubic_bspline,32,20,0.0007721047578592309,-2.278872923890555,2.4155175266174314
AR-S1,0,1,discrete_identity,64,20,1.942877688387538e-15,-2.278872923890555,2.4155175266174314
AR-S1,0,1,cubic_bspline,32,24,0.0007721047578592682,-2.278872923890555,2.4155175266174314
AR-S1,0,1,discrete_identity,64,24,1.1604740588134011e-15,-2.278872923890555,2.4155175266174314
AR-S1,0,2,cubic_bspline,32,16,0.0015267842008657236,-2.2916930182100392,2.2940970227536126
AR-S1,0,2,discrete_identity,64,16,0.0014964117631133397,-2.2916930182100392,2.2940970227536126
AR-S1,0,2,cubic_bspline,32,20,0.000544546247158306,-2.2916930182100392,2.2940970227536126
AR-S1,0,2,discrete_identity,64,20,0.000452447341963009,-2.2916930182100392,2.2940970227536126
AR-S1,0,2,cubic_bspline,32,24,0.0003529988873417513,-2.2916930182100392,2.2940970227536126
AR-S1,0,2,discrete_identity,64,24,0.0001810695463998421,-2.2916930182100392,2.2940970227536126
AR-S1,1,0,cubic_bspline,32,16,0.004451932585220348,-2.303147638523005,2.2307844309591336
AR-S1,1,0,discrete_identity,64,16,0.002194126626024753,-2.303147638523005,2.2307844309591336
AR-S1,1,0,cubic_bspline,32,20,0.003917894912500125,-2.303147638523005,2.2307844309591336
AR-S1,1,0,discrete_identity,64,20,0.0005867890422146943,-2.303147638523005,2.2307844309591336
AR-S1,1,0,cubic_bspline,32,24,0.0038780247484488024,-2.303147638523005,2.2307844309591336
AR-S1,1,0,discrete_identity,64,24,0.00018300852459672657,-2.303147638523005,2.2307844309591336
AR-S1,1,1,cubic_bspline,32,16,0.0007721047578592343,-2.382253556697118,2.1976954931311274
