scenario,seed,variable,lag_basis_type,lag_basis_count,amplitude_basis_count,surface_nrmse,domain_lower,domain_upper
AR-S1,0,0,cubic_bspline,32,16,0.004108718627883698,-4.067165448049297,4.649118871680332
AR-S1,0,0,discrete_identity,64,16,0.001369676086419166,-4.067165448049297,4.649118871680332
AR-S1,0,0,cubic_bspline,32,20,0.0038833162852912203,-4.067165448049297,4.649118871680332
AR-S1,0,0,discrete_identity,64,20,0.00027306072288378163,-4.067165448049297,4.649118871680332
AR-S1,0,0,cubic_bspline,32,24,0.003874578612650029,-4.067165448049297,4.649118871680332
AR-S1,0,0,discrete_identity,64,24,8.231157388596759e-05,-4.067165448049297,4.649118871680332
AR-S1,0,1,cubic_bspline,32,16,0.0007721047578592523,-4.521443420064528,5.213319289809546
AR-S1,0,1,discrete_identity,64,16,1.5146060070821985e-15,-4.521443420064528,5.213319289809546
AR-S1,0,1,cubic_bspline,32,20,0.000772104757859234,-4.521443420064528,5.213319289809546
AR-S1,0,1,discrete_identity,64,20,9.253393091085271e-16,-4.521443420064528,5.213319289809546
AR-S1,0,1,cubic_bspline,32,24,0.0007721047578592331,-4.521443420064528,5.213319289809546
AR-S1,0,1,discrete_identity,64,24,1.1171583462468575e-15,-4.521443420064528,5.213319289809546
AR-S1,0,2,cubic_bspline,32,16,0.0015873989244967965,-4.415293150630278,4.565560524506193
AR-S1,0,2,discrete_identity,64,16,0.0015582084365055814,-4.415293150630278,4.565560524506193
AR-S1,0,2,cubic_bspline,32,20,0.0005499484558803363,-4.415293150630278,4.565560524506193
AR-S1,0,2,discrete_identity,64,20,0.00045893494813892136,-4.415293150630278,4.565560524506193
AR-S1,0,2,cubic_bspline,32,24,0.0003534812395183425,-4.415293150630278,4.565560524506193
AR-S1,0,2,discrete_identity,64,24,0.00018200811215889908,-4.415293150630278,4.565560524506193
AR-S1,1,0,cubic_bspline,32,16,0.004115199617195014,-4.467411914119744,4.780628086959977
AR-S1,1,0,discrete_identity,64,16,0.0013889969430306319,-4.467411914119744,4.780628086959977
AR-S1,1,0,cubic_bspline,32,20,0.0038895894375722885,-4.467411914119744,4.780628086959977
AR-S1,1,0,discrete_identity,64,20,0.00035117447421511026,-4.467411914119744,4.780628086959977
AR-S1,1,0,cubic_bspline,32,24,0.0038752368188347927,-4.467411914119744,4.780628086959977
AR-S1,1,0,discrete_identity,64,24,0.00010897820051662246,-4.467411914119744,4.780628086959977
AR-S1,1,1,cubic_bspline,32,16,0.0007721047578592443,-4.3347064790584895,4.843539839746676
AR-S1,1,1,discrete_identity,64,16,1.1253044877578125e-15,-4.3347064790584895,4.843539839746676
AR-S1,1,1,cubic_bspline,32,20,0.0007721047578592536,-4.3347064790584895,4.843539839746676
AR-S1,1,1,discrete_identity,64,20,1.0734060094277273e-15,-4.3347064790584895,4.843539839746676
AR-S1,1,1,cubic_bspline,32,24,0.000772104757859235,-4.3347064790584895,4.843539839746676
AR-S1,1,1,discrete_identity,64,24,1.6170322736351605e-15,-4.3347064790584895,4.843539839746676
AR-S1,1,2,cubic_bspline,32,16,0.000995757350407215,-4.039000552347212,4.053828964164553
AR-S1,1,2,discrete_identity,64,16,0.0009485308359045146,-4.039000552347212,4.053828964164553
AR-S1,1,2,cubic_bspline,32,20,0.0004177600273002996,-4.039000552347212,4.053828964164553
AR-S1,1,2,discrete_identity,64,20,0.00028757853042638714,-4.039000552347212,4.053828964164553
AR-S1,1,2,cubic_bspline,32,24,0.0003244207191941949,-4.039000552347212,4.053828964164553
AR-S1,1,2,discrete_identity,64,24,0.00011587392905132595,-4.039000552347212,4.053828964164553
AR-S1,2,0,cubic_bspline,32,16,0.003979001711279604,-4.407578855833937,4.529240028542886
AR-S1,2,0,discrete_identity,64,16,0.0009093309046486033,-4.407578855833937,4.529240028542886
AR-S1,2,0,cubic_bspline,32,20,0.003883186118570802,-4.407578855833937,4.529240028542886
AR-S1,2,0,discrete_identity,64,20,0.0002712032504683547,-4.407578855833937,4.529240028542886
AR-S1,2,0,cubic_bspline,32,24,0.0038747811576532233,-4.407578855833937,4.529240028542886
AR-S1,2,0,discrete_identity,64,24,9.134994717144612e-05,-4.407578855833937,4.529240028542886
AR-S1,2,1,cubic_bspline,32,16,0.000772104757859249,-4.381179318229322,4.1332490099661525
AR-S1,2,1,discrete_identity,64,16,9.423608606341249e-16,-4.381179318229322,4.1332490099661525
AR-S1,2,1,cubic_bspline,32,20,0.0007721047578592621,-4.381179318229322,4.1332490099661525
AR-S1,2,1,discrete_identity,64,20,7.669561976852933e-16,-4.381179318229322,4.1332490099661525
AR-S1,2,1,cubic_bspline,32,24,0.0007721047578592426,-4.381179318229322,4.1332490099661525
AR-S1,2,1,discrete_identity,64,24,8.529776295381706e-16,-4.381179318229322,4.1332490099661525
AR-S1,2,2,cubic_bspline,32,16,0.002405091056117057,-4.859696472143043,5.053447684452796
AR-S1,2,2,discrete_identity,64,16,0.002385925705901728,-4.859696472143043,5.053447684452796
AR-S1,2,2,cubic_bspline,32,20,0.0007558158066859815,-4.859696472143043,5.053447684452796
AR-S1,2,2,discrete_identity,64,20,0.0006924128398705196,-4.859696472143043,5.053447684452796
AR-S1,2,2,cubic_bspline,32,24,0.0004074014597521576,-4.859696472143043,5.053447684452796
AR-S1,2,2,discrete_identity,64,24,0.00027231217265409044,-4.859696472143043,5.053447684452796
AR-S1,3,0,cubic_bspline,32,16,0.003924785315304863,-4.088237378040108,4.096902322163306
AR-S1,3,0,discrete_identity,64,16,0.0006311587888982593,-4.088237378040108,4.096902322163306
AR-S1,3,0,cubic_bspline,32,20,0.0038779297845183054,-4.088237378040108,4.096902322163306
AR-S1,3,0,discrete_identity,64,20,0.00018098500793005325,-4.088237378040108,4.096902322163306
AR-S1,3,0,cubic_bspline,32,24,0.0038741942185796193,-4.088237378040108,4.096902322163306
AR-S1,3,0,discrete_identity,64,24,6.16162979285792e-05,-4.088237378040108,4.096902322163306
AR-S1,3,1,cubic_bspline,32,16,0.0007721047578592236,-4.047922229626901,4.281113142675546
AR-S1,3,1,discrete_identity,64,16,8.350610926677521e-16,-4.047922229626901,4.281113142675546
AR-S1,3,1,cubic_bspline,32,20,0.0007721047578592352,-4.047922229626901,4.281113142675546
AR-S1,3,1,discrete_identity,64,20,1.7716172055736647e-15,-4.047922229626901,4.281113142675546
AR-S1,3,1,cubic_bspline,32,24,0.0007721047578592284,-4.047922229626901,4.281113142675546
AR-S1,3,1,discrete_identity,64,24,1.1592200808900058e-15,-4.047922229626901,4.281113142675546
AR-S1,3,2,cubic_bspline,32,16,0.0010467752065019048,-4.258390977256904,3.9300586486037954
AR-S1,3,2,discrete_identity,64,16,0.001001956280626654,-4.258390977256904,3.9300586486037954
AR-S1,3,2,cubic_bspline,32,20,0.0004284416326829732,-4.258390977256904,3.9300586486037954
AR-S1,3,2,discrete_identity,64,20,0.0003028864542997312,-4.258390977256904,3.9300586486037954
