scenario,seed,variable,domain,lag_basis_type,lag_basis_count,amplitude_basis_count,epsilon_lag,epsilon_amplitude,epsilon_amplitude_given_lag,epsilon_lag_given_amplitude,epsilon_joint,operator_error,sigma1_truth,sigma2_truth,sigma3_truth,truth_tail_energy,truth_sigma2_sigma1,operator_error_over_sigma2,operator_error_over_gap,truth_rank_class
AR-S1,0,0,core,cubic_bspline,32,24,0.0038737042132918325,0.00013217382072801284,0.0001321728290515859,0.0038737041794551876,0.0038759584606668064,0.00010785236013045743,0.027842177458796427,8.807352432321154e-18,1.3765310817531583e-18,3.246514979868396e-16,3.1633130869003096e-16,485723848894.55664,485723848894.55664,rank1
AR-S1,0,0,core,cubic_bspline,40,24,0.00030921278848323097,0.00013217382072801284,0.00013217381440927748,0.0003092127857822701,0.0003362773643543034,8.609157346291734e-06,0.027842177458796427,8.807352432321154e-18,1.3765310817531583e-18,3.246514979868396e-16,3.1633130869003096e-16,38772197816.73342,38772197816.73342,rank1
AR-S1,0,0,core,cubic_bspline,48,24,1.0429914047176994e-05,0.00013217382072801284,0.00013217382072082778,1.0429913956072127e-05,0.00013258469742383544,3.6800069721175396e-06,0.027842177458796427,8.807352432321154e-18,1.3765310817531583e-18,3.246514979868396e-16,3.1633130869003096e-16,16573278028.349379,16573278028.349379,rank1
AR-S1,0,0,core,discrete_identity,64,24,0.0,0.00013217382072801284,0.00013217382072801284,0.0,0.00013217382072801663,3.6800069721165846e-06,0.027842177458796427,8.807352432321154e-18,1.3765310817531583e-18,3.246514979868396e-16,3.1633130869003096e-16,16573278028.345078,16573278028.345078,rank1
AR-S1,0,0,core,cubic_bspline,32,28,0.0038737042132918325,5.4613200915680937e-05,5.461279116264285e-05,0.003873704207514973,0.0038740891689574863,0.00010785236012939139,0.027842177458796427,8.807352432321154e-18,1.3765310817531583e-18,3.246514979868396e-16,3.1633130869003096e-16,485723848889.7556,485723848889.7556,rank1
AR-S1,0,0,core,cubic_bspline,40,28,0.00030921278848323097,5.4613200915680937e-05,5.461319830482298e-05,0.0003092127880221016,0.0003139986464790181,8.609157329892719e-06,0.027842177458796427,8.807352432321154e-18,1.3765310817531583e-18,3.246514979868396e-16,3.1633130869003096e-16,38772197742.87882,38772197742.87882,rank1
AR-S1,0,0,core,cubic_bspline,48,28,1.0429914047176994e-05,5.4613200915680937e-05,5.4613200912703745e-05,1.042991403162285e-05,5.560022320965591e-05,1.5205504314904594e-06,0.027842177458796427,8.807352432321154e-18,1.3765310817531583e-18,3.246514979868396e-16,3.1633130869003096e-16,6847950356.65848,6847950356.65848,rank1
AR-S1,0,0,core,discrete_identity,64,28,0.0,5.4613200915680937e-05,5.4613200915680937e-05,0.0,5.461320091568112e-05,1.5205504314872965e-06,0.027842177458796427,8.807352432321154e-18,1.3765310817531583e-18,3.246514979868396e-16,3.1633130869003096e-16,6847950356.644236,6847950356.644236,rank1
AR-S1,0,0,core,cubic_bspline,32,32,0.0038737042132918325,2.6885175914134517e-05,2.6884974199493223e-05,0.003873704211891847,0.003873797508119495,0.00010785236012936125,0.027842177458796427,8.807352432321154e-18,1.3765310817531583e-18,3.246514979868396e-16,3.1633130869003096e-16,485723848889.6199,485723848889.6199,rank1
AR-S1,0,0,core,cubic_bspline,40,32,0.00030921278848323097,2.6885175914134517e-05,2.688517462885703e-05,0.00030921278837147905,0.0003103793826535397,8.60915732950277e-06,0.027842177458796427,8.807352432321154e-18,1.3765310817531583e-18,3.246514979868396e-16,3.1633130869003096e-16,38772197741.12265,38772197741.12265,rank1
AR-S1,0,0,core,cubic_bspline,48,32,1.0429914047176994e-05,2.6885175914134517e-05,2.6885175912679298e-05,1.0429914043407545e-05,2.883740263765661e-05,7.485418388193898e-07,0.027842177458796427,8.807352432321154e-18,1.3765310817531583e-18,3.246514979868396e-16,3.1633130869003096e-16,3371132746.3782296,3371132746.3782296,rank1
AR-S1,0,0,core,discrete_identity,64,32,0.0,2.6885175914134517e-05,2.6885175914134517e-05,0.0,2.6885175914131505e-05,7.485418388122086e-07,0.027842177458796427,8.807352432321154e-18,1.3765310817531583e-18,3.246514979868396e-16,3.1633130869003096e-16,3371132746.3458886,3371132746.3458886,rank1
AR-S1,0,0,fit,cubic_bspline,32,24,0.003873704213291833,8.244470828997109e-05,8.244408972214574e-05,0.0038737042001268044,0.00387458144320198,0.00012530296879564385,0.03234706675989831,6.2779966356294234e-18,1.5999983271393738e-18,2.0640879153407382e-16,1.9408240883876542e-16,564314403576.4785,564314403576.4785,rank1
AR-S1,0,0,fit,cubic_bspline,40,24,0.00030921278848323097,8.244470828997109e-05,8.244470434858519e-05,0.0003092127874323519,0.00032001512126254654,1.0002126714681867e-05,0.03234706675989831,6.2779966356294234e-18,1.5999983271393738e-18,2.0640879153407382e-16,1.9408240883876542e-16,45045574145.15374,45045574145.15374,rank1
AR-S1,0,0,fit,cubic_bspline,48,24,1.0429914047178481e-05,8.244470828997109e-05,8.24447082854835e-05,1.0429914011731764e-05,8.310182327307892e-05,2.6668444830582713e-06,0.03234706675989831,6.2779966356294234e-18,1.5999983271393738e-18,2.0640879153407382e-16,1.9408240883876542e-16,12010399820.156294,12010399820.156294,rank1
