scenario,seed,variable,domain,sigma1_truth,sigma2_truth,sigma3_truth,truth_tail_energy,truth_sigma2_sigma1,truth_spectral_gap,truth_rank_class
AR-S1,0,0,core,0.027842177458796427,8.807352432321154e-18,1.3765310817531583e-18,3.246514979868396e-16,3.1633130869003096e-16,7.430821350567995e-18,rank1
AR-S1,0,0,fit,0.03234706675989831,6.2779966356294234e-18,1.5999983271393738e-18,2.0640879153407382e-16,1.9408240883876542e-16,4.677998308490049e-18,rank1
AR-S1,0,1,core,0.03017176174916618,7.204382183037885e-18,9.238274559978344e-19,2.481725345293555e-16,2.387789696515479e-16,6.280554727040051e-18,rank1
AR-S1,0,1,fit,0.1655627662359576,4.04010360864998e-17,6.731534085419997e-18,2.542578763020913e-16,2.440224756146007e-16,3.36695020010798e-17,rank1
AR-S1,0,2,core,0.018793035732651585,5.661151423526225e-18,8.267190581961922e-19,3.116704999276585e-16,3.0123666575540906e-16,4.8344323653300325e-18,rank1
AR-S1,0,2,fit,0.019044699241011563,4.829169172223866e-18,8.021226312399006e-19,2.654090491352771e-16,2.535702512867493e-16,4.027046540983965e-18,rank1
AR-S1,1,0,core,0.027767891438987898,7.875726268395257e-18,1.2815861509489882e-18,2.9322480878543487e-16,2.836270908686006e-16,6.594140117446269e-18,rank1
AR-S1,1,0,fit,0.03269007806537443,7.859908820838303e-18,1.373702084306753e-18,2.505896484107842e-16,2.404371382998799e-16,6.48620673653155e-18,rank1
AR-S1,1,1,core,0.02862607271869766,9.771145092069061e-18,1.0740098302292372e-18,3.4876183103640224e-16,3.41337255308754e-16,8.697135261839824e-18,rank1
AR-S1,1,1,fit,0.14451208980615313,3.1051524596237295e-17,5.468970351822495e-18,2.2655701846180823e-16,2.148714660336686e-16,2.55825542444148e-17,rank1
AR-S1,1,2,core,0.01870056189292414,6.220891945022339e-18,6.41342083598901e-19,3.4118082471726022e-16,3.3265802282530245e-16,5.579549861423438e-18,rank1
AR-S1,1,2,fit,0.01997046362008306,4.979324977911569e-18,6.5517275945215265e-19,2.6006797416869737e-16,2.493344707783434e-16,4.324152218459416e-18,rank1
AR-S1,2,0,core,0.028026735002327056,6.3219321282995534e-18,1.0988725726652412e-18,2.348667413637827e-16,2.2556791320054385e-16,5.223059555634312e-18,rank1
AR-S1,2,0,fit,0.03246181527999543,9.756415735846217e-18,1.0551758689349918e-18,3.0687746883980953e-16,3.0055052841911163e-16,8.701239866911226e-18,rank1
AR-S1,2,1,core,0.03131792077036519,8.594259670140518e-18,9.875407951323225e-19,2.8229661672740757e-16,2.7441986756262885e-16,7.606718875008196e-18,rank1
AR-S1,2,1,fit,0.12107109781474099,4.016124931040278e-17,4.354540701666124e-18,3.3902868276619894e-16,3.3171623975737136e-16,3.5806708608736654e-17,rank1
AR-S1,2,2,core,0.01865250939537929,6.014372322110542e-18,9.002972463594101e-19,3.323889625639493e-16,3.224430662182354e-16,5.114075075751132e-18,rank1
AR-S1,2,2,fit,0.019128708352674634,5.181465716207253e-18,8.452088742662033e-19,2.819936452437138e-16,2.708737893158774e-16,4.33625684194105e-18,rank1
AR-S1,3,0,core,0.02807965885047257,1.0824264517482415e-17,1.2365426230610688e-18,3.918848856668063e-16,3.8548418893273863e-16,9.587721894421347e-18,rank1
AR-S1,3,0,fit,0.032022320787154036,1.1028499029598496e-17,1.667704164014267e-18,3.524410992415123e-16,3.444003669472529e-16,9.360794865584229e-18,rank1
AR-S1,3,1,core,0.02885626789041805,7.675111083622063e-18,8.812114495185124e-19,2.740860605327433e-16,2.659772605649618e-16,6.79389963410355e-18,rank1
AR-S1,3,1,fit,0.11610554323303447,2.910285749465408e-17,4.253034923729891e-18,2.5983253422730444e-16,2.506586394091622e-16,2.4849822570924186e-17,rank1
AR-S1,3,2,core,0.01882328427548826,4.712390298091173e-18,8.018503014943004e-19,2.6259920370149724e-16,2.5034899484717777e-16,3.910539996596872e-18,rank1
AR-S1,3,2,fit,0.019832683059223404,5.850863426234744e-18,8.262779966127548e-19,3.050633517912927e-16,2.950111898003501e-16,5.02458542962199e-18,rank1
AR-S1,4,0,core,0.027791607105238644,5.440103370815455e-18,1.1720331301635875e-18,2.0766860034182148e-16,1.9574626793676892e-16,4.268070240651867e-18,rank1
AR-S1,4,0,fit,0.03213350881619517,1.2073006391123288e-17,1.12406695869074e-18,3.80747138597742e-16,3.757139147231421e-16,1.0948939432432548e-17,rank1
AR-S1,4,1,core,0.028257745093131136,4.8322343552670685e-18,1.1312932571438451e-18,1.8647556312193879e-16,1.710056601947932e-16,3.700941098123223e-18,rank1
AR-S1,4,1,fit,0.13636878286511583,2.5536647061265212e-17,4.217320872188238e-18,1.9945954633128832e-16,1.8726167767093623e-16,2.1319326189076973e-17,rank1
AR-S1,4,2,core,0.01870299916814265,4.149746785689427e-18,6.52146018941724e-19,2.3388414681488846e-16,2.218760076061923e-16,3.497600766747703e-18,rank1
AR-S1,4,2,fit,0.019368212129174712,5.7258840377957194e-18,6.952776573651011e-19,3.0529136016059165e-16,2.9563307132364117e-16,5.0306063804306184e-18,rank1
