scenario,seed,variable,resolution_role,truth_replay_max_abs_error,matrix_direct_max_abs_error
AR-S1,0,0,PREDICTIVE,2.220446049250313e-16,7.771561172376096e-16
AR-S1,0,0,STRUCTURAL,2.220446049250313e-16,9.992007221626409e-16
AR-S1,0,0,MOTHER,2.220446049250313e-16,1.1102230246251565e-15
AR-S1,0,1,PREDICTIVE,8.881784197001252e-16,2.4424906541753444e-15
AR-S1,0,1,STRUCTURAL,8.881784197001252e-16,2.886579864025407e-15
AR-S1,0,1,MOTHER,8.881784197001252e-16,2.4980018054066022e-15
AR-S1,0,2,PREDICTIVE,2.220446049250313e-16,9.992007221626409e-16
AR-S1,0,2,STRUCTURAL,2.220446049250313e-16,7.771561172376096e-16
AR-S1,0,2,MOTHER,2.220446049250313e-16,1.1102230246251565e-15
AR-S1,1,0,PREDICTIVE,2.220446049250313e-16,9.992007221626409e-16
AR-S1,1,0,STRUCTURAL,2.220446049250313e-16,9.992007221626409e-16
AR-S1,1,0,MOTHER,2.220446049250313e-16,1.4432899320127035e-15
AR-S1,1,1,PREDICTIVE,4.440892098500626e-16,1.8596235662471372e-15
AR-S1,1,1,STRUCTURAL,4.440892098500626e-16,1.6653345369377348e-15
AR-S1,1,1,MOTHER,4.440892098500626e-16,3.0531133177191805e-15
AR-S1,1,2,PREDICTIVE,2.220446049250313e-16,6.661338147750939e-16
AR-S1,1,2,STRUCTURAL,2.220446049250313e-16,7.771561172376096e-16
AR-S1,1,2,MOTHER,2.220446049250313e-16,7.771561172376096e-16
AR-S1,2,0,PREDICTIVE,2.220446049250313e-16,8.881784197001252e-16
AR-S1,2,0,STRUCTURAL,2.220446049250313e-16,1.6653345369377348e-15
AR-S1,2,0,MOTHER,2.220446049250313e-16,1.1102230246251565e-15
AR-S1,2,1,PREDICTIVE,4.440892098500626e-16,1.5543122344752192e-15
AR-S1,2,1,STRUCTURAL,4.440892098500626e-16,2.1371793224034263e-15
AR-S1,2,1,MOTHER,4.440892098500626e-16,1.915134717478395e-15
AR-S1,2,2,PREDICTIVE,2.220446049250313e-16,9.992007221626409e-16
AR-S1,2,2,STRUCTURAL,2.220446049250313e-16,9.992007221626409e-16
AR-S1,2,2,MOTHER,2.220446049250313e-16,8.881784197001252e-16
AR-S1,3,0,PREDICTIVE,2.220446049250313e-16,9.992007221626409e-16
AR-S1,3,0,STRUCTURAL,2.220446049250313e-16,1.1102230246251565e-15
AR-S1,3,0,MOTHER,2.220446049250313e-16,9.992007221626409e-16
AR-S1,3,1,PREDICTIVE,4.440892098500626e-16,1.3322676295501878e-15
AR-S1,3,1,STRUCTURAL,4.440892098500626e-16,1.7763568394002505e-15
AR-S1,3,1,MOTHER,4.440892098500626e-16,1.7208456881689926e-15
AR-S1,3,2,PREDICTIVE,2.220446049250313e-16,8.881784197001252e-16
AR-S1,3,2,STRUCTURAL,2.220446049250313e-16,8.881784197001252e-16
AR-S1,3,2,MOTHER,2.220446049250313e-16,7.771561172376096e-16
AR-S1,4,0,PREDICTIVE,2.220446049250313e-16,9.992007221626409e-16
AR-S1,4,0,STRUCTURAL,2.220446049250313e-16,1.1102230246251565e-15
AR-S1,4,0,MOTHER,2.220446049250313e-16,1.1102230246251565e-15
AR-S1,4,1,PREDICTIVE,4.440892098500626e-16,1.429412144204889e-15
AR-S1,4,1,STRUCTURAL,4.440892098500626e-16,1.8318679906315083e-15
AR-S1,4,1,MOTHER,4.440892098500626e-16,2.4702462297909733e-15
AR-S1,4,2,PREDICTIVE,2.220446049250313e-16,5.551115123125783e-16
AR-S1,4,2,STRUCTURAL,2.220446049250313e-16,1.5543122344752192e-15
AR-S1,4,2,MOTHER,2.220446049250313e-16,9.992007221626409e-16
AR-S2,0,0,PREDICTIVE,2.220446049250313e-16,9.992007221626409e-16
AR-S2,0,0,STRUCTURAL,2.220446049250313e-16,8.881784197001252e-16
AR-S2,0,0,MOTHER,2.220446049250313e-16,5.551115123125783e-16
AR-S2,0,1,PREDICTIVE,4.440892098500626e-16,1.8318679906315083e-15
AR-S2,0,1,STRUCTURAL,4.440892098500626e-16,1.942890293094024e-15
AR-S2,0,1,MOTHER,4.440892098500626e-16,2.525757381022231e-15
AR-S2,0,2,PREDICTIVE,2.220446049250313e-16,5.551115123125783e-16
AR-S2,0,2,STRUCTURAL,2.220446049250313e-16,7.771561172376096e-16
AR-S2,0,2,MOTHER,2.220446049250313e-16,6.661338147750939e-16
AR-S2,1,0,PREDICTIVE,2.220446049250313e-16,1.3322676295501878e-15
AR-S2,1,0,STRUCTURAL,2.220446049250313e-16,1.1102230246251565e-15
