scenario,seed,variable,distribution,resolution_role,lag_basis_type,lag_basis_count,amplitude_basis_count,selected_lag_smoothing,selected_amplitude_smoothing,validation_contribution_mse,validation_contribution_r2,test_contribution_mse,test_contribution_r2,empirical_operator_nrmse,core_surface_nrmse,fit_surface_nrmse,e1b_projection_core_nrmse,estimator_to_projection_core_nrmse,kkt_relative_residual,design_condition_number,effective_rank,truth_rank_class,estimated_sigma1,estimated_sigma2,rank1_validation_mse,rank2_validation_mse,rank2_reducible_gap_capture,candidate_count,seed_gate_pass
AR-S1,0,0,SPACE,MOTHER,discrete_identity,64,28,0.0,1e-05,1.5704740985975828e-10,0.9999999968309482,1.5050250173969317e-10,0.9999999969678811,5.6294331572777325e-05,5.654977838868416e-05,0.013141303502795517,5.461320091568112e-05,nan,3.8847198316514214e-16,1217.5806995822336,618.58231091958,rank1,0.0278248091802194,1.2402497881589737e-07,1.4772439605096204e-10,1.4845584006762227e-10,nan,25,True
AR-S1,0,1,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,1.0399890187685057e-12,0.9999999999778826,9.413969727553106e-13,0.999999999979816,4.70291251734865e-06,4.0644784773234264e-05,0.8802551842196081,1.527277938930946e-13,nan,5.664826550954332e-16,3801.528612434303,568.9524667562797,rank1,0.027011951850869832,1.1229549262989085e-08,9.726309223949033e-13,9.780479332621753e-13,nan,25,True
AR-S1,0,2,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,1.8454549320193588e-10,0.9999999918136294,1.7429832407732513e-10,0.999999992333365,9.04785644407046e-05,9.580547815758893e-05,0.5698329271031755,8.636764816562754e-05,nan,4.795598541120099e-16,97801.55607836359,602.9304176395706,rank1,0.018792812190369386,1.2269420321508437e-07,1.6895003159701409e-10,1.7027185006484346e-10,nan,25,True
AR-S1,1,0,SPACE,MOTHER,discrete_identity,64,28,0.0,1e-05,2.8448621100899356e-10,0.9999999942377626,2.849213875802997e-10,0.9999999942143354,7.590940195639583e-05,7.651030488229188e-05,0.016197344520883276,7.382851645049534e-05,nan,3.9407077446287863e-16,52100.97023128712,579.5546099592971,rank1,0.02775339275631152,8.917731140484262e-08,2.664263503088456e-10,2.689691200940373e-10,nan,25,True
AR-S1,1,1,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,1.7085326104517192e-15,0.9999999999999604,1.7599606674105225e-15,0.9999999999999588,1.9894611404097183e-07,4.1501183129237124e-05,0.8842587417566946,2.2625092730199423e-14,nan,4.913471393386204e-16,147.5580774614929,588.7632351606787,rank1,0.02585843041583731,4.87025849715279e-10,1.5932161806449709e-15,1.6030447786962354e-15,nan,25,True
AR-S1,1,2,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,7.452865063028518e-11,0.9999999966586578,6.823362172292706e-11,0.9999999969200539,5.780434432740725e-05,7.110104517210718e-05,0.5644294959741989,5.5536647809756065e-05,nan,4.601288608082303e-16,224.85510379297315,682.6760698075076,rank1,0.018660394939652776,6.053684268589988e-08,6.89762642851126e-11,6.956214987076159e-11,nan,25,True
AR-S1,2,0,SPACE,MOTHER,discrete_identity,64,28,0.0,1e-05,2.010103267069036e-10,0.9999999959856316,1.9078751483750142e-10,0.9999999961993961,6.335904365272202e-05,6.204935629861121e-05,0.011439091483171022,6.076079896537883e-05,nan,4.3406863507118974e-16,20871.9595735281,616.4576950385175,rank1,0.028011361352821475,1.1101497966493068e-07,1.8715986055233496e-10,1.8776095876916483e-10,nan,25,True
AR-S1,2,1,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,9.639393168486661e-14,0.9999999999980175,1.1347035438998279e-13,0.9999999999977776,1.408004343326663e-06,6.538009707750576e-05,0.8734068794193564,2.75133205298241e-12,nan,4.903313439924666e-16,43.69228517530769,664.5590379199322,rank1,0.027836399872422632,3.5745061588709813e-09,8.977593143535623e-14,9.044786261141568e-14,nan,25,True
AR-S1,2,2,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,4.3069812323932564e-10,0.9999999805046625,4.0969321775791964e-10,0.9999999816344923,0.00013962570490920316,0.00013575466163795704,0.5845039492002655,0.00013128053416396017,nan,4.881781693104669e-16,105085.01983506526,556.9758755946012,rank1,0.01865166351811646,1.457440314043508e-07,4.0175471515196264e-10,4.0728633512378397e-10,nan,25,True
AR-S1,3,0,SPACE,MOTHER,discrete_identity,64,28,0.0,0.0,8.67963623095143e-11,0.9999999982716994,8.013266820298123e-11,0.9999999984129261,4.157283479211524e-05,4.632802755994732e-05,0.5842080658081071,3.9437941124429434e-05,nan,4.587582435402003e-16,209.79428865624035,676.6817397018326,rank1,0.0280747841727881,7.691682571349877e-08,7.921710375594136e-11,8.047643633742569e-11,nan,25,True
