scenario,seed,variable,distribution,resolution_role,lag_basis_type,lag_basis_count,amplitude_basis_count,selected_lag_smoothing,selected_amplitude_smoothing,validation_contribution_mse,validation_contribution_r2,test_contribution_mse,test_contribution_r2,empirical_operator_nrmse,core_surface_nrmse,fit_surface_nrmse,e1b_projection_core_nrmse,estimator_to_projection_core_nrmse,kkt_relative_residual,design_condition_number,effective_rank,truth_rank_class,estimated_sigma1,estimated_sigma2,rank1_validation_mse,rank2_validation_mse,rank2_reducible_gap_capture,candidate_count,seed_gate_pass
AR-S1,0,0,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,1e-05,1.5910561425734659e-10,0.9999999967894159,1.5474124847921044e-10,0.9999999968824846,5.666201699565788e-05,5.725930065340882e-05,0.012705006316960539,5.560022320965591e-05,nan,4.2274091577993033e-16,6759.3935689298005,351.11190719391413,rank1,0.02782481022939561,1.1236134350778227e-07,1.518223339306641e-10,1.5239607555720993e-10,nan,25,True
AR-S1,0,1,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0,2.4481166419015955e-10,0.9999999947936046,2.4203998750728696e-10,0.9999999948105479,7.215535644685756e-05,8.255406436755523e-05,0.8801411806401019,7.165228360643497e-05,nan,4.4152069245056933e-16,21259.29805704825,322.88212698703296,rank1,0.027011951790812196,6.662200403073601e-08,2.387264928526143e-10,2.399790779154453e-10,nan,25,True
AR-S1,0,2,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0,1.871877384574284e-10,0.9999999916964204,1.7932263643440905e-10,0.999999992112367,9.112397959367884e-05,9.715595064469244e-05,0.5639316804215949,8.818153647516407e-05,nan,4.1788461132186075e-16,311414.7913022924,342.20914342790553,rank1,0.018792811855404865,1.0510517934688285e-07,1.7592790885239343e-10,1.770341383254611e-10,nan,25,True
AR-S1,1,0,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,1e-05,2.8423202828981195e-10,0.9999999942429111,2.885636752761171e-10,0.9999999941403744,7.58754826146624e-05,7.705366519698389e-05,0.01607636216044805,7.456160505059327e-05,nan,4.427081790139503e-16,290550.1526057435,328.83450928591526,rank1,0.027753393929429652,8.322449728103606e-08,2.713362135981059e-10,2.738383105602534e-10,nan,25,True
AR-S1,1,1,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0,2.2610148446298961e-10,0.999999994762174,2.2463928920105864e-10,0.9999999947443593,7.237282600055112e-05,8.290038665810581e-05,0.8842605591932403,7.16522836064253e-05,nan,5.054251365686822e-16,832.5579970041651,334.0799404736974,rank1,0.02585842914393022,7.0657599187202e-08,2.1996727152968508e-10,2.236147973646039e-10,nan,25,True
AR-S1,1,2,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0,8.062171535955806e-11,0.9999999963854874,7.494912787841697e-11,0.9999999966169277,6.012081612162247e-05,7.317453857751005e-05,0.5644296481641613,5.831751003591398e-05,nan,4.660179371424823e-16,1264.9848933176959,387.51742405460504,rank1,0.018660395350619148,5.78123783865286e-08,7.618491005160178e-11,7.680102261661803e-11,nan,25,True
AR-S1,2,0,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,1e-05,2.0152172868641278e-10,0.9999999959754184,1.9468764108612196e-10,0.9999999961217032,6.34395901553246e-05,6.26474206794339e-05,0.011222411472336522,6.164947524140586e-05,nan,5.063832027624331e-16,115075.42949605198,349.81958707554804,rank1,0.028011362328454064,9.993641794618596e-08,1.9220455208470925e-10,1.930761288924425e-10,nan,25,True
AR-S1,2,1,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0,2.626525323810496e-10,0.9999999945981828,2.6069256260165403e-10,0.9999999948941399,7.349705602405763e-05,9.725503887262811e-05,0.8733983938779836,7.165228360643246e-05,nan,4.169323083698848e-16,238.83816131096003,377.18566719619196,rank1,0.02783639663559145,6.804824398004093e-08,2.5343135340642446e-10,2.5680298811450255e-10,nan,25,True
AR-S1,2,2,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0,4.284652663244753e-10,0.9999999806057317,4.147064933269069e-10,0.9999999814097599,0.00013926330567594193,0.0001364838653371701,0.5773360387610476,0.00013248090946525528,nan,3.816544349273356e-16,314565.15283046523,316.00349954291164,rank1,0.018651662193807317,1.2718254983641466e-07,4.072668907751995e-10,4.1168895308831343e-10,nan,25,True
AR-S1,3,0,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0,9.043321632702878e-11,0.9999999981992819,8.489315079988973e-11,0.999999998318642,4.2434869018585534e-05,4.7373822954837857e-05,0.5842077518910969,4.079380231108217e-05,nan,4.3662706583706853e-16,1147.6880581729577,384.15001590180833,rank1,0.028074784034224688,6.625526415051103e-08,8.487469503699564e-11,8.597444490941902e-11,nan,25,True
AR-S1,3,1,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0,2.2994307080801979e-10,0.9999999945691369,2.2170645591331256e-10,0.9999999947255092,7.369438963929949e-05,9.570116082956616e-05,0.8681684278120801,7.165228360643716e-05,nan,4.3241883299659735e-16,417.5743719454327,370.2263828440306,rank1,0.025702712304171413,8.943541744674397e-08,2.1779084223918836e-10,2.2385247883955066e-10,nan,25,True
AR-S1,3,2,SPACE,STRUCTURAL,cubic_bspline,48,28,0.0,0.0,9.110505767166443e-11,0.999999995955481,8.690944132242437e-11,0.999999996137551,6.359653369951181e-05,7.371550858919506e-05,0.5535011201328192,6.1017898904723235e-05,nan,3.707863649125221e-16,2949.8165737910076,379.36324354147894,rank1,0.018771595454399666,6.867374147634339e-08,8.544095168263762e-11,8.577092538037346e-11,nan,25,True
