scenario,seed,variable,distribution,rank,normalized_excess_rmse,validation_contribution_r2,empirical_operator_nrmse,modal_gains,refit_intercept
AR-S1,0,0,NAT,1,0.0,0.9999987338496948,0.0011252334447465378,[1.0000054457398126],-0.007137196642217874
AR-S1,0,0,NAT,2,0.0,0.9999987332504447,0.0011254996913403665,"[1.0000050541352197, 0.9207092093247504]",-0.007137212649513694
AR-S1,0,0,NAT,3,0.0,0.9999987293236935,0.0011272427894889268,"[1.0000056695015291, 0.9105022541839765, 1.0025877278637412]",-0.0071372499128971026
AR-S1,0,0,NAT,4,0.0,0.999998724813035,0.0011292417655129222,"[1.0000052507130759, 0.9350237301277838, 0.9957429276560315, 1.1342482884915464]",-0.007137242602101641
AR-S1,0,0,NAT,5,1.549864249398741e-05,0.9999987168592273,0.0011327580380493443,"[1.000005182109168, 0.9891868182898993, 1.0230346253133171, 1.1854602709582363, 1.1153276666963816]",-0.007137232627386262
AR-S1,0,0,NAT,6,0.0,0.9999987174436071,0.001132500063058033,"[1.0000040853943182, 1.001765664814573, 1.0502001997280355, 1.1981089278805244, 1.1309824904304586, 1.1774892135137534]",-0.007137218216789455
AR-S1,0,0,NAT,7,2.3560507828655553e-05,0.9999987165443376,0.001132897021964215,"[1.0000046890885002, 1.0124764960633001, 1.053180515089883, 1.2012598947446689, 1.1427398987406825, 1.1812794441791552, 1.1958037853254067]",-0.007137204673891582
AR-S1,0,0,NAT,8,2.3832288163197393e-05,0.9999987165314572,0.0011329027066810887,"[1.0000037898024057, 1.0206334441573066, 1.0646204857997499, 1.1688755651863512, 1.1351923537412003, 1.1914181745747876, 1.199207467669941, 1.072970963455883]",-0.007137192150949725
AR-S1,0,0,NAT,9,3.8900390998069246e-05,0.9999987155861947,0.0011333198159681345,"[1.0000040462520825, 1.0260076544935417, 1.063291074200668, 1.176440709914501, 1.1482335383633528, 1.1957200970171669, 1.2490988840837074, 1.063938523202342, 1.511744461010413]",-0.007137197747015241
AR-S1,0,0,NAT,10,4.89014120452817e-05,0.9999987147080871,0.0011337071548447885,"[1.0000037774407642, 1.0396163911100864, 1.0667185759582987, 1.177817348963922, 1.143747582402594, 1.207111480501063, 1.2621218583259333, 1.0542023384568202, 1.5188995818714799, 1.4839306112689479]",-0.007137201087814198
AR-S1,0,0,NAT,11,5.5885738893023275e-05,0.9999987139762193,0.0011340298852578188,"[1.0000026642359505, 1.043814727016351, 1.0699434360159081, 1.1817395730460636, 1.146842680809133, 1.2104366556303392, 1.2562456404097437, 1.0810098089808349, 1.5165230598188408, 1.5086572862887049, 1.1230085094743314]",-0.007137184979770298
AR-S1,0,0,NAT,12,5.795498896962407e-05,0.9999987137406544,0.0011341337423746427,"[1.0000025825896914, 1.0459687519632133, 1.0680572387688496, 1.1835448865893006, 1.1458608154789038, 1.2260124879593928, 1.2665004660284913, 1.0846394648154492, 1.5516066028877629, 1.5364663426627527, 1.1212414422807, 1.8186756053932245]",-0.0071371809269281895
AR-S1,0,1,NAT,1,0.0,0.999999645054757,0.000595772811502546,[1.0000028864798975],0.009266380814099416
AR-S1,0,1,NAT,2,0.0,0.9999996438575091,0.0005967767513178387,"[1.000002988252802, 0.877091073488107]",0.009266389282454388
AR-S1,0,1,NAT,3,0.0,0.9999996427672986,0.0005976894690104749,"[1.000002343998834, 0.8901360054617972, 0.9126045905532001]",0.009266396112782965
AR-S1,0,1,NAT,4,0.0,0.9999996420027591,0.0005983287063970284,"[1.000002235132364, 0.891182158798006, 0.9250840883940619, 0.9754304989191466]",0.009266385792684548
AR-S1,0,1,NAT,5,0.0,0.9999996394707408,0.0006004408873545056,"[1.0000023386911292, 0.893138991524824, 0.9620254671490154, 0.9714483791788057, 1.0487456843457263]",0.009266382501003619
AR-S1,0,1,NAT,6,0.0,0.9999996376517659,0.0006019536809764517,"[1.000002858886496, 0.895123453429944, 0.9764653057371175, 0.9899450474593247, 1.0965183806868883, 1.0111232410934239]",0.009266386352968998
AR-S1,0,1,NAT,7,0.0,0.9999996381191111,0.00060156536543913,"[1.0000029698147455, 0.9187094374756737, 0.9819589412519878, 0.9837852320945273, 1.1451830923574844, 1.0118633131526789, 1.0796750041174041]",0.009266387983200971
AR-S1,0,1,NAT,8,0.0,0.9999996369531232,0.0006025337142504108,"[1.0000025156471208, 0.9383297444306636, 0.9865448524575723, 0.9835548637438186, 1.1480960866963055, 1.0078350083322505, 1.0719851799107576, 0.934662968606611]",0.009266391148030266
AR-S1,0,1,NAT,9,0.0,0.99999963721066,0.0006023199648392101,"[1.0000019075152728, 0.9651065219555282, 0.9758052945432777, 0.9984581691641649, 1.1437001429616294, 1.0115067773345243, 1.0619256562313688, 0.9517588006883058, 0.8398414978526956]",0.009266387738613347
AR-S1,0,1,NAT,10,0.0,0.9999996369129183,0.0006025670765089893,"[1.0000016448491411, 0.9697563684307016, 0.9772043760417416, 1.0070392850965029, 1.1506303356260443, 1.0329000634052021, 1.0661229804761636, 0.9782357953881676, 0.8344507901278788, 0.9990504819391461]",0.00926638860690488
AR-S1,0,1,NAT,11,0.0,0.99999963588981,0.0006034154373539459,"[1.0000008058350893, 0.9786090481271777, 1.00504013289387, 1.0101716965947494, 1.1596677098615926, 1.012420689292591, 1.0508154876110007, 0.9956622055142764, 0.8254850746015581, 0.9631352883571326, 0.9111616940804261]",0.009266404831598145
AR-S1,0,1,NAT,12,0.0,0.999999635502679,0.0006037361352016738,"[1.0000006744368457, 0.9848295241949843, 1.0072125100599774, 1.011836481686643, 1.1693679784985174, 0.9932638036833183, 1.0345921894904988, 1.0183515332829354, 0.8469673715131554, 0.975510709036739, 0.9486214816571548, 0.9738061685508618]",0.009266405710980573
AR-S1,0,2,NAT,1,0.0,0.9999999823081654,0.0001330106558978334,[1.0000007082236708],-0.003468222710307551
AR-S1,0,2,NAT,2,0.0,0.9999999822276859,0.00013331284290986898,"[1.0000004581501543, 0.779450940640209]",-0.0034682153868388047
AR-S1,0,2,NAT,3,0.0,0.999999982153191,0.00013359194958507901,"[1.0000005090479178, 0.801391727556806, 0.8402487568731711]",-0.00346821117557701
AR-S1,0,2,NAT,4,0.0,0.9999999820912674,0.0001338235127323712,"[0.9999999704031719, 0.8326828608601994, 0.9063047485472078, 0.8753117957553879]",-0.0034682198696467997
AR-S1,0,2,NAT,5,0.0,0.9999999818692806,0.00013465035973917347,"[0.9999999260685828, 0.8667624104236196, 0.914636858776082, 0.9252156876948905, 0.9064077369969553]",-0.003468201085199101
AR-S1,0,2,NAT,6,0.0,0.9999999816854231,0.00013533135942942292,"[0.9999997740858482, 0.9273982108206467, 0.9579390608367291, 0.9268530558835062, 0.9675994612114776, 0.933009666781184]",-0.0034682031419938563
AR-S1,0,2,NAT,7,0.0,0.9999999816486189,0.00013546726942103763,"[0.99999990906001, 0.9395605900520159, 0.9764367694053188, 0.9236693579262619, 0.9711536340760647, 0.937608190827026, 0.8890862970193979]",-0.0034681938112416317
AR-S1,0,2,NAT,8,0.0,0.9999999815791389,0.0001357234726447283,"[0.9999998706849014, 0.9514643764567776, 0.9908244819426135, 0.9473312309188715, 0.9768206114018524, 0.9555583029532108, 0.9265463434357604, 0.910336642249697]",-0.003468195304842439
AR-S1,0,2,NAT,9,0.0,0.9999999815449587,0.00013584933318061733,"[0.9999998581144844, 0.9645246646659208, 0.9940201529968371, 0.9537134200861985, 0.9691125546945248, 0.9598986855483781, 0.932254996422563, 0.9186564811065506, 0.9435968624486379]",-0.0034681964673169284
AR-S1,0,2,NAT,10,0.0,0.9999999815265413,0.00013591710227768358,"[0.9999999105183199, 0.9728287918897104, 0.9916071455240496, 0.9469239129806275, 0.9853164006872216, 0.963158777657516, 0.946796944924402, 0.9391478753473594, 0.9322610838542614, 1.0120070659305211]",-0.003468193784250395
AR-S1,0,2,NAT,11,0.0,0.9999999815198298,0.00013594178945779305,"[0.9999999682423293, 0.9770019282054588, 0.9932507658116949, 0.9484914356414099, 0.987513675004649, 0.9681292506742497, 0.9607272992859139, 0.9404219493909752, 0.9448983245412096, 1.02552209644326, 0.9637042166209394]",-0.0034681931488181037
AR-S1,0,2,NAT,12,0.0,0.9999999814999546,0.0001360148721061349,"[0.9999999559582029, 0.9809897449216882, 0.9988065051618179, 0.9552045477050736, 0.9880681652734489, 0.9760537717186996, 0.9687726207340346, 0.9365376312781168, 0.9128019585552717, 1.0211441441319689, 0.930444155025132, 0.9405550630341237]",-0.0034681932268288123
AR-S1,1,0,NAT,1,0.0,0.9999991205672903,0.0009377807364392144,[1.0000047185434402],-0.03998357994449976
AR-S1,1,0,NAT,2,0.0,0.9999991160386597,0.0009401921826665231,"[1.0000030054577076, 0.9112262630073636]",-0.03998353657676929
AR-S1,1,0,NAT,3,0.0,0.999999116828399,0.0009397721005287513,"[1.0000037113064557, 0.917209506940932, 1.239764137835024]",-0.039983497955390516
AR-S1,1,0,NAT,4,0.0,0.9999991144337197,0.0009410453125794524,"[1.000003595923043, 0.920981441151971, 1.2514178281243724, 1.1163173781708866]",-0.039983537534810425
AR-S1,1,0,NAT,5,0.0,0.9999991138664849,0.0009413466498108933,"[1.0000039510705467, 0.9580516966557217, 1.2472105824295983, 1.1415809471319815, 1.0570624925958845]",-0.0399834244531856
