scenario,seed,variable,distribution,selected_lag_smoothing,selected_amplitude_smoothing,smoothing_reselected_from_rank,full_validation_contribution_r2,full_empirical_operator_nrmse,full_kkt_relative_residual,predictive_rank_010,predictive_rank_005,predictive_rank_002,normalized_excess_curve,structural_rank_005,predictive_minus_structural_rank_005,seed_full_capacity_pass
AR-S1,0,0,NAT,0.0,0.001,False,0.9999987170994351,0.0011326520051835175,3.8978678592750336e-16,1,1,1,"[0.0, 0.0, 0.0, 0.0, 1.549864249398741e-05, 0.0, 2.3560507828655553e-05, 2.3832288163197393e-05, 3.8900390998069246e-05, 4.89014120452817e-05, 5.5885738893023275e-05, 5.795498896962407e-05]",1,0,True
AR-S1,0,1,NAT,0.0,1e-05,False,0.9999996308953144,0.0006075398633875624,1.2000641208613687e-15,1,1,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,0,True
AR-S1,0,2,NAT,0.0,0.0,False,0.9999999813715446,0.00013648609997828496,3.7725657740591095e-16,1,1,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,0,True
AR-S1,1,0,NAT,0.0,0.001,False,0.999999113741099,0.0009414132466901618,3.367673432451333e-16,1,1,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.5387186099526184e-05, 4.5419530077169e-05, 5.335428505625862e-05, 5.121052113120553e-05, 5.353650983903386e-05, 4.823195462062346e-05, 4.624760492884899e-05]",1,0,True
AR-S1,1,1,NAT,0.0,1e-05,False,0.9999998814432941,0.0003443206440959825,8.676306985984489e-16,1,1,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,0,True
AR-S1,1,2,NAT,0.0,0.0,False,0.999997949649334,0.0014319045589827836,4.486417253571671e-16,1,1,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,0,True
AR-S1,2,0,NAT,0.0,0.001,False,0.9999990623970171,0.0009682990152151945,4.0591312226175247e-16,1,1,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 5.016436891951263e-06, 2.941946637655722e-05, 4.7723014760529194e-05, 5.120493513006735e-05, 5.4204545270996105e-05, 5.48244763867128e-05, 5.539157802740295e-05]",1,0,True
AR-S1,2,1,NAT,0.0,1e-05,False,0.9999997463127974,0.0005036737064069794,7.340240852469682e-16,1,1,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,0,True
AR-S1,2,2,NAT,0.0,0.0,False,0.9999999843102559,0.00012525870872902932,3.7788250240844464e-16,1,1,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,0,True
AR-S1,3,0,NAT,0.0,0.001,False,0.9999990318495138,0.000983946383842867,3.9005815257360966e-16,1,1,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8326393020855102e-05, 3.806627650863111e-05, 4.686142122696754e-05, 5.111874066120184e-05, 5.0496830806520835e-05, 5.306335391983234e-05]",1,0,True
AR-S1,3,1,NAT,0.0,0.0001,False,0.9999958673044568,0.0020329032301627564,7.789097932238927e-16,1,1,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,0,True
