scenario,seed,variable,distribution,rank,normalized_excess_rmse,validation_contribution_r2,empirical_operator_nrmse,modal_gains,refit_intercept
AR-S1,0,0,PERM,1,0.0006704214367475961,0.9999846906079743,0.003912721818072017,[1.000003858321962],-0.003125215854250653
AR-S1,0,0,PERM,2,0.0005993906181449526,0.9999847808037641,0.0039011788264428832,"[1.0000029918681164, 0.8829022158734585]",-0.0031252111228802794
AR-S1,0,0,PERM,3,0.0005125934318677732,0.9999848773208508,0.0038887889051940133,"[1.000002527860083, 0.8869588255567825, 0.9562474095482048]",-0.0031252120949298396
AR-S1,0,0,PERM,4,0.0004131931557890517,0.9999849693442933,0.003876938960927422,"[1.0000012069756012, 0.9257182488070121, 0.9500716606223419, 0.9869483552559368]",-0.00312521113550749
AR-S1,0,0,PERM,5,0.00041775267487248474,0.9999849655555799,0.003877427551886586,"[1.000000468576266, 0.9507236157449456, 0.9624157283479899, 0.9785175377350425, 0.9234023185065714]",-0.0031252180848669944
AR-S1,0,0,PERM,6,0.00033055899766694965,0.9999850308036263,0.0038690045714246273,"[1.0000011880233113, 0.9567835846366207, 0.9747776597156419, 0.9885556994215535, 0.9429666666671446, 0.960456934217523]",-0.0031252152208854317
AR-S1,0,0,PERM,7,0.0003176802723160642,0.9999850391521218,0.003867925526452765,"[1.0000023490777166, 0.9594532722986382, 0.9806087094943832, 0.9815931063705365, 0.9658162226837463, 0.9845454063465833, 0.9629056489771318]",-0.003125219396091848
AR-S1,0,0,PERM,8,0.00026119296899272193,0.9999850718511102,0.0038636962729771233,"[1.0000031298795242, 0.9733861247984414, 0.9670317238475538, 0.9760566725572845, 0.9807419556065834, 0.9672386092184395, 0.9961248478978074, 0.9421342602982716]",-0.003125200126343059
AR-S1,0,0,PERM,9,0.00022597561607446404,0.9999850890078982,0.0038614753788968168,"[1.000001100051199, 0.9810666803204834, 0.9691221376636636, 0.9934518139790436, 0.9785092621635313, 0.981308618144544, 0.9890944709001999, 0.9719409807811071, 0.9348481951007231]",-0.003125202234549584
AR-S1,0,0,PERM,10,0.0001904424269815845,0.9999851038045593,0.003859558969721893,"[0.999999203638657, 0.9757630285791061, 0.9730065275193467, 0.9883458961723581, 0.9809866293908536, 0.9806716108274219, 0.9903274515430425, 0.9847822821239687, 0.9353338995000342, 1.0237667256648135]",-0.0031252064589237355
AR-S1,0,0,PERM,11,0.00019226588139643024,0.9999851031067081,0.003859649374219792,"[0.999999813035522, 0.9787180415929613, 0.9754029332390175, 0.9926638649425468, 0.9830163890137079, 0.9839715978527352, 0.9891048378173409, 0.9980869520235283, 0.9317274206668578, 1.0266458695470377, 1.024874580546589]",-0.003125205475766669
AR-S1,0,0,PERM,12,0.00018502116408034358,0.9999851058400461,0.0038592952664863213,"[1.0000008790993054, 0.9806910227099906, 0.9772021509948342, 0.9931824665659957, 0.9883737283570094, 0.9887656283686542, 0.9905135222455248, 1.0037744867158622, 0.9546506839373717, 1.038782031367669, 1.0563582141694714, 0.9506435054580734]",-0.0031252284925903113
AR-S1,0,1,PERM,1,0.0001380703191178634,0.9999994488977633,0.0007423626046039642,[1.0000008544195265],0.009880399075547816
AR-S1,0,1,PERM,2,0.0001135127512112997,0.9999994550760316,0.0007381896561051444,"[1.0000006347834791, 0.989478415296809]",0.009880399681146458
AR-S1,0,1,PERM,3,9.908535318779697e-05,0.9999994581432691,0.0007361091840952832,"[1.0000005782368606, 0.9957944060085663, 0.9122258797219458]",0.009880400058726074
AR-S1,0,1,PERM,4,8.867039373662004e-05,0.9999994600987376,0.000734779737348874,"[1.0000002291176748, 1.0010846074629485, 0.9472375379281737, 0.9677043177035116]",0.009880401577854386
AR-S1,0,1,PERM,5,8.635798906627231e-05,0.999999460503474,0.0007345042722603073,"[1.0000001517046644, 0.9958570140416393, 0.946279192522193, 0.9588634579980361, 0.9512024499811809]",0.009880400267033641
AR-S1,0,1,PERM,6,7.353165014526728e-05,0.9999994625542727,0.000733106900299103,"[1.0000003744178791, 1.0011575219045445, 0.9590877900576882, 0.9273007187047798, 0.9681628845067578, 0.9769398496747644]",0.0098804004471775
AR-S1,0,1,PERM,7,6.548145534691843e-05,0.9999994636733553,0.0007323432560537602,"[1.0000006558979289, 1.005488563052524, 0.9601032206111975, 0.9315001226028333, 0.9578449224986387, 0.9707107983820853, 1.0493407323318271]",0.009880401035287964
AR-S1,0,1,PERM,8,5.715827768510484e-05,0.9999994646941076,0.0007316460157760723,"[1.0000009734184128, 0.9880918764772145, 0.9800631251139926, 0.9240240449782142, 0.9170657404477026, 0.9346224112396283, 1.0155525661462363, 0.9845690259805396]",0.009880404391444964
AR-S1,0,1,PERM,9,5.6152442685550184e-05,0.9999994648080794,0.0007315681243142206,"[1.0000009773131624, 0.9892877691319374, 0.9801029018835147, 0.9251357068250773, 0.9270106688327187, 0.9321258258188991, 1.0250178965644874, 1.0001391907076909, 0.9874219260361765]",0.009880403233309049
AR-S1,0,1,PERM,10,5.198731913761502e-05,0.9999994652584949,0.0007312602170528555,"[1.0000006832423276, 0.9889417192719998, 0.9863830585687915, 0.9541317719108818, 0.9292044756643741, 0.9490376203291473, 1.0157009013167377, 0.9857565832180314, 0.9926879900293288, 0.8184734069696369]",0.009880403946955009
AR-S1,0,1,PERM,11,3.9160458597729776e-05,0.9999994664276348,0.0007304603789464954,"[1.0000004816195225, 0.9961506353678905, 0.9927375350621701, 0.9540177844125454, 0.9441577270887357, 0.9645327241797148, 1.0277513978642239, 0.9916475025330475, 1.0312807618490891, 0.8218372964420882, 0.9710407518418113]",0.009880404930063312
