scenario,seed,variable,distribution,selected_lag_smoothing,selected_amplitude_smoothing,smoothing_reselected_from_rank,full_validation_contribution_r2,full_empirical_operator_nrmse,full_kkt_relative_residual,predictive_rank_010,predictive_rank_005,predictive_rank_002,normalized_excess_curve,structural_rank_005,predictive_minus_structural_rank_005,seed_full_capacity_pass
AR-S1,0,0,PERM,0.0,0.0,False,0.9999851400728772,0.003854857600841578,5.40586787402333e-16,1,1,1,"[0.0006704214367475961, 0.0005993906181449526, 0.0005125934318677732, 0.0004131931557890517, 0.00041775267487248474, 0.00033055899766694965, 0.0003176802723160642, 0.00026119296899272193, 0.00022597561607446404, 0.0001904424269815845, 0.00019226588139643024, 0.00018502116408034358]",1,0,True
AR-S1,0,1,PERM,0.0,0.0,False,0.9999994679611763,0.0007294099147208468,1.5661081699867602e-15,1,1,1,"[0.0001380703191178634, 0.0001135127512112997, 9.908535318779697e-05, 8.867039373662004e-05, 8.635798906627231e-05, 7.353165014526728e-05, 6.548145534691843e-05, 5.715827768510484e-05, 5.6152442685550184e-05, 5.198731913761502e-05, 3.9160458597729776e-05, 3.5964343348565565e-05]",1,0,True
AR-S1,0,2,PERM,0.0,0.0,False,0.9999998861945507,0.0003373506325314086,4.955867364709045e-16,1,1,1,"[4.8328666102491994e-05, 4.41456048143158e-05, 3.86927888732496e-05, 3.3977776681975045e-05, 3.503672374450792e-05, 2.9030673488931333e-05, 2.518231719183629e-05, 2.39079227057503e-05, 2.268410429986264e-05, 1.9405064776083218e-05, 1.868528745664551e-05, 1.804258230011815e-05]",1,0,True
AR-S1,1,0,PERM,0.0,0.0,False,0.9999858759537652,0.0037581972054224317,4.3725568346998447e-16,1,1,1,"[0.0005434427503921668, 0.0004645432099488817, 0.00040610671954088184, 0.00033556742491612116, 0.000342083640090865, 0.0002610973363110011, 0.0002364011297016035, 0.0002197099264853293, 0.00020805362834425673, 0.0001754693649301368, 0.00016226016375154806, 0.00015642307475519343]",1,0,True
AR-S1,1,1,PERM,0.0,0.0,False,0.9999994039755923,0.0007720261703453687,1.006796664861571e-15,1,1,1,"[0.0001076266044326818, 0.00010195491018610783, 8.505832759256432e-05, 8.382247412696107e-05, 7.429958188086648e-05, 6.372431958500903e-05, 6.489798902141002e-05, 5.3023238274561076e-05, 4.3435661651175994e-05, 3.1765354812430235e-05, 2.3081256089824864e-05, 2.1041010325803168e-05]",1,0,True
AR-S1,1,2,PERM,0.0,0.0,False,0.999999892120353,0.0003284503721344623,4.546214520887875e-16,1,1,1,"[3.9730237801752615e-05, 3.58381890284081e-05, 3.394102295032863e-05, 3.2062026484633916e-05, 2.9522288683417774e-05, 2.4119224061321845e-05, 1.9277687227510716e-05, 1.97174548871034e-05, 1.659055645411468e-05, 1.4115035550634042e-05, 1.3021396558623736e-05, 1.1810366617919312e-05]",1,0,True
AR-S1,2,0,PERM,0.0,0.0,False,0.9999865078339818,0.0036731683895840626,4.849516545863084e-16,1,1,1,"[0.0005240781737705022, 0.00046363564261661574, 0.0003741795790885489, 0.00030546675689734694, 0.00026520963770998614, 0.00027029377228638286, 0.00024702939929076165, 0.00021476539884353012, 0.0002064995739861363, 0.00021099595702900328, 0.00019687143534686546, 0.00016203385402945578]",1,0,True
AR-S1,2,1,PERM,0.0,0.0,False,0.9999993744979744,0.0007908868602121864,1.5804195052126754e-15,1,1,1,"[0.00014947678804495492, 0.00013164079348901043, 0.000134511425791196, 0.0001185406275682688, 0.00010046689774946538, 9.489357824890201e-05, 8.953474656492483e-05, 8.537112192271134e-05, 7.517384457492242e-05, 6.551081423146687e-05, 4.4028419599576594e-05, 4.224336961318236e-05]",1,0,True
AR-S1,2,2,PERM,0.0,0.0,False,0.9999998936787867,0.0003260693381892704,4.32182626954426e-16,1,1,1,"[7.455099857914774e-05, 6.796334347268896e-05, 6.0260873820201075e-05, 4.693269925107468e-05, 4.089981517363774e-05, 3.6304642081333546e-05, 3.3620732892802267e-05, 2.9475343628438256e-05, 2.8949773400248483e-05, 2.7535762375153838e-05, 2.464735539323305e-05, 2.366916429432913e-05]",1,0,True
AR-S1,3,0,PERM,0.0,0.0,False,0.9999864105380055,0.0036863887470704837,4.629819544246232e-16,1,1,1,"[0.0007234602623875148, 0.0006419250249560571, 0.0005844447850287187, 0.0005537193089900105, 0.0005050570052988812, 0.00039521741181520044, 0.0003376550947953397, 0.0002435871332160472, 0.00021220740702800465, 0.00020205430792631803, 0.0001848971564425516, 0.00017534441207545554]",1,0,True
AR-S1,3,1,PERM,0.0,0.0,False,0.9999993920621416,0.0007797036991318392,1.3452844404644257e-15,1,1,1,"[9.986506022937708e-05, 9.842850766482039e-05, 0.00010439099708757976, 9.789974799824726e-05, 9.43168319631676e-05, 8.795650188487521e-05, 7.295345780844433e-05, 6.590782074508893e-05, 5.347994593707017e-05, 4.848185704089877e-05, 1.0663575403993725e-05, 1.948798813978813e-05]",1,0,True
AR-S1,3,2,PERM,0.0,0.0,False,0.9999998996630449,0.00031676009072265435,5.222531170867842e-16,1,1,1,"[5.208457372259309e-05, 4.337830824217234e-05, 3.816763453059594e-05, 3.47173509090895e-05, 3.266503385159246e-05, 2.644285041361215e-05, 2.377118002401586e-05, 2.1754022607134916e-05, 1.9737632490224882e-05, 1.8744238160288866e-05, 1.5917476457894216e-05, 1.427590331256589e-05]",1,0,True
AR-S1,4,0,PERM,0.0,0.0,False,0.9999850966430385,0.00386048662236902,4.165039520772895e-16,1,1,1,"[0.0006371096400346429, 0.0005184590811890072, 0.0003843514180182554, 0.0003227074528595359, 0.0003173235402077877, 0.00021333837189830228, 0.0001741332944425107, 0.00014414317362548989, 0.00015701537659193772, 0.0001295816172511713, 0.00011746890033576221, 0.00011204072086992765]",1,0,True
AR-S1,4,1,PERM,0.0,0.0,False,0.9999993427462648,0.0008107118694327108,1.0363315949096694e-15,1,1,1,"[0.00014872297824376893, 0.00014003034493153543, 0.00012650444828609254, 0.00011075962945111017, 0.00010811954292416157, 8.876709836832835e-05, 8.101801618564206e-05, 5.965330370514268e-05, 5.402001687528959e-05, 4.5535315217503016e-05, 4.280612825562422e-05, 3.7494513042319515e-05]",1,0,True
AR-S1,4,2,PERM,0.0,0.0,False,0.9999998983587942,0.00031881217949557777,3.4647859673508074e-16,1,1,1,"[4.9262711796518865e-05, 4.500249471890046e-05, 3.6212902576652996e-05, 3.266983385880355e-05, 3.108661838673688e-05, 2.9947870130826878e-05, 2.7549356534857688e-05, 2.5586842506319984e-05, 2.0787750752663117e-05, 1.9312738228886008e-05, 1.6420754788353074e-05, 1.457352005059763e-05]",1,0,True
AR-S2,0,0,PERM,0.0,0.0,False,0.9998600201632242,0.011831307483782999,4.4286409194612317e-16,1,1,1,"[0.0030382784391151125, 0.0024965800777240867, 0.0017368626483571696, 0.0015582579384438712, 0.001342861821701106, 0.0012420684770055757, 0.0011986875424350573, 0.0010872997232368288, 0.0009097827133721704, 0.0007919761800949952, 0.0006581688712991797, 0.0005758251759956112]",1,0,True
AR-S2,0,1,PERM,0.0,0.0,False,0.9998253835341814,0.01321425237456163,1.4852861929221887e-15,1,1,1,"[0.0027264893106277756, 0.002585324390664988, 0.00214965289508765, 0.0017509992031244774, 0.0016327005766762072, 0.0013176090515727133, 0.001120216378977936, 0.0010502152783129464, 0.0009857262748577686, 0.0007311754691956359, 0.0006204108484606782, 0.00058886904087319]",1,0,True
AR-S2,0,2,PERM,0.0,0.0,False,0.9997187130232137,0.016771612229785283,4.760479948795735e-16,1,1,1,"[0.004159576957079448, 0.0035763410600300476, 0.0022084463523644893, 0.001806977836201763, 0.0019534745257061216, 0.0015164096744241207, 0.0014198483642023836, 0.0014978517571599254, 0.0013552262462696652, 0.0009839350099036545, 0.0007621691913187891, 0.0008053522485092446]",1,0,True
AR-S2,1,0,PERM,0.0,0.0,False,0.9998526623041476,0.012138274006313668,4.722725330340735e-16,1,1,1,"[0.0025149285837244625, 0.0022328818445423964, 0.001735705320295044, 0.001576586875582499, 0.0014196012158093707, 0.0012695967382283775, 0.0010192900511079741, 0.0009506100262339268, 0.0008244024751268142, 0.0008240934679704028, 0.0005173598553236309, 0.0005227955662962001]",1,0,True
AR-S2,1,1,PERM,0.0,1e-05,False,0.9998145780003879,0.01361697468647639,1.6001927979085153e-15,1,1,1,"[0.002311006189972451, 0.002203080238780055, 0.0020537171055513403, 0.001741779464149809, 0.0015949610600316567, 0.0014084553538736126, 0.001179411174387628, 0.00114057482756147, 0.001170687976787646, 0.0011013918937966686, 0.0009122449174855282, 0.000811332474047443]",1,0,True
AR-S2,1,2,PERM,0.0,0.0,False,0.999713543398961,0.016925028834212947,3.6356518688912745e-16,1,1,1,"[0.004571753402729398, 0.004018987494334865, 0.0037421747239971145, 0.0034840394381173406, 0.0029086487319170823, 0.0025023422588363597, 0.00179066557490876, 0.0015819620571922565, 0.0014258284931642213, 0.0009575037771783747, 0.0008022292621009081, 0.0007620596155588382]",1,0,True
AR-S2,2,0,PERM,0.0,0.0,False,0.9998645558177826,0.011638048900803047,4.1804820223037413e-16,1,1,1,"[0.0031158437189969536, 0.002478626394020542, 0.0022300997869891216, 0.002006573005430274, 0.0018449826589351972, 0.0016846026705373564, 0.0013102201877515248, 0.0009224695154314356, 0.0009185293832413776, 0.000903975193813171, 0.0008225664350910277, 0.0006057702458743703]",1,0,True
AR-S2,2,1,PERM,0.0,0.0,False,0.9997826212779212,0.014743768923814201,1.0347625562892997e-15,1,1,1,"[0.003539535593415643, 0.0034243623230138416, 0.0031274780958785676, 0.002718095533235799, 0.002382479491910355, 0.0020378448015216802, 0.0017612170314005322, 0.0017242164276787932, 0.0014126918175489615, 0.0012443342696790965, 0.001102407137663634, 0.0007349133495501614]",1,0,True
AR-S2,2,2,PERM,0.0,0.0,False,0.9997369459254606,0.01621894184401213,5.02337218533247e-16,1,1,1,"[0.003997939495800829, 0.003932896057749332, 0.003436419246234056, 0.0024786205981083094, 0.0020457062958141132, 0.0017550841917111936, 0.0015245732919193554, 0.0014011178677168139, 0.0014566429344367718, 0.0013761947076783392, 0.0013273360171756651, 0.0008719772121772598]",1,0,True
AR-S2,3,0,PERM,0.0,0.0,False,0.999854419317976,0.012065681995807254,4.3531841619930886e-16,1,1,1,"[0.0031467149710679844, 0.0026549717879642324, 0.002349045907351614, 0.0020879438572243086, 0.0019120062701877666, 0.0017494780876631684, 0.0014633775857898043, 0.0012901448467196395, 0.0008692055800194989, 0.0008270977112182603, 0.0007541823467979134, 0.0005312711895440806]",1,0,True
AR-S2,3,1,PERM,0.0,0.0001,False,0.999789530552696,0.014507565174900731,1.4855256450877942e-15,1,1,1,"[0.0026704913964193523, 0.0024611655315681536, 0.002080551759515883, 0.0019420588685755903, 0.0017815107436881408, 0.0014977154183808156, 0.0012507397955024112, 0.000892961596833177, 0.0007840197449321503, 0.0006580984456753697, 0.0007432486551488279, 0.0006535682333156148]",1,0,True
