scenario,seed,variable,truth_class,rank_010,rank_005,rank_002,sigma_1_to_12,tail_1_to_12,cumulative_1_to_12,tail_beyond_rank_max,tail_curve_max_abs_error,normalized_spectrum_l1_distance,estimated_tail_after_rank1,task_spectrum_pass,task_class_pass,seed_gate_pass
AR-S1,0,0,near_rank1,1,1,1,"[0.02782481022939561, 1.1236134350778227e-07, 7.101153605192729e-08, 5.9291433311714e-08, 5.7581185933683293e-08, 5.204981755464778e-08, 4.683138147541818e-08, 4.0372274495426706e-08, 3.6465154379655e-08, 3.471677046233072e-08, 2.7961244714873993e-08, 2.5550658720551825e-08]","[6.858735717067311e-06, 5.5439543740509275e-06, 4.921610044882053e-06, 4.4363927107977005e-06, 3.9241669223825325e-06, 3.4496150296050947e-06, 3.011160171991844e-06, 2.6385305843141567e-06, 2.290057561338752e-06, 1.920320374276801e-06, 1.6363983679337672e-06, 1.3544673456990372e-06]","[0.9999999999529579, 0.9999999999692647, 0.9999999999757779, 0.9999999999803186, 0.9999999999846011, 0.9999999999881003, 0.999999999990933, 0.9999999999930382, 0.9999999999947558, 0.9999999999963125, 0.9999999999973224, 0.9999999999981656]",1.3544673456990372e-06,5.543954373775004e-06,2.044152301618998e-10,6.858735717067311e-06,True,True,True
AR-S1,0,1,near_rank1,1,1,1,"[0.027011951790812196, 6.662200403073601e-08, 5.108287853717597e-08, 4.5430648619763187e-08, 3.94166799336787e-08, 2.9487782027459768e-08, 2.4682887091921108e-08, 2.2853764379682464e-08, 2.0510168755591807e-08, 1.9046563276801594e-08, 1.8166075433838466e-08, 1.7510322459858498e-08]","[4.461886139344742e-06, 3.718245415876026e-06, 3.201407353067807e-06, 2.7240255528897395e-06, 2.3002086492939377e-06, 2.0246592716930996e-06, 1.8067256716053167e-06, 1.5963828163151752e-06, 1.404244265432935e-06, 1.214377692935935e-06, 1.0111528813412556e-06, 7.76022229245086e-07]","[0.9999999999800917, 0.9999999999861748, 0.9999999999897512, 0.9999999999925799, 0.9999999999947093, 0.9999999999959011, 0.999999999996736, 0.9999999999974517, 0.9999999999980282, 0.9999999999985254, 0.9999999999989777, 0.9999999999993979]",7.76022229245086e-07,3.488047877847815e-05,3.083477298747713e-09,4.461886139344742e-06,True,True,True
AR-S1,0,2,near_rank1,1,1,1,"[0.018792811855404865, 1.0510517934688285e-07, 7.534155586746496e-08, 7.030250362032687e-08, 6.727996600223728e-08, 5.767910585822656e-08, 5.6798641953490205e-08, 5.205219763629835e-08, 5.001930353117755e-08, 4.4896620426247665e-08, 4.1397971386844015e-08, 3.443940544182666e-08]","[1.1314870756371225e-05, 9.835977187232055e-06, 8.98186315321996e-06, 8.165742114753285e-06, 7.339093728202796e-06, 6.666501351266322e-06, 5.942018224721878e-06, 5.2569789463807975e-06, 4.53338862068861e-06, 3.852809447980385e-06, 3.160939668355919e-06, 2.5754952226454175e-06]","[0.9999999998719739, 0.9999999999032537, 0.9999999999193263, 0.9999999999333208, 0.9999999999461379, 0.9999999999555579, 0.9999999999646926, 0.9999999999723643, 0.9999999999794486, 0.999999999985156, 0.9999999999900085, 0.9999999999933669]",2.5754952226454175e-06,2.409284308119359e-05,2.4448527870881908e-09,1.1314870756371225e-05,True,True,True
AR-S1,1,0,near_rank1,1,1,1,"[0.027753393929429652, 8.322449728103606e-08, 7.06926612281389e-08, 6.583839112401094e-08, 6.178323852818896e-08, 5.7380703598071095e-08, 4.436037198492048e-08, 4.1251540608982864e-08, 3.617246794362752e-08, 3.199317036496534e-08, 2.9455028170959655e-08, 2.6034962884559553e-08]","[6.42084889886737e-06, 5.677588709554274e-06, 5.074143236670848e-06, 4.4854532365136356e-06, 3.894039497072915e-06, 3.299833885820284e-06, 2.8868834952596992e-06, 2.4748393123921185e-06, 2.103830007677605e-06, 1.759895204079459e-06, 1.4038684338921624e-06, 1.044436928491153e-06]","[0.9999999999587726, 0.9999999999677649, 0.9999999999742529, 0.9999999999798805, 0.9999999999848362, 0.9999999999891109, 0.9999999999916658, 0.9999999999938751, 0.9999999999955739, 0.9999999999969027, 0.9999999999980291, 0.9999999999989091]",1.044436928491153e-06,1.2042509780790998e-05,6.638066304436993e-10,6.42084889886737e-06,True,True,True
AR-S1,1,1,near_rank1,1,1,1,"[0.02585842914393022, 7.0657599187202e-08, 5.282731459633703e-08, 2.8641648389666515e-08, 2.5101730703972506e-08, 2.2710343648513008e-08, 2.1144867208445636e-08, 1.9477944176007957e-08, 1.8192186547501445e-08, 1.6967522226009837e-08, 1.6214615267146733e-08, 1.3806389330922491e-08]","[4.238830497523225e-06, 3.2405625685432968e-06, 2.5154774594788755e-06, 2.258489777958694e-06, 2.039226813365023e-06, 1.840410504624334e-06, 1.6487723794762323e-06, 1.466649240574694e-06, 1.2868975147178433e-06, 1.1070439504305739e-06, 9.123323808136645e-07, 7.397820350205626e-07]","[0.9999999999820323, 0.9999999999894987, 0.9999999999936724, 0.9999999999948992, 0.9999999999958415, 0.9999999999966129, 0.9999999999972816, 0.9999999999978489, 0.9999999999983439, 0.9999999999987744, 0.9999999999991677, 0.9999999999994528]",7.397820350205626e-07,3.699079337985948e-05,3.3848308561032778e-09,4.238830497523225e-06,True,True,True
AR-S1,1,2,near_rank1,1,1,1,"[0.018660395350619148, 5.78123783865286e-08, 5.125456603352096e-08, 4.660561805172003e-08, 4.169361172882643e-08, 3.8289638482104926e-08, 3.572658043490879e-08, 3.4126631926729096e-08, 3.074976406948682e-08, 2.965261563895641e-08, 2.86943598572034e-08, 2.563920973803073e-08]","[7.432968991753375e-06, 6.756522972956618e-06, 6.173023949693197e-06, 5.645208200067161e-06, 5.184217761807279e-06, 4.760854766083204e-06, 4.358918516261659e-06, 3.956711135304839e-06, 3.5972367844462717e-06, 3.2272246642050725e-06, 2.837325017840746e-06, 2.4824509669428114e-06]","[0.999999999944751, 0.9999999999543494, 0.9999999999618938, 0.9999999999681317, 0.9999999999731239, 0.9999999999773344, 0.9999999999809999, 0.9999999999843444, 0.9999999999870599, 0.999999999989585, 0.9999999999919496, 0.9999999999938374]",2.4824509669428114e-06,3.550107006351236e-05,3.6674664578320294e-09,7.432968991753375e-06,True,True,True
AR-S1,2,0,near_rank1,1,1,1,"[0.028011362328454064, 9.993641794618596e-08, 8.80736679577943e-08, 7.79434340845509e-08, 6.832777806697389e-08, 6.696916816789831e-08, 6.011366927899444e-08, 5.230750234399436e-08, 5.162214197325089e-08, 4.667964069302008e-08, 4.172893281849254e-08, 3.8573646834730626e-08]","[7.935620964395798e-06, 7.0884078135911265e-06, 6.352909160165057e-06, 5.711110862350952e-06, 5.163977311207763e-06, 4.577204909143787e-06, 4.0429310871669685e-06, 3.585837573321047e-06, 3.0760283459026484e-06, 2.585513909692951e-06, 2.1132044068931078e-06, 1.6029058414395883e-06]","[0.9999999999370259, 0.9999999999497545, 0.9999999999596406, 0.9999999999673833, 0.9999999999733334, 0.9999999999790493, 0.9999999999836549, 0.9999999999871418, 0.9999999999905381, 0.9999999999933152, 0.9999999999955345, 0.9999999999974308]",1.6029058414395883e-06,7.088407813383007e-06,1.0049105478485597e-10,7.935620964395798e-06,True,True,True
AR-S1,2,1,near_rank1,1,1,1,"[0.02783639663559145, 6.804824398004093e-08, 5.3067036898492667e-08, 5.1315409030594236e-08, 3.296003456091585e-08, 3.02230400253586e-08, 2.7859762778873122e-08, 2.564113091162591e-08, 2.2820944485697372e-08, 2.0637285496136608e-08, 1.8173576484774692e-08, 1.5014667921223235e-08]","[4.476399603086042e-06, 3.7499588802885503e-06, 3.2292208933329147e-06, 2.651321597230231e-06, 2.3722356772802235e-06, 2.1091881384822366e-06, 1.8566084884505432e-06, 1.6119869632789131e-06, 1.3879447647869362e-06, 1.1733497693030678e-06, 9.749405729641202e-07, 8.121377860746971e-07]","[0.9999999999799618, 0.9999999999859378, 0.9999999999895721, 0.9999999999929705, 0.9999999999943725, 0.9999999999955513, 0.999999999996553, 0.9999999999974015, 0.9999999999980737, 0.9999999999986233, 0.9999999999990495, 0.9999999999993405]",8.121377860746971e-07,6.115147125149567e-05,8.602082989790743e-09,4.476399603086042e-06,True,True,True
AR-S1,2,2,near_rank1,1,1,1,"[0.018651662193807317, 1.2718254983641466e-07, 1.0783386828814038e-07, 8.928426183848283e-08, 8.065023358428941e-08, 7.81390867222156e-08, 6.843533855946412e-08, 6.401751866655618e-08, 6.260628813308866e-08, 5.316186951955912e-08, 4.976755747599873e-08, 4.752184332508197e-08]","[1.4281392916331869e-05, 1.2548374980911282e-05, 1.1137163764721394e-05, 1.0055927944773668e-05, 9.078794188785396e-06, 8.054409693682186e-06, 7.170147434312563e-06, 6.29527957686437e-06, 5.3257617886310995e-06, 4.498869072937912e-06, 3.622180356355799e-06, 2.5746057341136864e-06]","[0.9999999997960418, 0.9999999998425383, 0.9999999998759636, 0.9999999998988783, 0.9999999999175755, 0.9999999999351264, 0.9999999999485889, 0.9999999999603695, 0.9999999999716362, 0.9999999999797602, 0.9999999999868798, 0.9999999999933714]",2.5746057341136864e-06,1.2548374980693199e-05,1.2526097460223174e-09,1.4281392916331869e-05,True,True,True
AR-S1,3,0,near_rank1,1,1,1,"[0.028074784034224688, 6.625526415051103e-08, 6.392541251441663e-08, 5.631157278803698e-08, 4.318382451517436e-08, 4.119427500675779e-08, 3.674616493532526e-08, 3.350508833291391e-08, 3.0739674160725565e-08, 2.8443966218948437e-08, 2.644097267169332e-08, 2.330062489665051e-08]","[5.268481267713052e-06, 4.7103610279015844e-06, 4.123458894348575e-06, 3.6027486829130914e-06, 3.2578869536058744e-06, 2.9087528288541323e-06, 2.597635382828356e-06, 2.3072606096551513e-06, 2.03091094035773e-06, 1.7601495429739043e-06, 1.4869867884570364e-06, 1.2338213794690876e-06]","[0.9999999999722431, 0.9999999999778125, 0.9999999999829972, 0.9999999999870203, 0.9999999999893863, 0.9999999999915392, 0.9999999999932524, 0.9999999999946766, 0.9999999999958754, 0.9999999999969019, 0.9999999999977889, 0.9999999999984777]",1.2338213794690876e-06,1.6188628168361398e-05,9.09676345559432e-10,5.268481267713052e-06,True,True,True
