scenario,seed,variable,rank,validation_contribution_r2,empirical_operator_nrmse,normalized_excess_rmse,core_surface_nrmse,modal_gains,refit_intercept
AR-S1,0,0,1,0.999999996936434,5.534948955554416e-05,0.0,5.683850299452029e-05,[1.000000105966937],0.019560933666330146
AR-S1,0,0,2,0.9999999969242883,5.5459098991724274e-05,0.0,5.6990984201169945e-05,"[1.000000101895393, 1.019988124186989]",0.019560933548139526
AR-S1,0,0,3,0.9999999968968915,5.570555198975751e-05,0.0,5.7049038073903455e-05,"[1.0000000968310503, 1.022678003416689, 0.9912282306747154]",0.01956093373001615
AR-S1,0,0,4,0.9999999968817056,5.584169032911318e-05,0.0,5.709249974067709e-05,"[1.0000001028600585, 1.028215596586668, 0.9908272070284911, 1.0094967588719348]",0.01956093393250731
AR-S1,0,0,5,0.999999996863474,5.600469697425575e-05,0.0,5.712915670776501e-05,"[1.000000103735275, 1.0250571570932938, 0.9936189832264535, 1.0182090981694134, 0.9804194868632607]",0.019560933764732745
AR-S1,0,0,6,0.9999999968429759,5.6187401247279525e-05,0.0,5.716359721004058e-05,"[1.0000001052814562, 1.0244585468532197, 0.9998381333656937, 1.021806681649392, 0.9827198763215402, 1.0308172091046843]",0.019560933927588408
AR-S1,0,0,7,0.9999999968363135,5.6246657618316955e-05,0.0,5.718945857059004e-05,"[1.0000001067835147, 1.0260376413437484, 1.0003859326983457, 1.018472250104238, 0.9860939492117579, 1.0319030418975226, 1.00981389311488]",0.019560933890443093
AR-S1,0,0,8,0.9999999968243283,5.635309838695617e-05,0.0,5.7209689144948024e-05,"[1.0000001059624712, 1.0262379198558087, 0.99997368251331, 1.0201738157702542, 0.9844803589883062, 1.041897369832383, 1.0101073931570042, 1.0299964562050565]",0.01956093402278533
AR-S1,0,0,9,0.9999999968176332,5.6412470705272273e-05,0.0,5.722715215863548e-05,"[1.0000001109325807, 1.0273056303907278, 1.000137081981842, 1.021686352844801, 0.9900342547374925, 1.0397966059361807, 1.0060880667231857, 1.0371299594150332, 1.049557481534543]",0.019560933960174606
AR-S1,0,0,10,0.9999999968066381,5.6509839349107054e-05,0.0,5.724534621786941e-05,"[1.0000001113534207, 1.0284568291175364, 1.0026276744906535, 1.0230699893562303, 0.9945888102323016, 1.0412341048464397, 1.0023351946613206, 1.0357417343664928, 1.055628473482322, 1.0982130865129027]",0.019560933998351373
AR-S1,0,0,11,0.9999999967999994,5.6568547478555374e-05,0.0,5.7254815717172226e-05,"[1.0000001133480445, 1.028258019856722, 1.0013261500264639, 1.0234657135255405, 0.9964656958444383, 1.045210897442218, 1.003517590927755, 1.036506937156962, 1.0557496566988513, 1.0991081778639498, 1.0027225434300262]",0.019560934013928978
AR-S1,0,0,12,0.9999999967945907,5.6616333662638414e-05,0.0,5.726286432262146e-05,"[1.0000001135950076, 1.0293048890302645, 1.0038088923521984, 1.0235358183474803, 0.9978488941510993, 1.0471226379431533, 1.0041887102175597, 1.0341113906847335, 1.054290258598598, 1.0941319822925057, 1.0030737343097889, 1.0006836405393555]",0.01956093405533347
AR-S1,0,1,1,0.9999999949230125,7.125298228510012e-05,0.0,8.241621313524256e-05,[1.0000000245870744],0.420550482914279
AR-S1,0,1,2,0.9999999948963774,7.143964295700246e-05,0.0,8.24659703795943e-05,"[1.000000025517311, 0.9999622329168983]",0.4205504826978183
AR-S1,0,1,3,0.9999999948549471,7.172902438202663e-05,0.0,8.248787667678203e-05,"[1.0000000085837712, 1.0018024489246982, 0.997545013945962]",0.4205504827493395
AR-S1,0,1,4,0.9999999948478068,7.177877943353153e-05,0.0,8.250504729433266e-05,"[1.0000000217553788, 1.0013283974540905, 0.9998914917452756, 0.9610341987784187]",0.42055048267836015
AR-S1,0,1,5,0.9999999948325695,7.188484144705225e-05,0.0,8.252082488443817e-05,"[1.0000000109525067, 1.0140730251544916, 0.9955295856371367, 0.971316790220483, 0.9748887491147212]",0.42055048267031525
AR-S1,0,1,6,0.9999999948243018,7.194232589893818e-05,0.0,8.252941680650863e-05,"[1.0000000053792966, 1.0211942022111549, 0.9985510746137057, 0.9835228045600883, 0.9809652523665762, 0.988545549278667]",0.4205504826453871
AR-S1,0,1,7,0.9999999948158851,7.200079829935009e-05,0.0,8.253504948863123e-05,"[1.0000000077599411, 1.0232332845834098, 0.9989953260887376, 0.9910795513680712, 0.9851654169962879, 0.9919063680383717, 0.9820010692078062]",0.42055048266389133
AR-S1,0,1,8,0.9999999948127849,7.202232370784244e-05,0.0,8.254010185688802e-05,"[1.0000000050913493, 1.0283613398933666, 1.0004368481016546, 0.9949700014836734, 0.9857775748247916, 0.993854983205941, 0.9847863634313087, 0.9798111808709613]",0.42055048268222034
AR-S1,0,1,9,0.9999999948081887,7.205422494416258e-05,0.0,8.254422194934276e-05,"[1.0000000035597776, 1.0306845860211782, 0.9982542644171135, 0.9969424109258521, 0.991956849662754, 0.9946837010337402, 0.9862985388190949, 0.9832622298433367, 1.00010864165142]",0.4205504827228182
AR-S1,0,1,10,0.9999999948050717,7.207585108280059e-05,0.0,8.25475415184787e-05,"[1.0000000049484905, 1.0315039272241024, 0.9986591802792942, 0.9951748570224223, 0.9951606665836455, 0.9990936640998815, 0.9905291041482976, 0.987874084763381, 1.0017469761757376, 1.004269780833598]",0.42055048276914975
AR-S1,0,1,11,0.999999994801616,7.209981930971467e-05,0.0,8.25512953317157e-05,"[1.0000000049629598, 1.0371691798260738, 1.002817282034896, 0.9983184498702223, 0.9977417191614204, 0.9968115960063694, 0.9960158113818717, 0.9932624348929067, 1.0016752269558387, 1.0035145408798294, 0.9987005662921894]",0.4205504827987612
AR-S1,0,1,12,0.9999999947966033,7.213457383457106e-05,0.0,8.255432982393114e-05,"[1.0000000060072018, 1.0389938703822656, 1.005621772525911, 0.9993476234691145, 1.0007138680425027, 0.9987341444971796, 1.0020870308242575, 0.9930210586922893, 1.0012400954573162, 1.0015807777725545, 1.0005735954561656, 0.9989217509470778]",0.4205504827851007
AR-S1,0,2,1,0.9999999921958854,8.834089984144475e-05,0.0,9.646699539307655e-05,[1.0000000338400254],-0.00015947274690838873
AR-S1,0,2,2,0.9999999921500008,8.860022095574052e-05,0.0,9.662700329712097e-05,"[1.0000000310088526, 0.9593730481320808]",-0.00015947311148081317
AR-S1,0,2,3,0.9999999920992423,8.888620677929665e-05,0.0,9.670890583609272e-05,"[1.000000020711146, 0.9568474806309, 0.9679376332814036]",-0.0001594730495444684
AR-S1,0,2,4,0.999999992027855,8.928686972542094e-05,0.0,9.678722518105217e-05,"[1.0000000189420968, 0.9694495049244951, 0.9797909655080261, 0.9813347836765688]",-0.00015947300679223123
AR-S1,0,2,5,0.9999999919822823,8.954170923696587e-05,0.0,9.68568273987745e-05,"[1.0000000074426452, 0.9731436121888507, 0.98825215718779, 0.9792895934634404, 0.9737081872189075]",-0.0001594730090738035
AR-S1,0,2,6,0.9999999919323972,8.981983497259764e-05,0.0,9.690652755509643e-05,"[1.0000000027415001, 0.9744736149272708, 1.0000116903850134, 0.976979847274485, 0.9765986502925023, 0.9826018173282524]",-0.00015947303200282062
AR-S1,0,2,7,0.9999999918840632,9.008849419979622e-05,0.0,9.695819939958296e-05,"[1.0000000091043484, 0.9760175222359571, 0.9983701157759232, 0.9844644938011431, 0.986097471346099, 0.9860745138092587, 1.0015263631738736]",-0.00015947299052157087
AR-S1,0,2,8,0.9999999918335585,9.036836554453723e-05,0.0,9.70012120496723e-05,"[0.9999999960555436, 0.9845940893278714, 0.99280396096956, 0.9858275753321444, 0.9934639906930665, 0.9856930960449984, 0.9930090000326138, 1.0118575448641953]",-0.00015947303597229267
AR-S1,0,2,9,0.9999999918110267,9.049294575626248e-05,0.0,9.704405369608144e-05,"[0.9999999963652222, 0.9919472571964366, 0.9928468257349766, 0.9874031138090678, 0.999095199953712, 0.988230082334142, 1.003771702183231, 1.0102326870361615, 1.0137224832147196]",-0.00015947314727894914
AR-S1,0,2,10,0.9999999917915204,9.060065972086738e-05,0.0,9.707511215851761e-05,"[0.999999997296641, 0.9911989437267389, 0.9969621552916345, 0.9956676457353821, 1.001475405294424, 0.9932086429584503, 1.0010948092936942, 1.0085540666939847, 1.0131417740254542, 0.9972969515818134]",-0.0001594731335518307
AR-S1,0,2,11,0.9999999917539318,9.080786426313292e-05,0.0,9.71020371245083e-05,"[1.0000000030529286, 0.9948021098668728, 0.9985439850491484, 0.9988919200211657, 1.0013270785660338, 0.9938463246675344, 1.0017821214441922, 1.0083345044910017, 1.007711525860194, 0.9979940129827715, 1.0040537567753052]",-0.0001594731075205312
AR-S1,0,2,12,0.9999999917451536,9.085618532571388e-05,0.0,9.712003494731324e-05,"[1.0000000019128141, 0.9941117490982702, 0.9992634789580104, 1.0005882634727363, 1.0042183291892555, 0.9961675553092622, 1.0027912926796911, 1.0040510593070575, 1.0002530338250382, 0.9989061453958192, 1.0033406852101954, 1.013215580993992]",-0.0001594730631498663
AR-S1,1,0,1,0.9999999945040909,7.413439887529898e-05,0.0,7.677955458133472e-05,[1.0000001165286292],-0.015620537381922229
AR-S1,1,0,2,0.9999999944533285,7.4475978686767e-05,0.0,7.683900430255312e-05,"[1.0000001174011386, 1.0013271016917822]",-0.015620537411934072
AR-S1,1,0,3,0.9999999944242861,7.467070298124588e-05,0.0,7.68841138809579e-05,"[1.000000119837327, 0.9938687207813919, 1.0036328928403322]",-0.015620537418665183
AR-S1,1,0,4,0.9999999943787746,7.497483174340568e-05,0.0,7.692061276393603e-05,"[1.000000126173335, 0.9971495338925626, 0.9965235707118288, 0.9988551756313889]",-0.015620537455434663
AR-S1,1,0,5,0.9999999943566393,7.51223043733011e-05,0.0,7.695369737074704e-05,"[1.0000001250556607, 0.9910874858560405, 1.0072780727053707, 0.9901085656288703, 1.0028009932652064]",-0.01562053751271439
AR-S1,1,0,6,0.9999999943216482,7.535483895999224e-05,0.0,7.698588916078016e-05,"[1.0000001304669852, 0.990675671015911, 1.0108874935725012, 1.0003690231063513, 1.0128888099452709, 1.040193435135747]",-0.015620537541614743
AR-S1,1,0,7,0.9999999943030699,7.547801086541131e-05,0.0,7.700363140819897e-05,"[1.0000001330450583, 0.9923809958135539, 1.010932778917259, 0.9984422482985794, 1.0126759208244545, 1.0471003209521705, 1.0172695644848417]",-0.01562053755634069
AR-S1,1,0,8,0.9999999942884191,7.557500158723781e-05,0.0,7.70209932677484e-05,"[1.0000001340950568, 1.0044800648338994, 1.0093752520563117, 1.009533921864319, 1.0105153889554257, 1.0509014088177069, 1.019392807365824, 1.022181598584412]",-0.015620537558580503
AR-S1,1,0,9,0.9999999942767555,7.565212829060523e-05,0.0,7.703520659015485e-05,"[1.0000001354269643, 1.0081328879942182, 1.0172547674891081, 1.0115394063289997, 1.0080594167391288, 1.0544110811213099, 1.0252899596421527, 1.0220593022720494, 1.0661974662452278]",-0.015620537543670043
AR-S1,1,0,10,0.9999999942656674,7.572537611108794e-05,0.0,7.704373532447468e-05,"[1.0000001353895531, 1.0047962193595001, 1.0167270844800993, 1.0119438807219856, 1.0091323225112994, 1.0546523430156163, 1.0293634820420194, 1.0240049349254614, 1.0720684831370622, 0.994440648036218]",-0.01562053754478471
AR-S1,1,0,11,0.9999999942529664,7.580919204836939e-05,0.0,7.70522650876843e-05,"[1.000000135911225, 1.007400936557395, 1.0169344051261981, 1.0117492664974115, 1.015243652601389, 1.053422056535979, 1.030587296044758, 1.0234779662788736, 1.0801892563929627, 0.9966890794369009, 1.024650498095886]",-0.015620537543041456
AR-S1,1,0,12,0.9999999942452452,7.586010030211684e-05,0.0,7.705839791926413e-05,"[1.0000001379583068, 1.0067011548592655, 1.0161425230394263, 1.0138812551696668, 1.0179039590931103, 1.0557750722982109, 1.0297327306523765, 1.0252349122458024, 1.0790752981154539, 0.9972557018827578, 1.0264676414747693, 1.0076526267275439]",-0.015620537555973348
AR-S1,1,1,1,0.9999999949042686,7.138439153533256e-05,0.0,8.278440371075417e-05,[1.000000078211065],0.37825240412871053
AR-S1,1,1,2,0.9999999948225994,7.195415601270309e-05,0.0,8.282943876655541e-05,"[1.0000000376496145, 0.9693573365058444]",0.3782524040908168
AR-S1,1,1,3,0.9999999948110623,7.20342816278045e-05,0.0,8.2857886373949e-05,"[1.0000000179556086, 0.970412860525758, 0.9770272706462069]",0.3782524039156271
AR-S1,1,1,4,0.9999999948024509,7.20940291182868e-05,0.0,8.286621778503437e-05,"[1.0000000133142346, 0.9728071181453224, 0.978842629485685, 1.0010682444777685]",0.37825240391325293
AR-S1,1,1,5,0.9999999947985689,7.212094782895904e-05,0.0,8.287161311200592e-05,"[1.000000012206272, 0.9739600459108493, 0.9786722780626899, 1.000456376554196, 0.9724193518038309]",0.3782524039001073
AR-S1,1,1,6,0.9999999947924795,7.216315220689984e-05,0.0,8.287725216129744e-05,"[1.0000000095756745, 0.9828181839222984, 0.9827416184606761, 0.9960667040661113, 0.9835840043933141, 0.9852791124227128]",0.3782524039064351
AR-S1,1,1,7,0.9999999947877495,7.219591748743577e-05,0.0,8.288203920825273e-05,"[1.0000000114180359, 0.9905176884904825, 0.9863383180806855, 0.99606759908205, 0.9880985218209031, 0.9928886783729708, 0.9673329794605032]",0.3782524039193271
AR-S1,1,1,8,0.9999999947831136,7.222801656335397e-05,0.0,8.288579994500575e-05,"[1.0000000103943267, 0.9928381520156168, 0.9888011857221811, 0.9907047805004789, 0.9990687464473296, 0.99334537808286, 0.9725400970899737, 0.9885114251092466]",0.3782524039229368
AR-S1,1,1,9,0.9999999947775505,7.226651664097293e-05,0.0,8.288890169728702e-05,"[1.000000008817091, 0.9933182394267961, 0.9930875732316817, 0.9944084800157624, 1.000384974899009, 0.9927122696563345, 0.9809437115418855, 0.9863407366053853, 0.9868098478081192]",0.3782524039054504
AR-S1,1,1,10,0.9999999947739782,7.229122937896263e-05,0.0,8.289214555697825e-05,"[1.00000000776852, 0.996261736790573, 0.9956251763686035, 0.9949812618010048, 1.0021275528058036, 0.9988487065263854, 0.9917089320277761, 0.9919236591606375, 0.9908508718430639, 1.0028742717931287]",0.3782524039175595
AR-S1,1,1,11,0.9999999947703595,7.231625319205302e-05,0.0,8.289474305191047e-05,"[1.0000000059762013, 0.9973446416944993, 0.9980193384261087, 0.9951924627672385, 1.0017624414357529, 0.998257078915906, 0.9900107622177082, 0.9902388783836882, 0.9941285419769254, 1.002744531849211, 0.9957398254219656]",0.3782524039142968
AR-S1,1,1,12,0.9999999947672499,7.233775001791156e-05,0.0,8.289699116621146e-05,"[1.0000000048169806, 1.0003964512992787, 0.9978562377556697, 0.9975915789920518, 1.0004570464717526, 1.0009136908358722, 0.9939028896751921, 0.9953723742008754, 0.9981831823341488, 1.0028823579758785, 0.9957847330358077, 0.998200244131826]",0.3782524039075529
AR-S1,1,2,1,0.9999999965844495,5.8442711276422696e-05,0.0,7.278129569161883e-05,[1.000000020692908],0.004572309487287367
AR-S1,1,2,2,0.9999999965583536,5.866554673481612e-05,0.0,7.284775570241917e-05,"[1.0000000271562577, 0.9596454481253442]",0.004572309409925269
AR-S1,1,2,3,0.9999999965346215,5.886746613143931e-05,0.0,7.289753147000793e-05,"[1.000000023142861, 0.9677860856418977, 0.9411295481529119]",0.004572309328460418
AR-S1,1,2,4,0.9999999965194281,5.899637231457936e-05,0.0,7.293796733036244e-05,"[1.0000000160458786, 0.9672339635503912, 0.9467257523837188, 0.9668137727025768]",0.0045723092955219004
AR-S1,1,2,5,0.9999999964932109,5.921814796759823e-05,0.0,7.297294637653255e-05,"[1.0000000137976763, 0.9746176780481592, 0.9536805989705535, 0.9764515331181958, 0.9740176567381293]",0.004572309302977934
AR-S1,1,2,6,0.9999999964751833,5.937016619703111e-05,0.0,7.300274019852359e-05,"[1.0000000175241817, 0.9736155308489485, 0.9623535508392023, 0.9812507925625863, 0.9783864623291696, 0.9783727076495157]",0.004572309394826734
AR-S1,1,2,7,0.9999999964678864,5.9431587357268814e-05,0.0,7.303135143176269e-05,"[1.0000000130853781, 0.9840611092765278, 0.9691262660861837, 0.9883866012434958, 0.9821100334306775, 0.9872834280279761, 1.0047365965904986]",0.004572309447271067
AR-S1,1,2,8,0.9999999964566435,5.9526099662751365e-05,0.0,7.305658139703686e-05,"[1.0000000060772671, 0.9850540440716502, 0.9701691881166767, 0.9949307168577173, 0.9814595012516476, 0.9880597848911371, 1.0072004491633608, 1.005366575645282]",0.00457230938527166
AR-S1,1,2,9,0.9999999964465168,5.9611099569437096e-05,0.0,7.307955102553025e-05,"[1.0000000063533483, 0.9915645005159023, 0.9816409303460065, 0.9940582064002392, 0.984665014377177, 0.9897891082014891, 1.007909994731645, 1.0042659169340407, 0.9936392238932548]",0.004572309450495409
AR-S1,1,2,10,0.9999999964366432,5.969385926022239e-05,0.0,7.309634413157967e-05,"[1.0000000074345325, 0.9900422137919617, 0.981861145988723, 0.9955568154786082, 0.989452891095893, 0.9860697020561567, 1.0013672905347006, 0.9960442491974756, 0.9923038775421859, 0.9925439063201978]",0.00457230948874546
AR-S1,1,2,11,0.9999999964303541,5.974651402312823e-05,0.0,7.311520764592107e-05,"[1.0000000076526283, 0.9930940354639427, 0.9902136531543957, 0.9994812483849568, 0.9907119700572504, 0.9887113192565269, 1.0034869511575608, 1.0007406379211765, 0.9977867375600049, 0.9917086312505323, 1.0016891921699802]",0.004572309498467558
