scenario,seed,variable,truth_class,rank_010,rank_005,rank_002,sigma_1_to_12,tail_1_to_12,cumulative_1_to_12,tail_beyond_rank_max
AR-S1,0,0,near_rank1,1,1,1,"[0.02782481421538772, 3.029128857264383e-07, 7.508851278659965e-18, 8.052581124939704e-19, 6.934390282360763e-19, 6.814450522622443e-19, 5.904107736254945e-19, 4.431919445769934e-19, 3.67981220822446e-19, 3.542939281055849e-19, 2.944424945172708e-19, 1.8161484913015638e-19]","[1.0886429766024142e-05, 2.7592371938990575e-16, 5.752016449711131e-17, 4.970944684064364e-17, 4.301096035898114e-17, 3.535753931525695e-17, 2.828278034411631e-17, 2.3371273435848418e-17, 1.926960425114647e-17, 1.4463327366981446e-17, 9.85945629200302e-18, 7.389592447904613e-18]","[0.9999999998814856, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999]",7.389592447904613e-18
AR-S1,0,1,near_rank1,1,1,1,"[0.027011951947687088, 1.0627140714910482e-06, 5.5388437365661155e-18, 8.812076295527941e-19, 8.382763847980838e-19, 7.289286375682618e-19, 7.0948971212083485e-19, 6.196110201686924e-19, 5.167207383718499e-19, 4.726198627063081e-19, 4.1135087980600183e-19, 3.5588000099718664e-19]","[3.934236491782289e-05, 2.1768776013984414e-16, 7.308765833229189e-17, 6.540300905152527e-17, 5.75714619768036e-17, 5.085529278023751e-17, 4.35473321896916e-17, 3.701621053609959e-17, 3.1690192484446953e-17, 2.6422225352784424e-17, 2.1592301672927913e-17, 1.7106994834839965e-17]","[0.9999999984521784, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.7106994834839965e-17
AR-S1,0,2,near_rank1,1,1,1,"[0.018792810975415124, 6.654104736380606e-07, 4.27850887693094e-18, 6.061603381432478e-19, 5.228628142772465e-19, 4.1530483116135085e-19, 3.838017509149967e-19, 3.7379602886939054e-19, 3.3100817798228957e-19, 3.172476842608167e-19, 2.9580110159914924e-19, 2.7000915934414697e-19]","[3.540771383756481e-05, 2.382448799589693e-16, 7.020124712463356e-17, 6.235251545765382e-17, 5.580094245868165e-17, 5.123839864691602e-17, 4.699237051599738e-17, 4.2575297185059624e-17, 3.876104578748521e-17, 3.4891822759264113e-17, 3.1139812383790375e-17, 2.7627116890171764e-17]","[0.9999999987462939, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2.7627116890171764e-17
AR-S1,1,0,near_rank1,1,1,1,"[0.02775339563111808, 5.124208982031377e-07, 8.839006136146637e-18, 7.84349490969406e-19, 7.060791332917939e-19, 6.28450261845105e-19, 5.964588619436539e-19, 5.221681300535745e-19, 3.720550820004671e-19, 3.0616911275156993e-19, 2.263335809415169e-19, 1.917960194960372e-19]","[1.8463358679658368e-05, 3.2353806923912663e-16, 5.696462964571105e-17, 4.945971048740335e-17, 4.241473002356965e-17, 3.586439345447214e-17, 2.87119341755173e-17, 2.1688412144103733e-17, 1.704913750787378e-17, 1.2998965816732913e-17, 1.0122566904510045e-17, 7.396504131000026e-18]","[0.9999999996591044, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",7.396504131000026e-18
AR-S1,1,1,near_rank1,1,1,1,"[0.025858430553726407, 1.0661333666957113e-06, 5.419874740901157e-18, 8.646967475746718e-19, 8.130940009784752e-19, 7.392135995972507e-19, 6.811951921339192e-19, 6.482655769103486e-19, 5.576894796404603e-19, 4.786056899035559e-19, 4.202849773513577e-19, 3.235110852799659e-19]","[4.1229623877382706e-05, 2.2293576849109575e-16, 7.59542286380136e-17, 6.819703048769068e-17, 6.051533821359032e-17, 5.333753450112127e-17, 4.637807219955729e-17, 3.9018340742765187e-17, 3.251606134347062e-17, 2.6734296681067565e-17, 2.1226226054080558e-17, 1.714733711588737e-17]","[0.9999999983001181, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.714733711588737e-17
AR-S1,1,2,near_rank1,1,1,1,"[0.018660395027056662, 8.011661296167449e-07, 4.306587325878279e-18, 5.311500327612026e-19, 4.555806514570744e-19, 4.240877317873402e-19, 3.628558227935256e-19, 3.4687629659262896e-19, 3.1874901653773505e-19, 3.0314122685948014e-19, 2.8942003232905966e-19, 2.7483151666871986e-19]","[4.293403905526574e-05, 2.401359193453178e-16, 6.635024385763277e-17, 5.993458009768278e-17, 5.47366002368171e-17, 4.979554286300039e-17, 4.584188923002294e-17, 4.190383571065152e-17, 3.826422739378756e-17, 3.464456175556278e-17, 3.097886439028352e-17, 2.7253882870814336e-17]","[0.9999999981566684, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002]",2.7253882870814336e-17
AR-S1,2,0,near_rank1,1,1,1,"[0.02801136773470656, 2.1585029100356766e-07, 5.572208573424182e-18, 1.0004291839467442e-18, 7.82362862684169e-19, 6.596598359660433e-19, 5.397964804091854e-19, 4.859126127141231e-19, 3.6604628831767424e-19, 2.989191508397691e-19, 2.473425103718084e-19, 1.8630150265731254e-19]","[7.705810478140879e-06, 2.0811928991905382e-16, 6.117035357903402e-17, 4.9661280787072015e-17, 4.106272295969674e-17, 3.363863785811759e-17, 2.7571744290198535e-17, 2.1430898179438505e-17, 1.6985776947722205e-17, 1.3215100297795024e-17, 9.832020694599741e-18, 7.241120710919072e-18]","[0.9999999999406205, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",7.241120710919072e-18
AR-S1,2,1,near_rank1,1,1,1,"[0.027836401869301704, 1.8268437908688932e-06, 7.757822435218674e-18, 9.286790418913322e-19, 8.86542108696892e-19, 8.232443993262305e-19, 6.879766011028307e-19, 6.008547907494406e-19, 5.133229482841349e-19, 4.396303134804946e-19, 3.9582865179644812e-19, 3.3871593903736317e-19]","[6.562787085458171e-05, 2.8808905470998134e-16, 7.297447130424746e-17, 6.49018337135668e-17, 5.655027621354722e-17, 4.820051490308613e-17, 4.138186246174351e-17, 3.530632981791621e-17, 3.010776027636306e-17, 2.5632928285815967e-17, 2.1327065062385423e-17, 1.751517076129663e-17]","[0.9999999956929825, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999]",1.751517076129663e-17
AR-S1,2,2,near_rank1,1,1,1,"[0.018651665358548414, 4.837946155048047e-07, 3.86686054893861e-18, 5.908377801193335e-19, 4.37072650982641e-19, 4.1043082493439433e-19, 3.7137521991025836e-19, 3.663987332287475e-19, 3.3778814128042664e-19, 3.2909487653675164e-19, 2.8456133055349577e-19, 2.6902654584125594e-19]","[2.593841386502914e-05, 2.1808457822224296e-16, 6.767097755737294e-17, 5.979881591133691e-17, 5.50161099148227e-17, 5.0423706072639305e-17, 4.6325998460837506e-17, 4.1954737314227774e-17, 3.784462044200746e-17, 3.3479774541165866e-17, 2.980152538724927e-17, 2.6078477510776715e-17]","[0.9999999993271986, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999]",2.6078477510776715e-17
AR-S1,3,0,near_rank1,1,1,1,"[0.02807478481377561, 6.024037302820999e-07, 6.592897174822717e-18, 7.810044637072613e-19, 7.21313106054188e-19, 6.966388715935107e-19, 5.805629425797337e-19, 4.656002941255078e-19, 3.814137051897728e-19, 3.45249765480011e-19, 2.820894656575922e-19, 1.865697646592489e-19]","[2.1457109436074448e-05, 2.4172445284774177e-16, 5.730606711866416e-17, 5.010094183366632e-17, 4.301158809267922e-17, 3.5132289119925343e-17, 2.84015865201744e-17, 2.3056702613710033e-17, 1.8629066771076754e-17, 1.3993338974234378e-17, 9.739379165510954e-18, 7.119930676037023e-18]","[0.9999999995395924, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999, 0.9999999999999999]",7.119930676037023e-18
