scenario,seed,variable,truth_class,smoothing_reselected,bootstrap_replicates,block_length,rank_low_010,rank_median_010,rank_high_010,truth_rank_010,rank_low_005,rank_median_005,rank_high_005,truth_rank_005,rank_low_002,rank_median_002,rank_high_002,truth_rank_002,seed_gate_pass
AR-S1,0,0,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S1,0,1,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S1,0,2,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S1,1,0,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S1,1,1,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S1,1,2,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S1,2,0,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S1,2,1,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S1,2,2,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S1,3,0,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S1,3,1,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S1,3,2,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S1,4,0,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S1,4,1,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S1,4,2,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S2,0,0,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S2,0,1,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S2,0,2,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S2,1,0,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S2,1,1,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S2,1,2,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S2,2,0,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S2,2,1,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S2,2,2,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S2,3,0,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S2,3,1,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S2,3,2,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S2,4,0,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S2,4,1,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S2,4,2,near_rank1,False,200,64,1,1,1,1,1,1,1,1,1,1,1,1,True
AR-S3,0,0,weak_rank2,False,200,64,1,1,1,1,1,1,1,1,2,2,2,2,True
AR-S3,0,1,strong_rank2,False,200,64,2,2,2,2,2,2,2,2,2,2,2,2,True
AR-S3,0,2,strong_rank2,False,200,64,2,2,2,2,2,2,2,2,2,2,2,2,True
AR-S3,1,0,weak_rank2,False,200,64,1,1,1,1,1,1,1,1,2,2,2,2,True
AR-S3,1,1,strong_rank2,False,200,64,2,2,2,2,2,2,2,2,2,2,2,2,True
AR-S3,1,2,strong_rank2,False,200,64,2,2,2,2,2,2,2,2,2,2,2,2,True
AR-S3,2,0,weak_rank2,False,200,64,1,1,1,1,1,1,1,1,2,2,2,2,True
AR-S3,2,1,strong_rank2,False,200,64,2,2,2,2,2,2,2,2,2,2,2,2,True
AR-S3,2,2,strong_rank2,False,200,64,2,2,2,2,2,2,2,2,2,2,2,2,True
AR-S3,3,0,weak_rank2,False,200,64,1,1,1,1,1,1,1,1,2,2,2,2,True
AR-S3,3,1,strong_rank2,False,200,64,2,2,2,2,2,2,2,2,2,2,2,2,True
